GEO_ID,NAME,NAICS,NAICS_LABEL,EAGE,EAGE_LABEL,YEAR,FIRM,ESTAB,EMP,ESTABS_ENTRY,ESTABS_ENTRY_RATE,ESTABS_EXIT,ESTABS_EXIT_RATE,NET_JOB_CREATION,NET_JOB_CREATION_RATE,REALLOCATION_RATE,FIRMDEATH_FIRMS,FIRMDEATH_ESTABS,FIRMDEATH_EMP
0100000US,United States,31-33,Manufacturing,1,Total,2018,230134,273966,11859412,17762,6.477,18321,6.681,192070,1.633,15.662,15097,15242,137979
0100000US,United States,31-33,Manufacturing,10,0 years,1978,29792,31122,529706,31122,200,0,0,529706,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,1979,25378,26762,514434,26762,200,0,0,514434,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,1980,25937,27369,568271,27369,200,0,0,568271,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,1981,29603,31078,626500,31078,200,0,0,626500,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,1982,24924,26177,572388,26177,200,0,0,572388,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,1983,25293,26451,478813,26451,200,0,0,478813,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,1984,24885,26315,555621,26315,200,0,0,555621,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,1985,33652,35369,735652,35369,200,0,0,735652,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,1986,28849,30422,678226,30422,200,0,0,678226,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,1987,29101,30401,572324,30401,200,0,0,572324,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,1988,29731,31893,738248,31893,200,0,0,738248,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,1989,29580,31000,609630,31000,200,0,0,609630,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,1990,28180,29426,500173,29426,200,0,0,500173,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,1991,24830,25891,422275,25891,200,0,0,422275,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,1992,23043,23780,409965,23780,200,0,0,409965,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,1993,24750,25631,434536,25631,200,0,0,434536,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,1994,25248,26237,451633,26237,200,0,0,451633,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,1995,25264,26296,439877,26296,200,0,0,439877,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,1996,23934,24848,382059,24848,200,0,0,382059,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,1997,23580,24471,431707,24471,200,0,0,431707,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,1998,22774,23948,458999,23948,200,0,0,458999,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,1999,19598,20766,407680,20766,200,0,0,407680,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,2000,19008,20305,441954,20305,200,0,0,441954,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,2001,18477,19813,389104,19813,200,0,0,389104,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,2002,18506,19593,396764,19593,200,0,0,396764,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,2003,16612,17537,277940,17537,200,0,0,277940,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,2004,16964,17909,285166,17909,200,0,0,285166,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,2005,16543,17533,257399,17533,200,0,0,257399,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,2006,19095,20468,302129,20468,200,0,0,302129,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,2007,16960,17707,247881,17707,200,0,0,247881,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,2008,15032,15974,228276,15974,200,0,0,228276,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,2009,12354,13197,192082,13197,200,0,0,192082,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,2010,11285,12027,166685,12027,200,0,0,166685,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,2011,12369,12895,153572,12895,200,0,0,153572,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,2012,13071,13466,152929,13466,200,0,0,152929,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,2013,12524,12954,155428,12954,200,0,0,155428,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,2014,12953,13676,187318,13676,200,0,0,187318,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,2015,13515,14316,183098,14316,200,0,0,183098,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,2016,13663,14514,162719,14514,200,0,0,162719,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,2017,13603,14338,187380,14338,200,0,0,187380,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,10,0 years,2018,12376,14215,210330,14215,200,0,0,210330,200,0,0,0,0
0100000US,United States,31-33,Manufacturing,20,1 year,1978,24221,26244,707947,0,0,7227,24.205,12439,1.773,43.639,5275,5297,46933
0100000US,United States,31-33,Manufacturing,20,1 year,1979,21941,23082,560436,0,0,7932,29.326,29888,5.479,45.647,5020,5035,38234
0100000US,United States,31-33,Manufacturing,20,1 year,1980,19240,20430,502320,0,0,6386,27.033,-13484,-2.648,44.276,4508,4519,34069
0100000US,United States,31-33,Manufacturing,20,1 year,1981,20860,22110,571237,0,0,5267,21.286,-445,-0.078,42.108,3637,3639,24427
0100000US,United States,31-33,Manufacturing,20,1 year,1982,23709,25014,629553,0,0,6153,21.904,-17218,-2.697,39.249,4777,4780,35435
0100000US,United States,31-33,Manufacturing,20,1 year,1983,19702,20787,527433,0,0,5366,22.863,-49213,-8.908,34.067,4050,4056,35348
0100000US,United States,31-33,Manufacturing,20,1 year,1984,19924,20897,492000,0,0,5326,22.606,14764,3.045,44.938,4150,4158,34550
0100000US,United States,31-33,Manufacturing,20,1 year,1985,19808,21045,537693,0,0,5326,22.465,-25229,-4.583,38.463,4088,4090,34259
0100000US,United States,31-33,Manufacturing,20,1 year,1986,25699,27183,703752,0,0,7982,25.605,-47164,-6.48,35.349,6266,6293,56488
0100000US,United States,31-33,Manufacturing,20,1 year,1987,22842,24133,658590,0,0,6462,23.615,-51354,-7.505,36.657,4789,4793,43054
0100000US,United States,31-33,Manufacturing,20,1 year,1988,22963,24090,571285,0,0,6364,23.335,-3682,-0.642,43.591,4990,5000,42003
0100000US,United States,31-33,Manufacturing,20,1 year,1989,24002,25828,743283,0,0,6118,21.179,-13017,-1.735,40.775,4620,4647,41669
0100000US,United States,31-33,Manufacturing,20,1 year,1990,23748,25001,601457,0,0,5943,21.246,-9706,-1.601,39.956,4646,4659,37746
0100000US,United States,31-33,Manufacturing,20,1 year,1991,21308,22377,481313,0,0,5966,23.525,-18339,-3.735,41.316,4644,4650,38887
0100000US,United States,31-33,Manufacturing,20,1 year,1992,19390,20304,418710,0,0,5526,23.956,-1764,-0.42,41.805,4340,4353,32422
0100000US,United States,31-33,Manufacturing,20,1 year,1993,18436,19135,434846,0,0,4762,22.132,14000,3.271,37.337,3797,3801,27687
0100000US,United States,31-33,Manufacturing,20,1 year,1994,19706,20496,439819,0,0,5141,22.288,4258,0.973,39.221,4146,4152,33971
0100000US,United States,31-33,Manufacturing,20,1 year,1995,20286,21156,472525,0,0,4873,20.655,21106,4.564,35.147,3954,3956,30607
0100000US,United States,31-33,Manufacturing,20,1 year,1996,20104,20942,447957,0,0,5186,22.035,7515,1.692,40.682,4181,4182,30684
0100000US,United States,31-33,Manufacturing,20,1 year,1997,19123,19886,398836,0,0,4959,22.173,6492,1.641,42.223,3973,3978,30540
0100000US,United States,31-33,Manufacturing,20,1 year,1998,19243,20090,463813,0,0,4359,19.574,30033,6.696,33.819,3351,3362,24532
0100000US,United States,31-33,Manufacturing,20,1 year,1999,18444,19506,465303,0,0,4500,20.684,6897,1.492,38.76,3479,3482,27465
0100000US,United States,31-33,Manufacturing,20,1 year,2000,15737,16777,414403,0,0,3893,20.792,8044,1.958,37.783,2941,2942,18862
0100000US,United States,31-33,Manufacturing,20,1 year,2001,15739,16940,441397,0,0,3916,20.722,-10027,-2.245,35.461,2985,2987,23454
0100000US,United States,31-33,Manufacturing,20,1 year,2002,14495,15608,343827,0,0,4266,24.046,-53278,-14.373,32.168,3091,3094,21105
0100000US,United States,31-33,Manufacturing,20,1 year,2003,14740,15701,372677,0,0,3800,21.59,-24605,-6.392,31.76,2921,2921,31215
0100000US,United States,31-33,Manufacturing,20,1 year,2004,13566,14376,271996,0,0,3457,21.466,-8236,-2.98,41.507,2651,2651,25175
0100000US,United States,31-33,Manufacturing,20,1 year,2005,13598,14296,265750,0,0,3472,21.657,-10040,-3.708,41.577,2615,2615,26649
0100000US,United States,31-33,Manufacturing,20,1 year,2006,13809,14605,261613,0,0,3263,20.097,5753,2.223,42.726,2586,2587,22255
0100000US,United States,31-33,Manufacturing,20,1 year,2007,15807,16988,287248,0,0,3452,18.446,-22255,-7.458,40.578,2607,2641,30242
0100000US,United States,31-33,Manufacturing,20,1 year,2008,13300,13950,225102,0,0,3557,22.615,-21896,-9.275,39.78,2835,2835,29993
0100000US,United States,31-33,Manufacturing,20,1 year,2009,11701,12363,192299,0,0,3628,25.591,-37663,-17.83,32.807,2728,2732,23003
0100000US,United States,31-33,Manufacturing,20,1 year,2010,9712,10417,175235,0,0,2753,23.343,-16649,-9.054,33.186,2006,2006,15290
0100000US,United States,31-33,Manufacturing,20,1 year,2011,9120,9755,158919,0,0,2314,21.206,-7095,-4.367,40.268,1723,1723,15951
0100000US,United States,31-33,Manufacturing,20,1 year,2012,10184,10664,158294,0,0,2210,18.778,3752,2.397,44.965,1603,1604,14754
0100000US,United States,31-33,Manufacturing,20,1 year,2013,10359,10728,152510,0,0,2475,20.684,-1475,-0.963,47.231,1895,1896,16638
0100000US,United States,31-33,Manufacturing,20,1 year,2014,10208,10592,157356,0,0,2273,19.38,4416,2.847,42.483,1772,1772,15121
0100000US,United States,31-33,Manufacturing,20,1 year,2015,10786,11448,190901,0,0,2289,18.177,-1569,-0.817,42.212,1757,1763,14885
0100000US,United States,31-33,Manufacturing,20,1 year,2016,11279,12005,180380,0,0,2273,17.296,-210,-0.116,44.26,1787,1787,13192
0100000US,United States,31-33,Manufacturing,20,1 year,2017,11338,12124,166160,0,0,2385,17.91,3731,2.269,41.952,1895,1895,14654
0100000US,United States,31-33,Manufacturing,20,1 year,2018,11115,11802,189128,0,0,2509,19.216,738,0.391,42.094,2162,2166,18946
0100000US,United States,31-33,Manufacturing,30,2 years,1978,0,0,0,0,null,0,null,0,null,null,0,0,0
0100000US,United States,31-33,Manufacturing,30,2 years,1979,20309,22112,723763,744,3.092,4640,19.285,15071,2.104,35.157,2911,2926,27224
0100000US,United States,31-33,Manufacturing,30,2 years,1980,18523,19539,529783,687,3.22,4280,20.06,-31828,-5.832,36.164,3094,3104,33099
0100000US,United States,31-33,Manufacturing,30,2 years,1981,17626,18656,477791,1064,5.41,3090,15.71,-23450,-4.785,36.614,2041,2043,23549
0100000US,United States,31-33,Manufacturing,30,2 years,1982,18341,19459,537226,837,4.027,3493,16.804,-33861,-6.112,34.41,2624,2634,22409
0100000US,United States,31-33,Manufacturing,30,2 years,1983,20540,21708,578408,565,2.419,3862,16.535,-53784,-8.891,30.524,2888,2890,27311
0100000US,United States,31-33,Manufacturing,30,2 years,1984,17013,17973,551127,526,2.713,3352,17.291,21437,3.966,35.007,2597,2601,25635
0100000US,United States,31-33,Manufacturing,30,2 years,1985,17134,17993,470036,559,2.874,3475,17.865,-22729,-4.714,39.645,2713,2718,34084
0100000US,United States,31-33,Manufacturing,30,2 years,1986,17175,18289,524129,525,2.666,3329,16.906,-13513,-2.543,36.749,2472,2479,22319
0100000US,United States,31-33,Manufacturing,30,2 years,1987,22368,23649,649587,831,3.268,4389,17.261,-57400,-8.471,29.882,3305,3308,32703
0100000US,United States,31-33,Manufacturing,30,2 years,1988,20856,22073,716206,781,3.307,3872,16.394,-3324,-0.463,36.938,2991,3001,35912
0100000US,United States,31-33,Manufacturing,30,2 years,1989,19946,20974,573757,552,2.447,3719,16.487,198,0.035,35.795,2918,2932,30640
0100000US,United States,31-33,Manufacturing,30,2 years,1990,20877,22546,703756,617,2.549,3935,16.257,-36874,-5.107,29.302,3054,3064,32476
0100000US,United States,31-33,Manufacturing,30,2 years,1991,19743,20872,544395,535,2.37,3932,17.421,-52701,-9.23,26.65,3043,3044,37883
0100000US,United States,31-33,Manufacturing,30,2 years,1992,18216,19161,460554,567,2.733,3734,18,-19029,-4.051,32.85,2906,2907,27584
0100000US,United States,31-33,Manufacturing,30,2 years,1993,16888,17725,405799,467,2.452,3102,16.29,-12680,-3.078,32.852,2444,2447,22346
0100000US,United States,31-33,Manufacturing,30,2 years,1994,16456,17077,479033,434,2.365,2986,16.27,-24893,-5.059,29.768,2370,2384,24153
0100000US,United States,31-33,Manufacturing,30,2 years,1995,17014,17753,435729,500,2.621,3149,16.506,-1193,-0.274,33.355,2571,2572,22050
0100000US,United States,31-33,Manufacturing,30,2 years,1996,17607,18350,455660,399,2.017,3269,16.523,-14862,-3.211,31.966,2634,2637,26273
0100000US,United States,31-33,Manufacturing,30,2 years,1997,17452,18182,446336,456,2.331,3223,16.473,-12858,-2.838,33.028,2606,2608,24616
0100000US,United States,31-33,Manufacturing,30,2 years,1998,16687,17388,398192,413,2.214,2948,15.802,-7252,-1.804,32.682,2299,2302,20482
0100000US,United States,31-33,Manufacturing,30,2 years,1999,16714,17516,433991,507,2.698,3053,16.249,-29848,-6.651,30.395,2326,2330,24020
0100000US,United States,31-33,Manufacturing,30,2 years,2000,16137,17094,461866,478,2.612,2889,15.787,-10913,-2.336,32.049,2214,2214,21226
0100000US,United States,31-33,Manufacturing,30,2 years,2001,14059,15052,401004,432,2.692,2422,15.093,-16313,-3.984,27.844,1854,1863,19198
0100000US,United States,31-33,Manufacturing,30,2 years,2002,13596,14647,386430,446,2.821,2775,17.551,-62648,-15.003,26.62,2035,2052,24436
0100000US,United States,31-33,Manufacturing,30,2 years,2003,12553,13506,314059,415,2.856,2466,16.97,-24752,-7.58,29.539,1822,1832,14329
0100000US,United States,31-33,Manufacturing,30,2 years,2004,13016,13860,351669,379,2.557,2299,15.513,-21386,-5.901,27.177,1731,1738,20963
0100000US,United States,31-33,Manufacturing,30,2 years,2005,11768,12458,263421,390,2.918,2209,16.525,-10551,-3.928,33.303,1719,1719,19325
0100000US,United States,31-33,Manufacturing,30,2 years,2006,12194,12830,269017,434,3.176,2104,15.397,-863,-0.32,32.992,1697,1698,14351
0100000US,United States,31-33,Manufacturing,30,2 years,2007,12213,12934,256360,299,2.173,1955,14.206,-5364,-2.07,34.469,1530,1532,13339
0100000US,United States,31-33,Manufacturing,30,2 years,2008,13537,14503,272236,231,1.485,2345,15.071,-9363,-3.381,30.054,1771,1773,12851
0100000US,United States,31-33,Manufacturing,30,2 years,2009,11012,11584,189510,299,2.35,2574,20.233,-37156,-17.868,23.11,1967,1968,14764
0100000US,United States,31-33,Manufacturing,30,2 years,2010,9989,10557,175977,323,2.817,2141,18.673,-15550,-8.459,24.834,1566,1568,10137
0100000US,United States,31-33,Manufacturing,30,2 years,2011,8750,9382,175574,338,3.402,1443,14.525,29,0.017,31.224,1058,1062,8309
0100000US,United States,31-33,Manufacturing,30,2 years,2012,8173,8747,162447,279,3.018,1273,13.771,2541,1.575,35.09,953,956,10994
0100000US,United States,31-33,Manufacturing,30,2 years,2013,8980,9410,162038,288,2.898,1347,13.552,5481,3.438,28.447,1013,1013,8156
0100000US,United States,31-33,Manufacturing,30,2 years,2014,9289,9640,160403,263,2.577,1392,13.641,5283,3.349,30.261,1079,1080,7404
0100000US,United States,31-33,Manufacturing,30,2 years,2015,9184,9531,158170,291,2.887,1386,13.752,1823,1.16,33.482,1104,1104,8975
0100000US,United States,31-33,Manufacturing,30,2 years,2016,9811,10436,189491,286,2.608,1348,12.291,-4181,-2.184,32.001,1059,1063,9363
0100000US,United States,31-33,Manufacturing,30,2 years,2017,10138,10825,189097,275,2.407,1472,12.886,7372,3.975,27.974,1177,1179,7223
0100000US,United States,31-33,Manufacturing,30,2 years,2018,10207,10919,171462,306,2.662,1460,12.7,6437,3.827,29.778,1218,1220,6877
0100000US,United States,31-33,Manufacturing,40,3 years,1978,0,0,0,0,null,0,null,0,null,null,0,0,0
0100000US,United States,31-33,Manufacturing,40,3 years,1979,0,0,0,0,null,0,null,0,null,null,0,0,0
0100000US,United States,31-33,Manufacturing,40,3 years,1980,17856,19489,689495,604,2.903,3235,15.55,-37153,-5.249,26.531,2244,2247,23631
0100000US,United States,31-33,Manufacturing,40,3 years,1981,18227,19113,507369,1863,9.596,2467,12.707,-22220,-4.289,34.215,1659,1664,16507
0100000US,United States,31-33,Manufacturing,40,3 years,1982,15723,16614,448381,618,3.508,2628,14.916,-26733,-5.79,29.077,1875,1877,15477
0100000US,United States,31-33,Manufacturing,40,3 years,1983,16117,17098,489945,451,2.469,2785,15.248,-47187,-9.191,26.067,2077,2083,20774
0100000US,United States,31-33,Manufacturing,40,3 years,1984,18424,19461,620551,453,2.202,2683,13.039,42029,7.011,24.635,2048,2049,16825
0100000US,United States,31-33,Manufacturing,40,3 years,1985,15129,15989,530536,474,2.791,2457,14.47,-16864,-3.131,29.714,1869,1872,25306
0100000US,United States,31-33,Manufacturing,40,3 years,1986,15082,15839,439562,409,2.424,2472,14.653,-20971,-4.662,31.404,1925,1926,23832
0100000US,United States,31-33,Manufacturing,40,3 years,1987,15265,16261,498994,518,3.003,2497,14.475,-25778,-5.04,28.91,1861,1869,21920
0100000US,United States,31-33,Manufacturing,40,3 years,1988,19943,21128,651923,595,2.655,3153,14.071,199,0.031,31.514,2468,2472,25926
0100000US,United States,31-33,Manufacturing,40,3 years,1989,18664,19753,709108,529,2.528,2867,13.703,-6989,-0.981,28.165,2162,2169,26732
0100000US,United States,31-33,Manufacturing,40,3 years,1990,17806,18770,557428,529,2.662,2729,13.734,-16084,-2.846,26.052,2164,2169,20505
0100000US,United States,31-33,Manufacturing,40,3 years,1991,18223,19689,635846,462,2.198,3125,14.866,-65382,-9.779,19.155,2354,2363,27423
0100000US,United States,31-33,Manufacturing,40,3 years,1992,17454,18419,515877,488,2.487,2900,14.777,-28190,-5.321,25.567,2179,2187,20763
0100000US,United States,31-33,Manufacturing,40,3 years,1993,16356,17209,451866,493,2.708,2484,13.645,-7330,-1.608,29.767,1919,1920,17538
0100000US,United States,31-33,Manufacturing,40,3 years,1994,15106,15861,378681,398,2.373,2224,13.259,-26613,-6.786,26.894,1757,1757,17907
0100000US,United States,31-33,Manufacturing,40,3 years,1995,14761,15307,485160,402,2.485,2140,13.229,5843,1.211,25.847,1695,1700,16602
0100000US,United States,31-33,Manufacturing,40,3 years,1996,15119,15749,414590,394,2.35,2427,14.476,-21532,-5.064,26.233,1961,1966,19840
0100000US,United States,31-33,Manufacturing,40,3 years,1997,15702,16352,456106,400,2.305,2396,13.81,-698,-0.153,30.015,1903,1911,20385
0100000US,United States,31-33,Manufacturing,40,3 years,1998,15602,16286,450756,358,2.074,2304,13.35,1955,0.435,29.08,1780,1786,16181
0100000US,United States,31-33,Manufacturing,40,3 years,1999,14864,15506,384143,415,2.522,2310,14.04,-12624,-3.233,28.078,1754,1760,17050
0100000US,United States,31-33,Manufacturing,40,3 years,2000,14921,15632,431198,446,2.694,2288,13.822,-3419,-0.79,29.735,1726,1733,17092
0100000US,United States,31-33,Manufacturing,40,3 years,2001,14619,15482,449083,439,2.682,2208,13.491,-17190,-3.755,26.05,1641,1643,16177
0100000US,United States,31-33,Manufacturing,40,3 years,2002,12447,13307,340999,404,2.848,2163,15.247,-61769,-16.625,19.157,1579,1584,17614
0100000US,United States,31-33,Manufacturing,40,3 years,2003,11974,12906,348307,367,2.67,2048,14.898,-36502,-9.96,23.14,1506,1514,16355
0100000US,United States,31-33,Manufacturing,40,3 years,2004,11221,12083,301260,351,2.741,1794,14.011,-11928,-3.883,24.52,1283,1286,11919
0100000US,United States,31-33,Manufacturing,40,3 years,2005,11749,12481,346024,350,2.661,1692,12.865,-4038,-1.16,27.877,1252,1272,12666
0100000US,United States,31-33,Manufacturing,40,3 years,2006,10674,11301,260315,305,2.548,1643,13.726,-2728,-1.043,28.913,1305,1310,12098
0100000US,United States,31-33,Manufacturing,40,3 years,2007,10923,11525,261200,287,2.359,1566,12.874,-9007,-3.391,26.975,1238,1239,13998
0100000US,United States,31-33,Manufacturing,40,3 years,2008,10676,11296,239914,181,1.511,1547,12.914,-7982,-3.273,24.946,1202,1204,8593
