Industry group	Year	Sales, value of shipments, or revenue ($1,000)	Annual payroll ($1,000)	First-quarter payroll ($1,000)	Number of employees	GEO_ID
3261	2018	9487292	1248376	299260	28014	0100000US
3261	2018	9487292	1248376	299260	28014	0100000US
3261	2018	11448404	1466103	392651	31285	0100000US
3261	2018	11448404	1466103	392651	31285	0100000US
3261	2018	11317480	1409743	352048	26841	0100000US
3261	2018	11317480	1409743	352048	26841	0100000US
3261	2018	106197180	18489635	4575249	407971	0100000US
3261	2018	4718632	810720	189356	18407	0100000US
3261	2018	101478548	17678915	4385894	389564	0100000US
3262	2018	47025852	7524362	1841810	134949	0100000US
3262	2018	22378411	3301780	782083	53004	0100000US
3262	2018	20757693	3009195	716833	46328	0100000US
3262	2018	1620718	292585	65250	6676	0100000US
3262	2018	5730931	1072456	273448	20286	0100000US
3262	2018	5730931	1072456	273448	20286	0100000US
3262	2018	18916510	3150126	786279	61659	0100000US
3262	2018	8310117	1492767	365572	31804	0100000US
3262	2018	10606393	1657359	420707	29854	0100000US
3271	2018	8374143	1750164	429875	35476	0100000US
3271	2018	2444074	583859	140474	12378	0100000US
3271	2018	2444074	583859	140474	12378	0100000US
3271	2018	5930068	1166305	289402	23098	0100000US
3271	2018	5930068	1166305	289402	23098	0100000US
3272	2018	27649065	5046534	1312246	93864	0100000US
3272	2018	27649065	5046534	1312246	93864	0100000US
3272	2018	4358026	619796	164048	12259	0100000US
3272	2018	3960443	755740	192990	13593	0100000US
3272	2018	4626329	897323	240023	13208	0100000US
3272	2018	14704266	2773674	715185	54804	0100000US
3273	2018	61478758	9779239	2194317	181484	0100000US
3273	2018	8531996	1029086	251560	15658	0100000US
3273	2018	8531996	1029086	251560	15658	0100000US
3273	2018	32360283	4534788	943460	82639	0100000US
3273	2018	32360283	4534788	943460	82639	0100000US
3273	2018	6836693	1182334	275883	23893	0100000US
3273	2018	4852420	823458	192470	15760	0100000US
3273	2018	1984273	358876	83413	8134	0100000US
3273	2018	13749786	3033031	723413	59294	0100000US
3273	2018	13749786	3033031	723413	59294	0100000US
3274	2018	8429492	987297	250794	13193	0100000US
3274	2018	2394609	303607	74600	4172	0100000US
3274	2018	2394609	303607	74600	4172	0100000US
3274	2018	6034883	683690	176194	9021	0100000US
3274	2018	6034883	683690	176194	9021	0100000US
3279	2018	24221333	4174485	1028822	77186	0100000US
3279	2018	4468104	707030	180360	11313	0100000US
3279	2018	4468104	707030	180360	11313	0100000US
3279	2018	19753229	3467455	848463	65873	0100000US
3279	2018	5092606	1428443	338619	30453	0100000US
3279	2018	4050708	556147	155289	9148	0100000US
3279	2018	6113064	929219	220635	14146	0100000US
3279	2018	4496851	553646	133920	12126	0100000US
3311	2018	102481444	7373567	1865349	84015	0100000US
3311	2018	102481444	7373567	1865349	84015	0100000US
3311	2018	102481444	7373567	1865349	84015	0100000US
3312	2018	27449719	3008071	738148	49713	0100000US
3312	2018	14097369	1650455	407926	25374	0100000US
3312	2018	14097369	1650455	407926	25374	0100000US
3312	2018	13352349	1357616	330222	24339	0100000US
3312	2018	6895195	589394	142238	9507	0100000US
3312	2018	6457155	768222	187984	14832	0100000US
3313	2018	41954199	3713056	929465	58980	0100000US
3313	2018	41954199	3713056	929465	58980	0100000US
3313	2018	3268798	323156	87159	4172	0100000US
3313	2018	6420817	350775	90136	5845	0100000US
3313	2018	19014383	1489730	370686	18845	0100000US
3313	2018	13250201	1549395	381484	30118	0100000US
3314	2018	50088944	3613929	909838	56290	0100000US
3314	2018	12214243	547836	144943	7811	0100000US
3314	2018	12214243	547836	144943	7811	0100000US
3314	2018	23491897	1448730	368794	24545	0100000US
3314	2018	23491897	1448730	368794	24545	0100000US
3314	2018	14382804	1617364	396101	23933	0100000US
3314	2018	6700827	1009125	244440	14677	0100000US
3314	2018	7681977	608239	151661	9256	0100000US
3315	2018	31372589	6378809	1578769	116674	0100000US
3315	2018	18130155	3606916	876175	61534	0100000US
3315	2018	10576243	2063690	498173	34820	0100000US
3315	2018	3936978	836622	199447	14801	0100000US
3315	2018	3616934	706605	178555	11913	0100000US
3315	2018	13242434	2771893	702594	55140	0100000US
3315	2018	7475756	1584807	406787	31857	0100000US
3315	2018	3029973	733131	174784	14684	0100000US
3315	2018	2736705	453955	121024	8599	0100000US
3321	2018	33553806	5802626	1415416	103760	0100000US
3321	2018	33553806	5802626	1415416	103760	0100000US
3321	2018	9215121	1292865	322707	21304	0100000US
3321	2018	2512202	390685	101980	6087	0100000US
3321	2018	7507600	996139	241135	17542	0100000US
3321	2018	2442749	521757	122046	10225	0100000US
3321	2018	11876134	2601181	627548	48602	0100000US
3322	2018	9996673	1826194	465405	34329	0100000US
3322	2018	9996673	1826194	465405	34329	0100000US
3322	2018	3316427	378732	101794	6772	0100000US
3322	2018	6680246	1447462	363611	27557	0100000US
3323	2018	97709710	19355327	4605429	358790	0100000US
3323	2018	51929701	9338388	2248599	165949	0100000US
3323	2018	8477497	1442114	346350	26497	0100000US
3323	2018	35249029	5892259	1421357	101460	0100000US
3323	2018	8203174	2004014	480892	37992	0100000US
3323	2018	45780009	10016939	2356830	192841	0100000US
3323	2018	12961188	2701472	648037	52020	0100000US
3323	2018	24949297	5489535	1277675	106508	0100000US
3323	2018	7869524	1825932	431118	34314	0100000US
3324	2018	36409625	5434618	1342332	85371	0100000US
3324	2018	7627472	1587790	404768	23356	0100000US
3324	2018	7627472	1587790	404768	23356	0100000US
3324	2018	9709523	2058836	493410	34036	0100000US
3324	2018	9709523	2058836	493410	34036	0100000US
3324	2018	19072630	1787992	444153	27979	0100000US
3324	2018	15783927	1252657	313616	17489	0100000US
3324	2018	3288704	535335	130537	10490	0100000US
3325	2018	9129923	1526018	370296	29843	0100000US
3325	2018	9129923	1526018	370296	29843	0100000US
3325	2018	9129923	1526018	370296	29843	0100000US
3326	2018	10003275	1918858	461498	38208	0100000US
3326	2018	10003275	1918858	461498	38208	0100000US
3326	2018	4457221	897694	212791	17616	0100000US
3326	2018	5546054	1021165	248707	20593	0100000US
3327	2018	72630014	20561560	4910839	372047	0100000US
3327	2018	40573201	12594421	2975161	231959	0100000US
3327	2018	40573201	12594421	2975161	231959	0100000US
3327	2018	32056813	7967139	1935678	140087	0100000US
3327	2018	20724133	5776095	1389908	104319	0100000US
3327	2018	11332679	2191044	545770	35768	0100000US
3328	2018	28269324	6088455	1487694	122199	0100000US
3328	2018	28269324	6088455	1487694	122199	0100000US
3328	2018	5690041	1194195	297141	20478	0100000US
3328	2018	14937169	2610021	638994	52090	0100000US
3328	2018	7642114	2284238	551560	49630	0100000US
3329	2018	75165988	14689868	3674788	246717	0100000US
3329	2018	33251101	5887312	1503581	90873	0100000US
3329	2018	12733114	2279270	602509	34815	0100000US
3329	2018	11254158	2393045	597111	35187	0100000US
3329	2018	5263599	507134	135292	9044	0100000US
3329	2018	4000231	707863	168670	11828	0100000US
3329	2018	41914886	8802556	2171207	155843	0100000US
3329	2018	6431827	1142406	284745	20704	0100000US
3329	2018	3959592	630265	166993	11852	0100000US
3329	2018	3242498	976194	249347	12537	0100000US
3329	2018	6120498	1146894	284512	18213	0100000US
3329	2018	6844150	1516093	380179	26849	0100000US
3329	2018	15316320	3390705	805431	65688	0100000US
3331	2018	92101680	11211250	2792058	184077	0100000US
3331	2018	36727796	3950554	976792	72759	0100000US
3331	2018	28939188	3283357	811670	55097	0100000US
3331	2018	7788608	667197	165122	17662	0100000US
3331	2018	34815997	3766104	943736	60377	0100000US
3331	2018	34815997	3766104	943736	60377	0100000US
3331	2018	20557887	3494592	871531	50942	0100000US
3331	2018	4981177	888588	231707	14421	0100000US
3331	2018	15576710	2606004	639824	36521	0100000US
3332	2018	36273308	8729357	2351219	109002	0100000US
3332	2018	36273308	8729357	2351219	109002	0100000US
3332	2018	5690589	1234243	311905	17660	0100000US
3332	2018	9358428	2637061	821129	19391	0100000US
3332	2018	3700737	858958	214070	12375	0100000US
3332	2018	1804592	425571	109404	6392	0100000US
3332	2018	15718961	3573524	894711	53183	0100000US
3333	2018	26360338	4853432	1187199	74960	0100000US
3333	2018	26360338	4853432	1187199	74960	0100000US
3333	2018	4902505	1152244	277684	15548	0100000US
3333	2018	1268084	207063	51559	3460	0100000US
3333	2018	20189749	3494125	857955	55952	0100000US
3334	2018	44149565	6708693	1661485	133576	0100000US
3334	2018	44149565	6708693	1661485	133576	0100000US
3334	2018	6136820	1241372	296774	24504	0100000US
3334	2018	4590194	775836	192232	13999	0100000US
3334	2018	33422551	4691485	1172478	95074	0100000US
3335	2018	33371316	9070025	2207356	147853	0100000US
3335	2018	33371316	9070025	2207356	147853	0100000US
3335	2018	6617590	2024632	494878	35800	0100000US
3335	2018	9326310	2819169	691258	45986	0100000US
3335	2018	5599267	1581384	389676	26556	0100000US
3335	2018	8249223	1750494	415344	26735	0100000US
3335	2018	3578926	894345	216201	12776	0100000US
3336	2018	47930754	6533226	1678666	98084	0100000US
3336	2018	47930754	6533226	1678666	98084	0100000US
3336	2018	10532008	2474001	651537	31668	0100000US
3336	2018	3481561	689182	166772	11617	0100000US
3336	2018	4905701	982560	238785	15778	0100000US
3336	2018	29011484	2387482	621572	39021	0100000US
3339	2018	110247635	20000534	4958378	294575	0100000US
3339	2018	28520137	4145143	1064029	59380	0100000US
3339	2018	9791855	1427356	354234	20524	0100000US
3339	2018	18728282	2717787	709796	38856	0100000US
3339	2018	32462132	5724440	1420706	90948	0100000US
3339	2018	3346156	554971	131135	9319	0100000US
3339	2018	10412597	2472834	591413	36386	0100000US
3339	2018	7979416	1081267	310550	18251	0100000US
3339	2018	10723964	1615369	387608	26992	0100000US
3339	2018	49265366	10130950	2473643	144247	0100000US
3339	2018	3512335	406743	102867	7209	0100000US
3339	2018	5613234	1058838	247564	14880	0100000US
3339	2018	7137563	1427156	359426	20166	0100000US
3339	2018	2652572	719791	188142	10852	0100000US
3339	2018	7620851	1674475	402665	21839	0100000US
3339	2018	4582620	769264	184384	10513	0100000US
3339	2018	1040825	200209	52095	3127	0100000US
3339	2018	17105365	3874474	936499	55662	0100000US
3341	2018	21123188	3203035	808080	39777	0100000US
3341	2018	21123188	3203035	808080	39777	0100000US
3341	2018	9639065	1347394	344168	16649	0100000US
3341	2018	4836867	517401	138545	6260	0100000US
3341	2018	6647256	1338240	325366	16869	0100000US
3342	2018	35320148	7500045	1915035	84247	0100000US
3342	2018	4359709	903376	211538	11846	0100000US
3342	2018	4359709	903376	211538	11846	0100000US
3342	2018	26841246	5809608	1505909	61135	0100000US
3342	2018	26841246	5809608	1505909	61135	0100000US
3342	2018	4119193	787061	197587	11266	0100000US
3342	2018	4119193	787061	197587	11266	0100000US
3343	2018	3201791	628041	156928	10542	0100000US
3343	2018	3201791	628041	156928	10542	0100000US
3343	2018	3201791	628041	156928	10542	0100000US
3344	2018	100501987	20705947	5510851	265605	0100000US
3344	2018	100501987	20705947	5510851	265605	0100000US
3344	2018	4487517	1130171	288835	22493	0100000US
3344	2018	52713572	11384464	3203706	105467	0100000US
3344	2018	4170472	961291	237306	18731	0100000US
3344	2018	5637260	1235364	315899	17812	0100000US
3344	2018	20501877	2829936	673017	48591	0100000US
3344	2018	12991288	3164721	792088	52511	0100000US
3345	2018	153997706	33402253	8480642	389747	0100000US
3345	2018	153997706	33402253	8480642	389747	0100000US
3345	2018	34564459	7047648	1791579	85045	0100000US
3345	2018	50864972	11544742	2958501	120371	0100000US
3345	2018	3066956	875985	256954	11402	0100000US
3345	2018	11167064	2559685	668056	34700	0100000US
3345	2018	5391724	882317	218687	12585	0100000US
3345	2018	11436218	2628435	630696	30390	0100000US
3345	2018	16265049	3707055	916946	44081	0100000US
3345	2018	7988633	1239183	310000	14728	0100000US
3345	2018	13252630	2917203	729224	36444	0100000US
3346	2018	1695953	426611	107156	7871	0100000US
3346	2018	1695953	426611	107156	7871	0100000US
3346	2018	338641	36585	8595	512	0100000US
3346	2018	1357312	390026	98561	7359	0100000US
3351	2018	14264428	2494909	601992	41229	0100000US
3351	2018	1753121	267365	68570	4112	0100000US
3351	2018	1753121	267365	68570	4112	0100000US
3351	2018	12511307	2227544	533422	37118	0100000US
3351	2018	2016360	313742	72034	6296	0100000US
3351	2018	5586609	1125174	277455	18365	0100000US
3351	2018	4908339	788628	183933	12457	0100000US
3352	2018	23383498	2476596	648529	52311	0100000US
3352	2018	3832454	442424	122152	9916	0100000US
3352	2018	3832454	442424	122152	9916	0100000US
3352	2018	19551044	2034172	526377	42395	0100000US
3352	2018	19551044	2034172	526377	42395	0100000US
3353	2018	40073183	6917516	1733315	111992	0100000US
3353	2018	40073183	6917516	1733315	111992	0100000US
3353	2018	5625040	1013431	252357	17985	0100000US
3353	2018	10803246	1719233	428308	29002	0100000US
3353	2018	13122376	1959193	491552	30621	0100000US
3353	2018	10522522	2225659	561099	34384	0100000US
3359	2018	51998246	8735826	2177791	139394	0100000US
3359	2018	10046411	1875408	464186	31687	0100000US
3359	2018	7771803	1445455	346664	25639	0100000US
3359	2018	2274608	429953	117522	6048	0100000US
3359	2018	11242243	1432378	356511	24200	0100000US
3359	2018	2901202	408085	96219	6829	0100000US
3359	2018	8341041	1024293	260292	17371	0100000US
3359	2018	14674785	2150943	517979	37932	0100000US
3359	2018	8939202	1457210	349039	25456	0100000US
3359	2018	5735583	693733	168940	12476	0100000US
3359	2018	16034807	3277097	839116	45575	0100000US
3359	2018	4467726	654992	160460	9672	0100000US
3359	2018	11567081	2622105	678656	35902	0100000US
3361	2018	347588886	16875754	4372917	217537	0100000US
3361	2018	315171307	14895084	3923323	187386	0100000US
3361	2018	108323824	6771687	1628140	81727	0100000US
3361	2018	206847483	8123397	2295183	105659	0100000US
3361	2018	32417580	1980670	449594	30151	0100000US
3361	2018	32417580	1980670	449594	30151	0100000US
3362	2018	50808643	7716110	1930036	157618	0100000US
3362	2018	50808643	7716110	1930036	157618	0100000US
3362	2018	15297208	2426100	602962	49020	0100000US
3362	2018	12069497	1737708	421193	38016	0100000US
3362	2018	5178109	651411	168204	13715	0100000US
3362	2018	18263830	2900891	737677	56867	0100000US
3363	2018	270159142	32456195	8252663	592583	0100000US
3363	2018	40184391	4130808	1096660	64038	0100000US
3363	2018	40184391	4130808	1096660	64038	0100000US
3363	2018	24009763	3036529	718377	57597	0100000US
3363	2018	24009763	3036529	718377	57597	0100000US
3363	2018	15805193	2006367	506710	37095	0100000US
3363	2018	15805193	2006367	506710	37095	0100000US
3363	2018	12239697	1256699	320832	24023	0100000US
3363	2018	12239697	1256699	320832	24023	0100000US
3363	2018	42689314	4876555	1336103	76833	0100000US
3363	2018	42689314	4876555	1336103	76833	0100000US
3363	2018	30128783	3465808	851192	72692	0100000US
3363	2018	30128783	3465808	851192	72692	0100000US
3363	2018	38327693	5944310	1532957	105656	0100000US
