GeographySummary	2017 NAICS code	NAICS Code Related	Year	"Sales, value of shipments, or revenue ($1,000)"	"Annual payroll ($1,000)"	"First-quarter payroll ($1,000)"	Number of employees	GeographyVariant	GeographyNation
10	31151	32213	2018	109150310	7108739	1831664	129375	0	US
10	311511	32521	2018	37241102	3138576	814038	55632	0	US
10	311512	3364	2018	7070513	216392	53085	3718	0	US
10	311513	339999	2018	47630519	2768666	708408	53331	0	US
10	311514	33451	2018	17208177	985104	256133	16693	0	US
10	31152	32522	2018	8338813	970757	241143	20258	0	US
10	311520	336413	2018	8338813	970757	241143	20258	0	US
10	3116	311412	2018	215808363	19940086	4807063	498207	0	US
10	31161	325314	2018	215808363	19940086	4807063	498207	0	US
10	311611	339930	2018	93512927	6536169	1565062	142841	0	US
10	311612	325413	2018	53250394	5095611	1239397	114184	0	US
10	311613	32712	2018	4628121	486736	125533	9022	0	US
10	311615	3328	2018	64416921	7821571	1877071	232160	0	US
10	3117	334210	2018	13461709	1502636	359669	31304	0	US
10	31171	335999	2018	13461709	1502636	359669	31304	0	US
10	311710	33791	2018	13461709	1502636	359669	31304	0	US
10	3118	336415	2018	69365384	10894072	2677500	264024	0	US
10	31181	33441	2018	43067835	7626515	1885608	196675	0	US
10	311811	311340	2018	4727667	1474053	342663	59088	0	US
10	311812	314999	2018	32037945	5218237	1301900	114214	0	US
10	311813	331492	2018	6302223	934225	241045	23374	0	US
10	31182	3311	2018	22062927	2540402	617838	49833	0	US
10	311821	325992	2018	10744799	1489418	357047	29412	0	US
10	311824	336212	2018	11318128	1050984	260792	20421	0	US
10	31183	333314	2018	4234623	727155	174054	17516	0	US
10	311830	32712	2018	4234623	727155	174054	17516	0	US
10	3119	33211	2018	115597688	10319831	2490884	204830	0	US
10	31191	321212	2018	39306282	2818284	662736	58199	0	US
10	311911	333997	2018	14912299	905382	208839	19583	0	US
10	311919	323120	2018	24393983	1912901	453897	38617	0	US
10	31192	3343	2018	12447557	972101	249104	17515	0	US
10	311920	336112	2018	12447557	972101	249104	17515	0	US
10	31193	331524	2018	11241110	494391	119197	7169	0	US
10	311930	3261	2018	11241110	494391	119197	7169	0	US
10	31194	335129	2018	22804904	2389758	586631	39576	0	US
10	311941	336350	2018	9994742	1012511	238992	18550	0	US
10	311942	337122	2018	12810162	1377247	347639	21026	0	US
10	31199	327410	2018	29797835	3645298	873217	82371	0	US
10	311991	335121	2018	17301725	2337475	553318	56677	0	US
10	311999	33151	2018	12496109	1307822	319898	25694	0	US
10	312	3313	2018	156130798	11731452	2873633	221186	0	US
10	3121	325220	2018	108884165	10814483	2594391	207948	0	US
10	31211	331222	2018	44179085	4055967	977112	76212	0	US
10	312111	333131	2018	37254605	3258690	794403	59191	0	US
10	312112	33531	2018	6041665	575351	140891	11793	0	US
10	312113	332812	2018	882815	221926	41818	5228	0	US
10	31212	3231	2018	30834473	3180317	782303	69574	0	US
10	312120	3212	2018	30834473	3180317	782303	69574	0	US
10	31213	33291	2018	20682375	2787811	649975	49950	0	US
10	312130	332992	2018	20682375	2787811	649975	49950	0	US
10	31214	336414	2018	13188232	790388	185001	12211	0	US
10	312140	332321	2018	13188232	790388	185001	12211	0	US
10	3122	33994	2018	47246633	916969	279243	13239	0	US
10	31223	326121	2018	47246633	916969	279243	13239	0	US
10	312230	325180	2018	47246633	916969	279243	13239	0	US
10	313	312120	2018	27811403	4014071	1008058	90474	0	US
10	3131	3118	2018	6886303	806678	199283	20666	0	US
10	31311	334517	2018	6886303	806678	199283	20666	0	US
10	313110	315210	2018	6886303	806678	199283	20666	0	US
10	3132	31412	2018	13296725	1985202	504674	43354	0	US
10	31321	332912	2018	3818540	647933	160088	15782	0	US
10	313210	336330	2018	3818540	647933	160088	15782	0	US
10	31322	3346	2018	946351	203305	52030	4898	0	US
10	313220	334614	2018	946351	203305	52030	4898	0	US
10	31323	332119	2018	7154664	871193	228769	16375	0	US
10	313230	326291	2018	7154664	871193	228769	16375	0	US
10	31324	339920	2018	1377170	262772	63787	6299	0	US
10	313240	31332	2018	1377170	262772	63787	6299	0	US
10	3133	334118	2018	7628374	1222190	304101	26454	0	US
10	31331	3345	2018	5059911	813647	205243	19478	0	US
10	313310	334210	2018	5059911	813647	205243	19478	0	US
10	31332	33272	2018	2568463	408544	98858	6977	0	US
10	313320	3339	2018	2568463	408544	98858	6977	0	US
10	314	31322	2018	22658822	4036856	981942	102395	0	US
10	3141	311813	2018	12855628	1865915	464995	46934	0	US
10	31411	311919	2018	9232905	1176617	294568	26538	0	US
10	314110	333414	2018	9232905	1176617	294568	26538	0	US
10	31412	321920	2018	3622723	689298	170427	20396	0	US
10	314120	3117	2018	3622723	689298	170427	20396	0	US
10	3149	33152	2018	9803194	2170941	516947	55461	0	US
10	31491	33312	2018	3197758	787311	177523	19431	0	US
10	314910	32511	2018	3197758	787311	177523	19431	0	US
10	31499	333413	2018	6605435	1383629	339424	36029	0	US
10	314994	311514	2018	1670285	289997	76897	5846	0	US
10	314999	3326	2018	4935150	1093633	262527	30183	0	US
10	315	324122	2018	9740308	2526751	610535	78525	0	US
10	3151	311821	2018	1180860	314509	76306	10429	0	US
10	31511	327120	2018	929643	249107	59687	8372	0	US
10	315110	331491	2018	929643	249107	59687	8372	0	US
10	31519	311511	2018	251217	65402	16619	2057	0	US
10	315190	311352	2018	251217	65402	16619	2057	0	US
10	3152	33261	2018	7493817	1970428	474078	60266	0	US
10	31521	333314	2018	1930194	669030	157291	24191	0	US
10	315210	333613	2018	1930194	669030	157291	24191	0	US
10	31522	324	2018	1556926	452657	109122	15425	0	US
10	315220	311830	2018	1556926	452657	109122	15425	0	US
10	31524	311613	2018	2839408	584991	142247	13283	0	US
10	315240	32619	2018	2839408	584991	142247	13283	0	US
10	31528	322212	2018	1167290	263750	65418	7367	0	US
10	315280	322110	2018	1167290	263750	65418	7367	0	US
10	3159	333611	2018	1065631	241815	60151	7830	0	US
10	31599	31611	2018	1065631	241815	60151	7830	0	US
10	315990	33991	2018	1065631	241815	60151	7830	0	US
10	316	336992	2018	4601292	1002074	247392	26035	0	US
10	3161	3117	2018	1270784	140457	32502	3273	0	US
10	31611	32621	2018	1270784	140457	32502	3273	0	US
10	316110	32613	2018	1270784	140457	32502	3273	0	US
10	3162	313110	2018	1768800	457465	117578	12192	0	US
10	31621	325613	2018	1768800	457465	117578	12192	0	US
10	316210	313	2018	1768800	457465	117578	12192	0	US
10	3169	3149	2018	1561708	404151	97312	10570	0	US
10	31699	31191	2018	1561708	404151	97312	10570	0	US
10	316992	333511	2018	355393	70932	20137	1576	0	US
10	316998	3241	2018	1206315	333219	77175	8994	0	US
10	321	33142	2018	114213352	17580031	4157465	402450	0	US
10	3211	339940	2018	34996566	4276876	1038725	86828	0	US
10	32111	327332	2018	34996566	4276876	1038725	86828	0	US
10	321113	3169	2018	28101457	3747438	910792	75313	0	US
10	321114	311211	2018	6895109	529438	127932	11515	0	US
10	3212	335312	2018	25287893	3575006	847521	76412	0	US
10	32121	334412	2018	25287893	3575006	847521	76412	0	US
10	321211	336370	2018	3131686	489488	120125	11567	0	US
10	321212	332431	2018	4321137	645059	164729	12650	0	US
10	321213	33411	2018	2578066	281582	69181	5557	0	US
10	321214	336612	2018	7161813	1336149	267561	33197	0	US
10	321219	32312	2018	8095191	822727	225926	13441	0	US
10	3219	313210	2018	53928894	9728149	2271219	239210	0	US
10	32191	311111	2018	26670178	4593063	1080403	107997	0	US
10	321911	327991	2018	13283582	2474312	579529	54155	0	US
10	321912	3273	2018	6002482	861065	199785	21693	0	US
10	321918	326220	2018	7384114	1257686	301089	32148	0	US
10	32192	337212	2018	10154220	1968164	462472	53997	0	US
10	321920	3119	2018	10154220	1968164	462472	53997	0	US
10	32199	332322	2018	17104495	3166922	728343	77216	0	US
10	321991	325	2018	4832708	979861	218050	22943	0	US
10	321992	326113	2018	4328457	809322	181442	17992	0	US
10	321999	325612	2018	7943329	1377740	328851	36281	0	US
10	322	335311	2018	191414905	21554538	5501635	328768	0	US
10	3221	3342	2018	77886570	7619110	1952798	91904	0	US
10	32211	311352	2018	6837884	841278	201065	9260	0	US
10	322110	326299	2018	6837884	841278	201065	9260	0	US
10	32212	3272	2018	36751599	3618295	955420	46330	0	US
10	322121	31171	2018	35717353	3519853	926264	45230	0	US
10	322122	326112	2018	1034246	98442	29156	1100	0	US
10	32213	333414	2018	34297086	3159537	796313	36314	0	US
10	322130	332431	2018	34297086	3159537	796313	36314	0	US
10	3222	33281	2018	113528335	13935428	3548837	236864	0	US
10	32221	327211	2018	67556104	8376861	2120345	139946	0	US
10	322211	3363	2018	38757486	4651473	1183861	75121	0	US
10	322212	325620	2018	21239697	2819715	717085	46773	0	US
10	322219	333613	2018	7558921	905674	219399	18052	0	US
10	32222	332721	2018	23345495	2976202	766436	49440	0	US
10	322220	337121	2018	23345495	2976202	766436	49440	0	US
10	32223	321114	2018	5789792	733881	180339	15256	0	US
10	322230	321991	2018	5789792	733881	180339	15256	0	US
10	32229	3315	2018	16836945	1848483	481717	32222	0	US
10	322291	325520	2018	12092257	1076834	289152	17618	0	US
10	322299	32739	2018	4744688	771650	192565	14605	0	US
10	323	33331	2018	83310469	20962094	5158594	420133	0	US
10	3231	327310	2018	83310469	20962094	5158594	420133	0	US
10	32311	311513	2018	80394828	19926373	4907589	398717	0	US
10	323111	325193	2018	66990907	16577318	4109451	315535	0	US
10	323113	332911	2018	8869763	2259622	528475	61017	0	US
10	323117	336111	2018	4534159	1089433	269663	22165	0	US
10	32312	33122	2018	2915640	1035721	251004	21416	0	US
10	323120	3366	2018	2915640	1035721	251004	21416	0	US
10	324	335313	2018	672627047	11367943	3249998	107735	0	US
10	3241	331314	2018	672627047	11367943	3249998	107735	0	US
10	32411	335921	2018	624724725	8300210	2519022	65474	0	US
10	324110	33461	2018	624724725	8300210	2519022	65474	0	US
10	32412	31511	2018	24935817	1763423	398354	26049	0	US
10	324121	331410	2018	13919254	1042352	211490	15912	0	US
10	324122	326122	2018	11016563	721071	186864	10136	0	US
10	32419	32192	2018	22966505	1304309	332622	16211	0	US
10	324191	334111	2018	18425065	1075761	273702	13005	0	US
10	324199	316	2018	4541440	228549	58920	3206	0	US
10	325	337214	2018	758063316	60701944	16166570	761701	0	US
10	3251	332510	2018	230686282	13431425	3567820	146630	0	US
10	32511	32799	2018	58821513	1201558	330755	9189	0	US
10	325110	32721	2018	58821513	1201558	330755	9189	0	US
10	32512	332117	2018	8825127	933626	228418	12475	0	US
10	325120	32614	2018	8825127	933626	228418	12475	0	US
10	32513	333611	2018	6095878	627022	162666	7688	0	US
10	325130	3335	2018	6095878	627022	162666	7688	0	US
10	32518	31194	2018	34869685	3369254	903474	38162	0	US
10	325180	335311	2018	34869685	3369254	903474	38162	0	US
10	32519	337920	2018	122074079	7299965	1942508	79116	0	US
10	325193	312111	2018	31366652	797448	213948	10871	0	US
10	325194	32612	2018	6173853	489185	121925	5054	0	US
10	325199	322220	2018	84533574	6013332	1606635	63190	0	US
10	3252	3111	2018	109692840	7669320	2056692	93197	0	US
10	32521	3341	2018	103249131	7008194	1895302	80825	0	US
10	325211	33512	2018	94852760	6217567	1679392	71095	0	US
10	325212	32591	2018	8396371	790628	215911	9730	0	US
10	32522	3252	2018	6443709	661126	161389	12372	0	US
10	325220	311611	2018	6443709	661126	161389	12372	0	US
10	3253	327420	2018	32589952	2419159	618174	32948	0	US
10	32531	322110	2018	17982488	1566528	404502	20907	0	US
10	325311	3211	2018	6980879	528315	143459	6210	0	US
10	325312	311919	2018	6073654	540864	141305	5802	0	US
10	325314	3333	2018	4927955	497349	119738	8896	0	US
10	32532	325411	2018	14607464	852632	213671	12041	0	US
10	325320	311613	2018	14607464	852632	213671	12041	0	US
10	3254	33441	2018	209256454	21392571	5861353	243931	0	US
10	32541	332410	2018	209256454	21392571	5861353	243931	0	US
10	325411	3262	2018	11992741	1914833	509188	26324	0	US
10	325412	33399	2018	153347176	12158619	3302976	141047	0	US
10	325413	32733	2018	13392570	2684255	759646	28510	0	US
10	325414	33221	2018	30523968	4634863	1289544	48051	0	US
10	3255	316110	2018	43059295	4093722	1103272	59989	0	US
10	32551	33792	2018	27352252	2369070	652099	35569	0	US
10	325510	335991	2018	27352252	2369070	652099	35569	0	US
10	32552	312230	2018	15707044	1724652	451172	24420	0	US
10	325520	33599	2018	15707044	1724652	451172	24420	0	US
10	3256	334	2018	85185672	6411864	1666188	102836	0	US
10	32561	339113	2018	38887393	3259336	836254	49480	0	US
10	325611	339999	2018	24795711	1636886	403255	26661	0	US
10	325612	334511	2018	6518700	1061458	281682	15929	0	US
10	325613	327991	2018	7572981	560992	151317	6890	0	US
10	32562	333992	2018	46298279	3152528	829934	53356	0	US
10	325620	311212	2018	46298279	3152528	829934	53356	0	US
10	3259	3262	2018	47592820	5283883	1293071	82169	0	US
10	32591	333	2018	4678660	665583	160683	10118	0	US
10	325910	32411	2018	4678660	665583	160683	10118	0	US
10	32592	334613	2018	2726787	499792	122150	7613	0	US
10	325920	3379	2018	2726787	499792	122150	7613	0	US
10	32599	332991	2018	40187373	4118508	1010238	64438	0	US
10	325991	31122	2018	11493397	1183581	280218	18719	0	US
10	325992	33313	2018	5961791	506412	121285	8552	0	US
10	325998	32742	2018	22732184	2428515	608735	37167	0	US
10	326	333996	2018	251621105	38211204	9496605	775936	0	US
10	3261	333992	2018	204595253	30686842	7654795	640987	0	US
10	32611	3329	2018	41022197	5202811	1319796	94904	0	US
10	326111	334310	2018	11281340	1467083	353843	30742	0	US
10	326112	3212	2018	13838626	1835281	460246	31689	0	US
10	326113	335911	2018	15902231	1900447	505707	32473	0	US
10	32612	3271	2018	20808328	2190429	535876	40216	0	US
10	326121	333111	2018	8477168	1034330	252437	17772	0	US
10	326122	333415	2018	12331160	1156099	283438	22444	0	US
10	32613	313220	2018	4314372	679745	179916	11756	0	US
10	326130	321113	2018	4314372	679745	179916	11756	0	US
10	32614	3314	2018	9487292	1248376	299260	28014	0	US
10	326140	334519	2018	9487292	1248376	299260	28014	0	US
10	32615	325412	2018	11448404	1466103	392651	31285	0	US
10	326150	326121	2018	11448404	1466103	392651	31285	0	US
10	32616	339930	2018	11317480	1409743	352048	26841	0	US
10	326160	321113	2018	11317480	1409743	352048	26841	0	US
10	32619	322130	2018	106197180	18489635	4575249	407971	0	US
10	326191	333120	2018	4718632	810720	189356	18407	0	US
10	326199	332919	2018	101478548	17678915	4385894	389564	0	US
10	3262	31152	2018	47025852	7524362	1841810	134949	0	US
10	32621	3339	2018	22378411	3301780	782083	53004	0	US
10	326211	315240	2018	20757693	3009195	716833	46328	0	US
10	326212	325130	2018	1620718	292585	65250	6676	0	US
10	32622	31324	2018	5730931	1072456	273448	20286	0	US
10	326220	31323	2018	5730931	1072456	273448	20286	0	US
10	32629	331314	2018	18916510	3150126	786279	61659	0	US
10	326291	33633	2018	8310117	1492767	365572	31804	0	US
10	326299	32551	2018	10606393	1657359	420707	29854	0	US
10	327	334111	2018	130152791	21737718	5216055	401203	0	US
10	3271	33299	2018	8374143	1750164	429875	35476	0	US
10	32711	313	2018	2444074	583859	140474	12378	0	US
10	327110	33341	2018	2444074	583859	140474	12378	0	US
10	32712	333921	2018	5930068	1166305	289402	23098	0	US
10	327120	31522	2018	5930068	1166305	289402	23098	0	US
10	3272	333995	2018	27649065	5046534	1312246	93864	0	US
10	32721	321912	2018	27649065	5046534	1312246	93864	0	US
10	327211	3331	2018	4358026	619796	164048	12259	0	US
10	327212	33429	2018	3960443	755740	192990	13593	0	US
10	327213	336212	2018	4626329	897323	240023	13208	0	US
10	327215	311313	2018	14704266	2773674	715185	54804	0	US
10	3273	334514	2018	61478758	9779239	2194317	181484	0	US
10	32731	311230	2018	8531996	1029086	251560	15658	0	US
10	327310	311411	2018	8531996	1029086	251560	15658	0	US
10	32732	332999	2018	32360283	4534788	943460	82639	0	US
10	327320	31621	2018	32360283	4534788	943460	82639	0	US
10	32733	333991	2018	6836693	1182334	275883	23893	0	US
10	327331	332312	2018	4852420	823458	192470	15760	0	US
10	327332	3114	2018	1984273	358876	83413	8134	0	US
10	32739	336510	2018	13749786	3033031	723413	59294	0	US
10	327390	31524	2018	13749786	3033031	723413	59294	0	US
10	3274	325411	2018	8429492	987297	250794	13193	0	US
10	32741	322219	2018	2394609	303607	74600	4172	0	US
10	327410	331221	2018	2394609	303607	74600	4172	0	US
10	32742	325220	2018	6034883	683690	176194	9021	0	US
10	327420	327	2018	6034883	683690	176194	9021	0	US
10	3279	3399	2018	24221333	4174485	1028822	77186	0	US
10	32791	311221	2018	4468104	707030	180360	11313	0	US
10	327910	332618	2018	4468104	707030	180360	11313	0	US
10	32799	327212	2018	19753229	3467455	848463	65873	0	US
10	327991	333993	2018	5092606	1428443	338619	30453	0	US
10	327992	32221	2018	4050708	556147	155289	9148	0	US
10	327993	31131	2018	6113064	929219	220635	14146	0	US
10	327999	316110	2018	4496851	553646	133920	12126	0	US
10	331	3334	2018	253346894	24087433	6021569	365673	0	US
10	3311	336211	2018	102481444	7373567	1865349	84015	0	US
10	33111	331	2018	102481444	7373567	1865349	84015	0	US
10	331110	332111	2018	102481444	7373567	1865349	84015	0	US
10	3312	322122	2018	27449719	3008071	738148	49713	0	US
10	33121	325130	2018	14097369	1650455	407926	25374	0	US
10	331210	325314	2018	14097369	1650455	407926	25374	0	US
10	33122	325199	2018	13352349	1357616	330222	24339	0	US
10	331221	3361	2018	6895195	589394	142238	9507	0	US
10	331222	3169	2018	6457155	768222	187984	14832	0	US
10	3313	331512	2018	41954199	3713056	929465	58980	0	US
10	33131	337124	2018	41954199	3713056	929465	58980	0	US
10	331313	323	2018	3268798	323156	87159	4172	0	US
10	331314	314110	2018	6420817	350775	90136	5845	0	US
10	331315	312111	2018	19014383	1489730	370686	18845	0	US
10	331318	334	2018	13250201	1549395	381484	30118	0	US
10	3314	326	2018	50088944	3613929	909838	56290	0	US
10	33141	311830	2018	12214243	547836	144943	7811	0	US
10	331410	311710	2018	12214243	547836	144943	7811	0	US
10	33142	31191	2018	23491897	1448730	368794	24545	0	US
10	331420	337215	2018	23491897	1448730	368794	24545	0	US
10	33149	3121	2018	14382804	1617364	396101	23933	0	US
10	331491	3274	2018	6700827	1009125	244440	14677	0	US
10	331492	31131	2018	7681977	608239	151661	9256	0	US
10	3315	31151	2018	31372589	6378809	1578769	116674	0	US
10	33151	333519	2018	18130155	3606916	876175	61534	0	US
10	331511	311911	2018	10576243	2063690	498173	34820	0	US
10	331512	333922	2018	3936978	836622	199447	14801	0	US
10	331513	325211	2018	3616934	706605	178555	11913	0	US
10	33152	334413	2018	13242434	2771893	702594	55140	0	US
10	331523	33721	2018	7475756	1584807	406787	31857	0	US
10	331524	332919	2018	3029973	733131	174784	14684	0	US
10	331529	311611	2018	2736705	453955	121024	8599	0	US
10	332	312113	2018	372868338	77203524	18733697	1391265	0	US
10	3321	33632	2018	33553806	5802626	1415416	103760	0	US
10	33211	324199	2018	33553806	5802626	1415416	103760	0	US
10	332111	336413	2018	9215121	1292865	322707	21304	0	US
10	332112	325194	2018	2512202	390685	101980	6087	0	US
10	332114	311612	2018	7507600	996139	241135	17542	0	US
10	332117	339116	2018	2442749	521757	122046	10225	0	US
10	332119	32562	2018	11876134	2601181	627548	48602	0	US
10	3322	337212	2018	9996673	1826194	465405	34329	0	US
10	33221	336120	2018	9996673	1826194	465405	34329	0	US
10	332215	316210	2018	3316427	378732	101794	6772	0	US
10	332216	3222	2018	6680246	1447462	363611	27557	0	US
10	3323	31499	2018	97709710	19355327	4605429	358790	0	US
10	33231	332321	2018	51929701	9338388	2248599	165949	0	US
10	332311	32518	2018	8477497	1442114	346350	26497	0	US
10	332312	31121	2018	35249029	5892259	1421357	101460	0	US
10	332313	331313	2018	8203174	2004014	480892	37992	0	US
10	33232	312140	2018	45780009	10016939	2356830	192841	0	US
10	332321	325413	2018	12961188	2701472	648037	52020	0	US
10	332322	33241	2018	24949297	5489535	1277675	106508	0	US
10	332323	33631	2018	7869524	1825932	431118	34314	0	US
10	3324	33461	2018	36409625	5434618	1342332	85371	0	US
10	33241	32211	2018	7627472	1587790	404768	23356	0	US
10	332410	32733	2018	7627472	1587790	404768	23356	0	US
10	33242	33995	2018	9709523	2058836	493410	34036	0	US
10	332420	33399	2018	9709523	2058836	493410	34036	0	US
10	33243	334417	2018	19072630	1787992	444153	27979	0	US
10	332431	311213	2018	15783927	1252657	313616	17489	0	US
10	332439	3151	2018	3288704	535335	130537	10490	0	US
10	3325	333515	2018	9129923	1526018	370296	29843	0	US
10	33251	332114	2018	9129923	1526018	370296	29843	0	US
10	332510	33281	2018	9129923	1526018	370296	29843	0	US
10	3326	339	2018	10003275	1918858	461498	38208	0	US
10	33261	327390	2018	10003275	1918858	461498	38208	0	US
10	332613	32531	2018	4457221	897694	212791	17616	0	US
10	332618	336320	2018	5546054	1021165	248707	20593	0	US
10	3327	322230	2018	72630014	20561560	4910839	372047	0	US
10	33271	3379	2018	40573201	12594421	2975161	231959	0	US
10	332710	31599	2018	40573201	12594421	2975161	231959	0	US
10	33272	33635	2018	32056813	7967139	1935678	140087	0	US
10	332721	3259	2018	20724133	5776095	1389908	104319	0	US
10	332722	339995	2018	11332679	2191044	545770	35768	0	US
10	3328	33591	2018	28269324	6088455	1487694	122199	0	US
10	33281	333241	2018	28269324	6088455	1487694	122199	0	US
10	332811	333132	2018	5690041	1194195	297141	20478	0	US
10	332812	321999	2018	14937169	2610021	638994	52090	0	US
10	332813	327910	2018	7642114	2284238	551560	49630	0	US
10	3329	32741	2018	75165988	14689868	3674788	246717	0	US
10	33291	33131	2018	33251101	5887312	1503581	90873	0	US
10	332911	333318	2018	12733114	2279270	602509	34815	0	US
10	332912	334419	2018	11254158	2393045	597111	35187	0	US
10	332913	332	2018	5263599	507134	135292	9044	0	US
10	332919	33637	2018	4000231	707863	168670	11828	0	US
10	33299	331221	2018	41914886	8802556	2171207	155843	0	US
10	332991	333112	2018	6431827	1142406	284745	20704	0	US
10	332992	316210	2018	3959592	630265	166993	11852	0	US
10	332993	33791	2018	3242498	976194	249347	12537	0	US
10	332994	33531	2018	6120498	1146894	284512	18213	0	US
10	332996	32518	2018	6844150	1516093	380179	26849	0	US
10	332999	326150	2018	15316320	3390705	805431	65688	0	US
10	333	3113	2018	390434595	67106515	16836361	1042126	0	US
10	3331	33251	2018	92101680	11211250	2792058	184077	0	US
10	33311	311213	2018	36727796	3950554	976792	72759	0	US
10	333111	339991	2018	28939188	3283357	811670	55097	0	US
10	333112	33991	2018	7788608	667197	165122	17662	0	US
10	33312	311511	2018	34815997	3766104	943736	60377	0	US
10	333120	3327	2018	34815997	3766104	943736	60377	0	US
10	33313	335911	2018	20557887	3494592	871531	50942	0	US
10	333131	33511	2018	4981177	888588	231707	14421	0	US
10	333132	3141	2018	15576710	2606004	639824	36521	0	US
10	3332	336214	2018	36273308	8729357	2351219	109002	0	US
10	33324	3211	2018	36273308	8729357	2351219	109002	0	US
10	333241	3332	2018	5690589	1234243	311905	17660	0	US
10	333242	334510	2018	9358428	2637061	821129	19391	0	US
10	333243	31135	2018	3700737	858958	214070	12375	0	US
10	333244	333316	2018	1804592	425571	109404	6392	0	US
10	333249	33151	2018	15718961	3573524	894711	53183	0	US
10	3333	3161	2018	26360338	4853432	1187199	74960	0	US
10	33331	324121	2018	26360338	4853432	1187199	74960	0	US
10	333314	311313	2018	4902505	1152244	277684	15548	0	US
10	333316	32522	2018	1268084	207063	51559	3460	0	US
10	333318	3324	2018	20189749	3494125	857955	55952	0	US
10	3334	3323	2018	44149565	6708693	1661485	133576	0	US
10	33341	3219	2018	44149565	6708693	1661485	133576	0	US
10	333413	323113	2018	6136820	1241372	296774	24504	0	US
10	333414	311999	2018	4590194	775836	192232	13999	0	US
10	333415	31192	2018	33422551	4691485	1172478	95074	0	US
10	3335	32599	2018	33371316	9070025	2207356	147853	0	US
10	33351	311710	2018	33371316	9070025	2207356	147853	0	US
10	333511	332913	2018	6617590	2024632	494878	35800	0	US
10	333514	31213	2018	9326310	2819169	691258	45986	0	US
10	333515	32629	2018	5599267	1581384	389676	26556	0	US
10	333517	3325	2018	8249223	1750494	415344	26735	0	US
10	333519	311821	2018	3578926	894345	216201	12776	0	US
10	3336	324122	2018	47930754	6533226	1678666	98084	0	US
10	33361	327420	2018	47930754	6533226	1678666	98084	0	US
10	333611	31134	2018	10532008	2474001	651537	31668	0	US
10	333612	325611	2018	3481561	689182	166772	11617	0	US
10	333613	3132	2018	4905701	982560	238785	15778	0	US
10	333618	333921	2018	29011484	2387482	621572	39021	0	US
10	3339	327215	2018	110247635	20000534	4958378	294575	0	US
10	33391	32519	2018	28520137	4145143	1064029	59380	0	US
10	333912	311340	2018	9791855	1427356	354234	20524	0	US
10	333914	3118	2018	18728282	2717787	709796	38856	0	US
10	33392	31411	2018	32462132	5724440	1420706	90948	0	US
10	333921	327	2018	3346156	554971	131135	9319	0	US
10	333922	31183	2018	10412597	2472834	591413	36386	0	US
10	333923	31491	2018	7979416	1081267	310550	18251	0	US
10	333924	315	2018	10723964	1615369	387608	26992	0	US
10	33399	325212	2018	49265366	10130950	2473643	144247	0	US
10	333991	32513	2018	3512335	406743	102867	7209	0	US
10	333992	321	2018	5613234	1058838	247564	14880	0	US
10	333993	333244	2018	7137563	1427156	359426	20166	0	US
10	333994	315110	2018	2652572	719791	188142	10852	0	US
10	333995	334112	2018	7620851	1674475	402665	21839	0	US
10	333996	33221	2018	4582620	769264	184384	10513	0	US
10	333997	323	2018	1040825	200209	52095	3127	0	US
