Economic Sector	Subsector	Industry Group	Code	Establishment age code	Year	Number of firms	Number of establishments	Number of employees	Number of establishments born during the last 12 months	Number of establishments exited during the last 12 months	id
32	6	2	91	70	1984	26971	29032	1023191	678	2960	0100000US
33	1	4	20	1	1985	282402	329831	17440468	39765	31389	0100000US
31	1	2	11	30	1985	17134	17993	470036	559	3475	0100000US
32	1	9	20	60	1985	13431	14187	500595	375	1702	0100000US
32	4	1	21	150	1985	141985	167998	12664774	1512	12089	0100000US
31	1	5	20	10	1986	28849	30422	678226	30422	0	0100000US
31	5	2	20	30	1986	17175	18289	524129	525	3329	0100000US
31	5	2	40	60	1986	15260	16080	564360	319	1924	0100000US
31	6	9	98	70	1986	45265	49274	1788539	913	5101	0100000US
32	7	3	20	150	1986	133279	157549	11811580	1221	10692	0100000US
32	7	3	20	1	1987	282101	328603	16628758	34938	34439	0100000US
32	6	2	91	30	1987	22368	23649	649587	831	4389	0100000US
33	1	4	20	50	1987	13427	14098	415158	342	2044	0100000US
31	1	2	11	150	1987	124594	146818	11114207	1299	11072	0100000US
32	1	9	20	20	1988	22963	24090	571285	0	6364	0100000US
32	4	1	21	40	1988	19943	21128	651923	595	3153	0100000US
31	1	5	20	60	1988	12424	13042	416890	329	1486	0100000US
31	5	2	20	80	1988	10257	10932	468624	184	837	0100000US
31	5	2	40	10	1989	29580	31000	609630	31000	0	0100000US
31	6	9	98	20	1989	24002	25828	743283	0	6118	0100000US
32	7	3	20	30	1989	19946	20974	573757	552	3719	0100000US
32	7	3	20	40	1989	18664	19753	709108	529	2867	0100000US
32	6	2	91	70	1989	51385	55696	2212877	1009	5282	0100000US
33	1	4	20	150	1989	113055	132795	10529183	1068	8177	0100000US
31	1	2	11	20	1990	23748	25001	601457	0	5943	0100000US
32	1	9	20	50	1990	16966	17964	676586	423	2200	0100000US
32	4	1	21	70	1990	51371	55802	2209750	1088	4951	0100000US
31	1	5	20	150	1990	107688	126526	10041337	958	6989	0100000US
31	5	2	20	10	1991	24830	25891	422275	25891	0	0100000US
31	5	2	40	40	1991	18223	19689	635846	462	3125	0100000US
31	6	9	98	50	1991	16313	17190	506043	416	2343	0100000US
32	7	3	20	60	1991	15893	16810	621237	338	1954	0100000US
32	7	3	20	70	1991	55990	60680	2228746	1078	5811	0100000US
32	6	2	91	1	1992	286929	333232	15893415	27866	32790	0100000US
33	1	4	20	20	1992	19390	20304	418710	0	5526	0100000US
31	1	2	11	50	1992	16265	17551	610261	387	2498	0100000US
32	1	9	20	80	1992	41379	44826	1859660	560	3541	0100000US
32	4	1	21	1	1993	289102	334916	15903383	30036	28765	0100000US
31	1	5	20	20	1993	18436	19135	434846	0	4762	0100000US
31	5	2	20	40	1993	16356	17209	451866	493	2484	0100000US
31	5	2	40	70	1993	57190	62203	2338570	1178	5430	0100000US
31	6	9	98	80	1993	39938	43064	1831404	612	2955	0100000US
32	7	3	20	90	1993	7869	8359	390385	108	553	0100000US
32	7	3	20	150	1993	92735	108553	8517948	745	5587	0100000US
32	6	2	91	20	1994	19706	20496	439819	0	5141	0100000US
33	1	4	20	40	1994	15106	15861	378681	398	2224	0100000US
31	1	2	11	70	1994	59107	64777	2543842	1155	5543	0100000US
32	1	9	20	150	1994	89124	104327	8305467	707	5173	0100000US
32	4	1	21	10	1995	25264	26296	439877	26296	0	0100000US
31	1	5	20	30	1995	17014	17753	435729	500	3149	0100000US
31	5	2	20	50	1995	13703	14372	386968	316	1748	0100000US
31	5	2	40	80	1995	38804	42017	1931353	541	2586	0100000US
31	6	9	98	90	1995	20420	21803	1029411	241	1240	0100000US
32	7	3	20	150	1995	85435	99961	8211956	586	4653	0100000US
32	7	3	20	1	1996	292240	338408	16134500	28635	28370	0100000US
32	6	2	91	30	1996	17607	18350	455660	399	3269	0100000US
33	1	4	20	50	1996	13422	13914	446235	298	1724	0100000US
31	1	2	11	80	1996	41111	44558	2004047	510	2901	0100000US
32	1	9	20	1	1997	292545	337948	16361886	28275	29288	0100000US
32	4	1	21	20	1997	19123	19886	398836	0	4959	0100000US
31	1	5	20	40	1997	15702	16352	456106	400	2396	0100000US
31	5	2	20	60	1997	12424	12856	447220	251	1385	0100000US
31	5	2	40	90	1997	32395	34992	1755454	344	2097	0100000US
31	6	9	98	150	1997	77192	90455	7580775	500	4639	0100000US
32	7	3	20	1	1998	294325	340671	16711134	27760	26525	0100000US
32	7	3	20	10	1998	22774	23948	458999	23948	0	0100000US
32	6	2	91	40	1998	15602	16286	450756	358	2304	0100000US
33	1	4	20	60	1998	12596	13117	394782	256	1370	0100000US
31	1	2	11	90	1998	31631	34071	1768555	324	1772	0100000US
32	1	9	20	1	1999	290178	337124	16460120	24731	28067	0100000US
32	4	1	21	20	1999	18444	19506	465303	0	4500	0100000US
31	1	5	20	40	1999	14864	15506	384143	415	2310	0100000US
31	5	2	20	60	1999	13032	13633	437457	318	1580	0100000US
31	5	2	40	90	1999	30663	33166	1682241	280	1877	0100000US
31	6	9	98	100	1999	11833	12516	668519	118	705	0100000US
32	7	3	20	150	1999	71638	84040	7157795	427	3948	0100000US
32	7	3	20	1	2000	285603	332845	16373179	24169	27782	0100000US
32	6	2	91	30	2000	16137	17094	461866	478	2889	0100000US
33	1	4	20	50	2000	13412	14019	369044	322	1755	0100000US
31	1	2	11	80	2000	45341	49903	2378020	557	3466	0100000US
32	1	9	20	150	2000	68468	80376	6878670	399	3882	0100000US
32	4	1	21	10	2001	18477	19813	389104	19813	0	0100000US
31	1	5	20	30	2001	14059	15052	401004	432	2422	0100000US
31	5	2	20	50	2001	13704	14374	410842	392	1822	0100000US
31	5	2	40	80	2001	44038	48380	2197082	595	3421	0100000US
31	6	9	98	90	2001	32538	35356	1747347	341	2081	0100000US
32	7	3	20	100	2001	20778	22371	1192378	164	1232	0100000US
32	7	3	20	150	2001	65825	77117	6461275	415	3897	0100000US
32	6	2	91	20	2002	14495	15608	343827	0	4266	0100000US
33	1	4	20	40	2002	12447	13307	340999	404	2163	0100000US
31	1	2	11	70	2002	50638	54238	1684546	1188	6147	0100000US
32	1	9	20	100	2002	26254	28386	1395968	292	2067	0100000US
32	4	1	21	1	2003	276616	322342	14048766	22060	28976	0100000US
31	1	5	20	20	2003	14740	15701	372677	0	3800	0100000US
31	5	2	20	40	2003	11974	12906	348307	367	2048	0100000US
31	5	2	40	70	2003	49965	53585	1594737	1152	5585	0100000US
31	6	9	98	80	2003	41147	44715	1742051	679	3421	0100000US
32	7	3	20	90	2003	34119	37104	1653661	456	2486	0100000US
32	7	3	20	100	2003	25224	27200	1324717	286	1672	0100000US
32	6	2	91	1	2004	273530	318476	13722079	22185	26717	0100000US
33	1	4	20	20	2004	13566	14376	271996	0	3457	0100000US
31	1	2	11	50	2004	10901	11749	332455	347	1547	0100000US
32	1	9	20	80	2004	39639	42659	1548672	629	3072	0100000US
32	4	1	21	100	2004	24486	26428	1268841	233	1538	0100000US
31	1	5	20	150	2004	57577	67044	5192047	463	3521	0100000US
31	5	2	20	10	2005	16543	17533	257399	17533	0	0100000US
31	5	2	40	40	2005	11749	12481	346024	350	1692	0100000US
31	6	9	98	50	2005	10166	10972	298691	335	1348	0100000US
32	7	3	20	60	2005	9917	10700	322508	301	1229	0100000US
32	7	3	20	70	2005	46858	50764	1553319	1136	4798	0100000US
32	6	2	91	100	2005	24500	26511	1302006	300	1475	0100000US
33	1	4	20	150	2005	55053	64152	5045893	480	3196	0100000US
31	1	2	11	20	2006	13809	14605	261613	0	3263	0100000US
32	1	9	20	50	2006	10680	11360	336638	289	1434	0100000US
32	4	1	21	70	2006	44303	48397	1540282	1149	4734	0100000US
31	1	5	20	90	2006	34289	37625	1723802	534	2501	0100000US
31	5	2	20	110	2006	16539	17801	941338	198	1057	0100000US
31	5	2	40	10	2007	16960	17707	247881	17707	0	0100000US
31	6	9	98	20	2007	15807	16988	287248	0	3452	0100000US
