,Job Posting ID,Job Posting Date,Job Title,Job Title Full,Job Title Additional Info,Job Position Type,Job Position Level,Years of Experience,Job Skills,Job Location,Minimum Pay,Maximum Pay,Pay Rate,Number of Applicants,Company Name,Company Industry,Company Size
10,2589582484,2017-01-02,Software Engineer,Software Engineer,Backend - Consul Service Mesh,Full-time,Entry level,0,"['cloud', 'programming', 'microsoft', 'aws', 'go', 'azure']","Santa Ana, CA",,,,2.0,HashiCorp,Computer Software,"1,001-5,000 employees"
11,2739219836,2017-01-02,Ux Researcher,"Senior Ux Researcher, Contract",,Contract,Mid-Senior level,5,['outlook'],"California, United States",,,,,Left Field Labs,Marketing & Advertising,51-200 employees
12,2511464962,2017-01-02,Software Development Engineer,"Senior Software Development Engineer In Test, Data Security",,Full-time,Associate,3,"['ci/cd', 'cloud', 'python', 'programming', 'linux', 'docker']","San Diego, CA",,,,2.0,Netskope,Computer Software,"1,001-5,000 employees"
13,2698913189,2017-01-02,Data Scientist,Data Scientist,,Full-time,Entry level,2,"['cloud', 'power_bi', 'python', 'gcp', 'programming', 'aws', 'sql', 'azure']",United States,,,,6.0,Nutrien Ag Solutions,Farming,"10,001+ employees"
14,2738379210,2017-01-02,Ux Researcher,Ux Researcher,,Contract,Mid-Senior level,3,['excel'],"Bellevue, WA",,,,,Toptal,Internet,"1,001-5,000 employees"
15,2669926024,2017-01-02,Senior Analyst,"Senior Analyst, Sales Incentive Compensation",,Full-time,Mid-Senior level,5,['excel'],United States,,,,4.0,Cue Health,Biotechnology,"1,001-5,000 employees"
16,2703680779,2017-01-02,Software Engineer,Lead Software Engineer,,Full-time,Associate,1,"['database', 'javascript', 'linux', 'server', 'c', 'oracle', 'aws', 'mysql', 'postgresql', 'sql', 'machine_learning']","San Francisco, CA",,,,,Verikai,Computer Software,11-50 employees
17,2592607638,2017-01-03,Data Analyst,Senior Business Data Analyst,,Full-time,Associate,3,"['sap', 'bi', 'ibm', 'saas', 'github', 'redshift', 'tableau', 'sql', 'atlassian', 'powerbi']",United States,,,,11.0,Tactivos Inc.,,
18,2711762756,2017-01-03,Business Analyst,Technical Business Analyst,,Full-time,Mid-Senior level,3,"['cloud', 'power_bi', 'agile', 'bi', 'tableau', 'etl', 'sql']",Greater Philadelphia,,,,15.0,"Datasource Consulting, an EXL company",Information Technology & Services,51-200 employees
19,2690940101,2017-01-03,Data Scientist,Data Scientist,"Remote, Full-time",Contract,Mid-Senior level,4,[],"Hillsboro, OR",,,,,Toptal,Internet,"1,001-5,000 employees"
20,2710371869,2017-01-03,Business Analyst,Business Analyst,(Remote),Contract,Associate,6,[],"Jacksonville, FL",,,,14.0,Kforce Inc,Information Technology & Services,"1,001-5,000 employees"
21,2742235941,2017-01-03,Ux Researcher,Ux Researcher,,Contract,Mid-Senior level,9,['excel'],"Orem, UT",,,,,Toptal,Internet,"1,001-5,000 employees"
22,2714548763,2017-01-03,Developer,Mirth Data Integration Developer,,Full-time,Mid-Senior level,8,['javascript'],"Atlanta, GA",,,,2.0,InductiveHealth Informatics,Information Technology & Services,51-200 employees
23,2677671953,2017-01-03,Software Engineer,Senior Software Engineer,(REMOTE) SaaS Management,Full-time,Associate,4,"['graphql', 'datadog', 'python', 'docker', 'saas', 'redis', 'golang', 'go', 'postgres']","Virginia, MN",,,,,SailPoint,Computer Software,"1,001-5,000 employees"
24,2677402902,2017-01-03,Software Engineer,Senior Software Engineer,,Full-time,Mid-Senior level,7,"['graphql', 'ci/cd', 'node', 'nosql']",United States,,,,2.0,Jobot,Staffing & Recruiting,201-500 employees
25,2633319947,2017-01-04,Software Engineer,Backend Software Engineer,Product,Full-time,Entry level,1,"['backend', 'java']","Dallas, TX",,,,12.0,Addepar,Computer Software,201-500 employees
26,2723217037,2017-01-04,Developer,Liferay Developer,,Full-time,Mid-Senior level,6,"['scrum', 'java', 'aws', 'agile']","Atlanta, GA",162000.0,149000.0,hr,3.0,"ASAP Solutions Group, LLC",Management Consulting,"501-1,000 employees"
27,2687409660,2017-01-04,Software Engineer,Software Engineer,- Remote,Full-time,Entry level,2,"['database', 'javascript', 'agile', 'html5', 'css', 'c', 'java']",United States,,,,4.0,Duck Creek Technologies,Computer Software,"1,001-5,000 employees"
28,2675397650,2017-01-04,Software Engineer,"Software Engineer, Fullstack",Consumer Banking,Full-time,Entry level,3,"['python', 'node.js', 'mongodb', 'go', 'coding', 'postgres']",United States,,,,5.0,Blend,Computer Software,"501-1,000 employees"
29,2690938927,2017-01-04,Data Engineer,Senior Data Engineer,Full-time,Contract,Mid-Senior level,0,"['cloud', 'aws', 'azure']","Athens, GA",,,,,Toptal,Internet,"1,001-5,000 employees"
30,2691393633,2017-01-04,Data Scientist,Senior Data Scientist,,Full-time,Associate,1,"['cloud', 'python', 'hadoop', 'gcp', 'spark', 'aws', 'machine_learning']",United States,,,,16.0,Varo Bank,Banking,"501-1,000 employees"
31,2687291186,2017-01-04,Data Analyst,Hr Data Analyst,,Full-time,Associate,4,"['microsoft', 'excel']",United States,,,,159.0,Hyland,Computer Software,"1,001-5,000 employees"
32,2681101425,2017-01-04,Software Engineer,Cyber Software Engineer/Application Developer With Security Clearance,,Full-time,Entry level,2,"['oracle', 'database', 'microsoft', 'unix', 'ibm', 'java', 'shell', 'mysql', 'programming', 'xml', 'sql', 'server', 'c']","Montgomery, AL",,,,,ClearanceJobs,Defense & Space,11-50 employees
33,2677491846,2017-01-05,Data Scientist,Data Scientist-Remote,,Full-time,Mid-Senior level,4,"['r', 'python', 'programming', 'sql', 'ai', 'machine_learning']","Portland, OR",,,,5.0,Jobot,Staffing & Recruiting,201-500 employees
34,2640774129,2017-01-05,Senior Analyst,"Senior Analyst, Site Analytics",,Full-time,Associate,2,"['database', 'word', 'python', 'bi', 'r', 'powerpoint', 'outlook', 'tableau', 'sql', 'excel']",United States,,,,5.0,Merkle,Marketing & Advertising,"5,001-10,000 employees"
35,2642809672,2017-01-05,Software Development Engineer,Senior Software Development Engineer In Test,,Full-time,Mid-Senior level,4,"['javascript', 'agile', 'python', 'scrum', 'programming', 'php', 'c', 'ci/cd', 'java', 'selenium', 'swift', 'coding']","San Francisco, CA",,,,32.0,Wayfair,Retail,"10,001+ employees"
36,2702104959,2017-01-05,Developer,Sitecore Developer,Remote,Full-time,Mid-Senior level,7,"['json', 'sql', 'server', 'c']","Oakland, CA",,,,,Orbit Recruitment Group,Staffing & Recruiting,1-10 employees
37,2717475163,2017-01-05,Software Engineer,Software Engineer,IAM Federations (remote),Full-time,Mid-Senior level,5,"['javascript', 'node.js', 'mongodb', 'java', 'postgres']","Atlanta, GA",,,,1.0,Auth0,Information Technology & Services,"501-1,000 employees"
38,2418220431,2017-01-05,Software Engineer,Software Engineer,Backend - Boundary,Full-time,Entry level,1,"['cloud', 'golang', 'programming']","Austin, TX",,,,16.0,HashiCorp,Computer Software,"1,001-5,000 employees"
39,2675377873,2017-01-05,Product Manager,"Product Manager, Developer Education Platform",,Full-time,Entry level,4,"['microsoft', 'cloud', 'aws', 'devops', 'azure']","New Orleans, LA",,,,,HashiCorp,Computer Software,"1,001-5,000 employees"
40,2716765009,2017-01-05,Data Engineer,Data Engineer,,Contract,Mid-Senior level,6,"['back-end', 'oracle', 'saas', 'java', 'javascript', 'mysql', 'python', 'programming', 'linux', 'sql']",United States,,,,6.0,"TalentBurst, an Inc 5000 company",Staffing & Recruiting,"1,001-5,000 employees"
41,2726599079,2017-01-05,Business Analyst,Business Analyst,,Contract,Mid-Senior level,6,"['scrum', 'gdpr', 'agile', 'tableau', 'snowflake', 'bi', 'ai', 'machine_learning']",Raleigh-Durham-Chapel Hill Area,,,,73.0,ettain group,Staffing & Recruiting,201-500 employees
42,2607111073,2017-01-05,Software Engineer,Software Engineer,Infrastructure as Code,Full-time,Associate,3,"['r', 'saas', 'twilio', 'unix', 'paas']",United States,,,,26.0,Twilio,Internet,"5,001-10,000 employees"
43,2677460482,2017-01-06,Software Engineer,Staff Software Engineer,(REMOTE) SaaS Management,Full-time,Associate,4,"['graphql', 'datadog', 'python', 'docker', 'saas', 'redis', 'golang', 'postgres']","Iowa, United States",,,,,SailPoint,Computer Software,"1,001-5,000 employees"
44,2640356615,2017-01-06,Data Engineer,Lead Data Engineer,,Full-time,Mid-Senior level,6,"['git', 'scrum', 'airflow', 'cloud', 'java', 'pyspark', 'agile', 'python', 'tableau', 'etl', 'mongo', 'cognos', 'hadoop', 'nosql', 'bi', 'powerbi']","Chicago, IL",,,,,84.51˚,Management Consulting,"1,001-5,000 employees"
45,2745608351,2017-01-06,Financial Analyst,"Senior Financial Analyst, Strategic Finance",,Full-time,Mid-Senior level,2,"['saas', 'excel']","Palo Alto, CA",,,,20.0,Jumio Corporation,Information Technology & Services,201-500 employees
46,2682293940,2017-01-06,Software Engineer,Software Engineer -Remote,,Full-time,Entry level,0,"['database', 'agile', 'scrum', 'programming', 'c', 'microsoft', 'sql', 'c++', 'coding']","Greenwood Village, CO",58000.0,88000.0,yr,,MiTek,Construction,"5,001-10,000 employees"
47,2748524910,2017-01-06,Software Engineer,"New Grad Software Engineer, Backend",,Full-time,Entry level,2,"['cloud', 'microsoft', 'java', 'aws', 'sql', 'go', 'azure', 'coding']","Seattle, WA",,,,29.0,Circle,Financial Services,51-200 employees
48,2684300915,2017-01-06,Business Intelligence Analyst,Senior Business Intelligence Analyst,,Full-time,Associate,5,"['unix/linux', 'alteryx', 'database', 'ssis', 'scrum', 'pl/sql', 'cloud', 'unix', 'dax', 'json', 'shell', 'power_bi', 'sas', 'aws', 'agile', 'redshift', 'python', 'tableau', 'etl', 'looker', 'xml', 'vb.net', 'aurora', 'snowflake', 'sql', 'server', 'bi', 'azure', 'c']","Blue Bell, PA",,,,,Anexinet,Information Technology & Services,201-500 employees
49,2656640785,2017-01-06,Data Engineer,Senior Data Engineer,"Remote, Full-time",Contract,Mid-Senior level,6,"['cloud', 'aws', 'azure']","Lanham, MD",,,,1.0,Toptal,Internet,"1,001-5,000 employees"
50,2683505839,2017-01-06,Data Scientist,Data Scientist,"Remote, Full-time",Contract,Mid-Senior level,6,[],"Indianapolis, IN",,,,,Toptal,Internet,"1,001-5,000 employees"
51,2700267871,2017-01-06,Compensation Analyst,Senior Sales Compensation Analyst,,Full-time,Mid-Senior level,8,"['excel', 'oracle', 'sap']","South Carolina, United States",,,,,Blackbaud,Computer Software,"1,001-5,000 employees"
52,2689561899,2017-01-06,Software Engineer,Software Engineer,SaaS Management,Full-time,Entry level,3,"['graphql', 'datadog', 'python', 'docker', 'saas', 'redis', 'golang', 'go', 'postgres']","Idaho, United States",,,,1.0,SailPoint,Computer Software,"1,001-5,000 employees"
53,2714545770,2017-01-07,Software Engineer,Remote Senior Software Engineer,,Full-time,Mid-Senior level,7,"['cloud', 'saas', 'aws', 'python']","San Francisco, CA",,,,1.0,Jobot,Staffing & Recruiting,201-500 employees
54,2709155801,2017-01-07,Software Engineer,Software Engineer,100% Remote,Full-time,Associate,3,"['github', 'git', 'microsoft', 'cloud', 'java', 'aws', 'agile', 'coding', 'programming', 'cicd', 'sql', 'server', 'azure', 'c']",United States,,,,1.0,Dice,Internet,"1,001-5,000 employees"
55,2727659059,2017-01-07,Software Engineer,Software Engineer,,Full-time,Mid-Senior level,3,"['database', 'datadog', 'cloud', 'javascript', 'agile', 'jira', 'saas', 'mongodb', 'c', 'java', 'sql', 'azure', 'jquery']","Florida, United States",,,,,Trimble Inc.,Information Technology & Services,"10,001+ employees"
56,2746622436,2017-01-07,Software Engineer,Staff Software Engineer,Freckle by Renaissance,Full-time,Associate,6,"['agile', 'saas', 'css', 'programming', 'backend', 'aws', 'postgresql']",United States,,,,2.0,Renaissance Learning,E-learning,"1,001-5,000 employees"
57,2700272290,2017-01-07,Compensation Analyst,Senior Sales Compensation Analyst,,Full-time,Mid-Senior level,5,"['excel', 'oracle', 'sap']","Oklahoma, United States",,,,1.0,Blackbaud,Computer Software,"1,001-5,000 employees"
58,2677255610,2017-01-07,Data Analyst,Senior Business Data Analyst,,Full-time,Mid-Senior level,6,['sql'],United States,129000.0,126000.0,yr,33.0,Insight Global,Staffing & Recruiting,"1,001-5,000 employees"
59,2496509713,2017-01-07,Software Engineer,Software Engineer,Frontend,Full-time,Entry level,2,"['graphql', 'cloud', 'agile', 'jira', 'bitbucket', 'git', 'scrum', 'programming']","Boston, MA",,,,26.0,Collibra,Computer Software,"501-1,000 employees"
60,2742903425,2017-01-07,Business Analyst,Remote Business Analyst,,Contract,Associate,4,"['excel', 'database', 'microsoft', 'sharepoint']","North Chicago, IL",,,,17.0,Dice,Internet,"1,001-5,000 employees"
61,2692495558,2017-01-07,Software Engineer,Software Engineer,Retail Services,Full-time,Entry level,2,"['cloud', 'agile', 'server', 'powershell', 'scrum', 'programming', 'oracle', 'microsoft', 'mysql', 'etl', 'postgresql', 'sql', 'kanban', 'vba']",United States,,,,7.0,Cotiviti,Information Technology & Services,"5,001-10,000 employees"
62,2745613834,2017-01-08,Data Engineer,Data Engineer,,Full-time,Mid-Senior level,6,"['r', 'data_lake', 'github', 'microsoft', 'dax', 'sas', 'python', 'tableau', 'programming', 'jira', 'hadoop', 'machine_learning', 'powerbi', 'azure']","Irvine, CA",,,,14.0,KORE1,Staffing & Recruiting,51-200 employees
63,2690941618,2017-01-08,Data Scientist,Data Scientist,"Remote, Full-time",Contract,Mid-Senior level,4,[],"Gresham, OR",,,,,Toptal,Internet,"1,001-5,000 employees"
64,2676397282,2017-01-08,Software Engineer,"Staff Software Engineer, Backend",,Full-time,Mid-Senior level,4,[],"Palo Alto, CA",100000.0,150000.0,yr,1.0,Affirm,Financial Services,"1,001-5,000 employees"
65,2734084443,2017-01-08,Marketing Analyst,Marketing Analyst,,Full-time,Associate,3,"['python', 'php', 'spark', 'tableau', 'sql', 'excel', 'powerbi']","Baltimore, MD",49000.0,79000.0,yr,,Brave Thinking Institute,Professional Training & Coaching,11-50 employees
66,2682986418,2017-01-08,Data Scientist,Data Scientist,"Remote, Full-time",Contract,Mid-Senior level,6,[],"Mountain View, CA",,,,2.0,Toptal,Internet,"1,001-5,000 employees"
67,2693767021,2017-01-08,Senior Analyst,"Senior Analyst, Product",Engineering BizOps,Full-time,Mid-Senior level,4,"['saas', 'slack', 'sql', 'excel']",United States,,,,9.0,Slack,Computer Software,"1,001-5,000 employees"
68,2744666145,2017-01-08,Data Analyst,"Epic Clarity, Senior Data Analyst",,Full-time,Mid-Senior level,7,"['cloud', 'power_bi', 'tableau', 'sql', 'bi', 'machine_learning']",United States,,,,58.0,Sud Recruiting,Staffing & Recruiting,1-10 employees
69,2690732245,2017-01-08,Software Engineer,Software Engineer Ii,Front End Developer,Full-time,Mid-Senior level,5,"['agile/scrum', 'javascript', 'agile', 'html5', 'node.js', 'git', 'saas', 'css', 'mongodb', 'ci/cd', 'html', 'machine_learning']","Chicago, IL",,,,29.0,Wonderlic,Human Resources,51-200 employees
70,2418215890,2017-01-08,Software Engineer,Software Engineer,Backend - Boundary,Full-time,Entry level,2,"['cloud', 'golang', 'programming']","New Orleans, LA",,,,3.0,HashiCorp,Computer Software,"1,001-5,000 employees"
71,2747895395,2017-01-09,Software Engineer,"Content Software Engineer, Cs Assessment Specialist",,Full-time,Entry level,2,"['python', 'git', 'programming', 'c', 'github', 'java', 'xml', 'c++']",United States,,,,6.0,Wiley,Publishing,"1,001-5,000 employees"
72,2696302614,2017-01-09,Sales Engineer,"Sales Engineer, Central",,Full-time,Entry level,0,"['microsoft', 'cloud']","Chicago, IL",,,,1.0,Lookout,Computer & Network Security,201-500 employees
73,2707841581,2017-01-09,Software Engineer,"Senior Software Engineer, Devops",Remote,Full-time,Mid-Senior level,10,"['cloud', 'ruby', 'agile', 'python', 'asp.net', 'powershell', 'devops', 'c', 'github', 'microsoft', 'ci/cd', 'shell', 'aws', 'kanban', 'azure', 'unix']","San Jose, CA",,,,1.0,Icertis,Information Technology & Services,"1,001-5,000 employees"
74,2689080365,2017-01-09,Software Developer,Software Developer Inventory || Us,,Full-time,Entry level,1,"['oracle', 'database', 'git', 'backend', 'microsoft', 'frontend', 'ci/cd', 'cloud', 'java', 'css', 'aws', 'html', 'coding', 'programming', 'postgresql', 'aurora', 'asp.net', 'docker', 'c']",United States,,,,1.0,Enterprise Solutions Inc.,Information Technology & Services,"501-1,000 employees"
75,2748685701,2017-01-09,Software Engineer,"Software Engineer Ii- Admin Panel, Internal Tooling",,Internship,Entry level,1,"['ios', 'ruby']",United States,,,,17.0,Housecall Pro,Computer Software,201-500 employees
76,2701998800,2017-01-09,Developer,Swift Developer,"Full-time, Remote",Contract,Mid-Senior level,5,[],"Gilbert, AZ",,,,,Toptal,Internet,"1,001-5,000 employees"
77,2671714552,2017-01-09,Software Engineer,Software Engineer,,Full-time,Mid-Senior level,8,"['scrum', 'cloud', 'javascript', 'ruby', 'aws', 'agile', 'python', 'programming', 'linux', 'go']","Ellicott City, MD",88000.0,114000.0,yr,7.0,Huntress,Information Technology & Services,51-200 employees
78,2678416614,2017-01-10,Software Engineer,"Senior Software Engineer, Enterprise",,Full-time,Mid-Senior level,3,"['data_lake', 'python', 'devops', 'spark', 'backend', 'ci/cd', 'java', 'aws', 'mysql', 'redshift', 'scala']","Raleigh, NC",,,,,Teladoc Health,Hospital & Health Care,"1,001-5,000 employees"
79,2689886094,2017-01-10,Data Engineer,Senior Data Engineer,Full-time,Contract,Mid-Senior level,4,"['cloud', 'aws', 'azure']","Allen, TX",,,,,Toptal,Internet,"1,001-5,000 employees"
80,2702492018,2017-01-10,Business Analyst,Business Analyst Senior-Technical,,Full-time,Associate,4,"['cloud', 'splunk']","Reston, VA",,,,,Leidos,Information Technology & Services,"10,001+ employees"
81,2674147468,2017-01-10,Business Analyst,It Governance Business Analyst,,Full-time,Associate,4,"['excel', 'microsoft', 'powerpoint']","United, LA",,,,,Blackbaud,Computer Software,"1,001-5,000 employees"
82,2693776608,2017-01-10,Data Engineer,Senior Data Engineer,Full-time,Contract,Mid-Senior level,5,"['cloud', 'aws', 'azure']","St Louis, MO",,,,,Toptal,Internet,"1,001-5,000 employees"
83,2698187892,2017-01-10,Business Analyst,Business Analyst,,Contract,Mid-Senior level,5,"['excel', 'spreadsheets', 'word', 'powerpoint', 'sharepoint']","California, United States",,,,9.0,Aditi Consulting,Information Technology & Services,"501-1,000 employees"
84,2686203928,2017-01-10,Data Analyst,Senior Data Analyst,"(Remote, US)",Full-time,Associate,5,"['r', 'excel', 'microsoft', 'tableau', 'etl']",United States,,,,,,Information Technology & Services,51-200 employees
85,2669972802,2017-01-10,Software Engineer,Software Engineer,"- C&O (Remote – CA, TX, WA, NV)",Full-time,Entry level,2,"['scrum', 'backend', 'cloud', 'agile', 'kanban', 'devops']","Nevada, United States",,,,11.0,MGM Resorts International,Hospitality,"10,001+ employees"
86,2713200914,2017-01-10,Quality Engineer,Data Quality Engineer,US Remote,Full-time,Entry level,2,"['bi', 'slack', 'warehousing', 'snowflake', 'sql']","Salt Lake City, UT",,,,1.0,Degreed,Information Technology & Services,201-500 employees
87,2707293521,2017-01-11,Developer,Servicenow Developer- Ticketing,,Contract,Mid-Senior level,5,"['javascript', 'sql', 'js']","Philadelphia, PA",,,,14.0,"The Brixton Group, Inc.",Information Technology & Services,51-200 employees
88,2683509481,2017-01-11,Business Analyst,Business Analyst,,Contract,Mid-Senior level,2,['agile'],"Pittsburgh, PA",,,,26.0,"Infomatics, Inc",Information Technology & Services,201-500 employees
89,2704706180,2017-01-11,Data Engineer,Remote Data Engineer,,Full-time,Entry level,2,"['warehousing', 'cloud', 'aws', 'python', 'snowflake']",United States,,,,1.0,Dice,Internet,"1,001-5,000 employees"
90,2554017973,2017-01-11,Software Engineer,Senior Software Engineer,Backend - Vault Developer Experience,Full-time,Associate,3,"['microsoft', 'cloud', 'java', 'javascript', 'aws', 'python', 'programming', 'azure', 'go', 'c']","Boston, MA",,,,,HashiCorp,Computer Software,"1,001-5,000 employees"
91,2675023063,2017-01-11,Ux Researcher,Ux Researcher,,Full-time,Mid-Senior level,8,[],"Illinois, United States",,,,3.0,Kraken Digital Asset Exchange,Financial Services,"1,001-5,000 employees"
92,2717468986,2017-01-11,Software Engineer,Software Engineer,IAM Federations (remote),Full-time,Mid-Senior level,8,"['javascript', 'node.js', 'mongodb', 'java', 'postgres']","Las Vegas, NV",,,,1.0,Auth0,Information Technology & Services,"501-1,000 employees"
93,2702972706,2017-01-11,Business Analyst,Lead Business Analyst,,Full-time,Associate,4,"['microsoft', 'sql', 'vba']","Columbia, SC",,,,9.0,Stryker,Medical Device,"10,001+ employees"
94,2739254173,2017-01-11,Ux Researcher,Ux Researcher,,Contract,Mid-Senior level,5,['excel'],"North Charleston, SC",,,,,Toptal,Internet,"1,001-5,000 employees"
95,2737585646,2017-01-11,Solutions Engineer,Solutions Engineer,,Full-time,Entry level,1,"['cloud', 'power_bi', 'linux', 'bi', 'qlik', 'tableau', 'etl', 'cognos', 'sql', 'excel']",United States,,,,1.0,OmniSci,Information Technology & Services,51-200 employees
96,2715134465,2017-01-11,Software Engineer,"Intern, Software Engineer",,Full-time,Entry level,0,"['javascript', 'python', 'c', 'java', 'html', 'c++', 'coding']","Boston, MA",,,,12.0,Autodesk,Computer Software,"10,001+ employees"
97,2653654307,2017-01-12,Software Engineer,Senior Software Engineer,Growth,Full-time,Mid-Senior level,4,"['node', 'docker', 'frontend', 'vue', 'redis', 'aws', 'postgres']","Houston, TX",,,,,Lob,Computer Software,51-200 employees
98,2591533104,2017-01-12,Software Engineer,Software Engineer,,Full-time,Associate,3,"['cloud', 'javascript', 'agile', 'python', 'server', 'back-end', 'frontend', 'backend', 'aws', 'sql', 'ai', 'excel', 'splunk']","Portland, OR",,,,22.0,Momentive.ai,Internet,"1,001-5,000 employees"
99,2728727787,2017-01-12,Software Engineer,Optical Software Engineer,,Full-time,Mid-Senior level,7,"['r', 'c++', 'java', 'python', 'programming', 'matlab']",United States,,,,4.0,W3Global,Staffing & Recruiting,201-500 employees
100,2691338334,2017-01-12,Data Analyst,Data Analyst,- Remote Nationwide,Full-time,Associate,6,"['database', 'sql', 'go', 'excel']","Woburn, MA",,,,16.0,Optum,Hospital & Health Care,"10,001+ employees"
101,2686301029,2017-01-12,Software Engineer,Remote Front End Software Engineer,HOT Series A Startup! $130k-180k + Benefits,Full-time,Entry level,2,"['backend', 'aws', 'agile', 'jira']","Columbus, OH",,,,1.0,jobfuture.ai,Staffing & Recruiting,1-10 employees
102,2682982847,2017-01-12,Data Scientist,Data Scientist,"Remote, Full-time",Contract,Mid-Senior level,7,[],"Everett, WA",,,,,Toptal,Internet,"1,001-5,000 employees"
103,2718023033,2017-01-12,Software Engineer,Software Engineer,Remote OK,Full-time,Entry level,1,"['cloud', 'javascript', 'agile', 'asp.net', 'server', 'git', 'scrum', 'json', 'css', 'devops', 'c', 'microsoft', 'html', 'sql', 'apache', 'azure', 'coding', 'powerbi']","Richland, WA",,,,,Pacific Northwest National Laboratory,Research,"1,001-5,000 employees"
104,2749967765,2017-01-12,Data Engineer,Tip: Senior Data Engineer,,Contract,Mid-Senior level,5,"['saas', 'agile/scrum', 'aws', 'agile', 'python', 'postgresql', 'sql']","Columbia, SC",,,,1.0,Upwork,Internet,"501-1,000 employees"
105,2741476532,2017-01-13,Data Engineer,Full Time Remote Data Engineering Opportunity,,Full-time,Entry level,3,"['github', 'back-end', 'scrum', 'agile', 'programming', 'etl', 'jira', 'sql', 'devops', 'spark']",United States,,,,,Dice,Internet,"1,001-5,000 employees"
106,2718978242,2017-01-13,Software Engineer,Support Software Engineer,,Full-time,Mid-Senior level,5,"['redis', 'saas', 'aws', 'ruby', 'postgres']","Los Angeles, CA",,,,,Recruiting from Scratch,Staffing & Recruiting,11-50 employees
107,2746215151,2017-01-13,Data Analyst,Data Analyst,,Full-time,Mid-Senior level,7,['excel'],United States,,,,35.0,Businessolver,Information Technology & Services,"1,001-5,000 employees"
108,2642448603,2017-01-13,Software Engineer,Senior Software Engineer,,Full-time,Mid-Senior level,6,"['scrum', 'cloud', 'java', 'css', 'javascript', 'html', 'programming', 'apache', 'server', 'azure', 'c']","Missouri, United States",,,,,Blackbaud,Computer Software,"1,001-5,000 employees"
109,2735172561,2017-01-13,Analytics Engineer,Senior Analytics Engineer,,Full-time,Associate,2,"['warehousing', 'pandas', 'ci/cd', 'airflow', 'python', 'redshift', 'etl', 'bigquery', 'looker', 'snowflake', 'sql']",United States,,,,2.0,Electric,Information Technology & Services,51-200 employees
