Dept_Code,Department,Div_Code,Division,Cost_Center,CostCenterKey
40,Community Services,4020,"Parks, Recreation,& Open Space",PROS - Covington Grant,40_4020_PROS - Covington Grant
40,Community Services,4020,"Parks, Recreation,& Open Space",PROS Admin Community Grants,40_4020_PROS Admin Community Grants
40,Community Services,4020,"Parks, Recreation,& Open Space",PROS Admin Donations,40_4020_PROS Admin Donations
40,Community Services,4020,"Parks, Recreation,& Open Space",US Fish & Wildlife Grant,40_4020_US Fish & Wildlife Grant
40,Community Services,4020,"Parks, Recreation,& Open Space",Yates Mill,40_4020_Yates Mill
40,Community Services,4020,"Parks, Recreation,& Open Space",Yates/Crowder General Donations,40_4020_Yates/Crowder General Donations
40,Community Services,4030,Inspections/Development Plans/Permits,Inspections/Development Plans/Permits,40_4030_Inspections/Development Plans/Permits
40,Community Services,4030,Inspections/Development Plans/Permits,Planning,40_4030_Planning
40,Community Services,4040,Veterans Services,Veterans Services Office,40_4040_Veterans Services Office
40,Community Services,4050,Geographic Information,Geographic Information Services,40_4050_Geographic Information Services
40,Community Services,4060,Libraries,Athens Drive Library,40_4060_Athens Drive Library
40,Community Services,4060,Libraries,Bookmobile,40_4060_Bookmobile
40,Community Services,4060,Libraries,Cameron Village Regional,40_4060_Cameron Village Regional
40,Community Services,4060,Libraries,Cary Library,40_4060_Cary Library
40,Community Services,4060,Libraries,Collection Development,40_4060_Collection Development
40,Community Services,4060,Libraries,Duraleigh Road Library,40_4060_Duraleigh Road Library
40,Community Services,4060,Libraries,East Regional Library,40_4060_East Regional Library
40,Community Services,4060,Libraries,Electronic Information Center,40_4060_Electronic Information Center
40,Community Services,4060,Libraries,Emily Dickinson Memorial-Olivia Raney,40_4060_Emily Dickinson Memorial-Olivia Raney
40,Community Services,4060,Libraries,Eva Perry Library,40_4060_Eva Perry Library
40,Community Services,4060,Libraries,Fuquay Varina Library,40_4060_Fuquay Varina Library
40,Community Services,4060,Libraries,Green Road Library,40_4060_Green Road Library
40,Community Services,4060,Libraries,Henry Miller/Wake Forest Lib Donations,40_4060_Henry Miller/Wake Forest Lib Donations
40,Community Services,4060,Libraries,Holly Springs Library,40_4060_Holly Springs Library
40,Community Services,4060,Libraries,Inter Library Loan,40_4060_Inter Library Loan
40,Community Services,4060,Libraries,Leesville Branch Library,40_4060_Leesville Branch Library
40,Community Services,4060,Libraries,Libraries Administration,40_4060_Libraries Administration
40,Community Services,4060,Libraries,Libraries Processing,40_4060_Libraries Processing
40,Community Services,4060,Libraries,Libraries Systemwide,40_4060_Libraries Systemwide
40,Community Services,4060,Libraries,Library - Unallocated Grants,40_4060_Library - Unallocated Grants
40,Community Services,4060,Libraries,Library Book Sale,40_4060_Library Book Sale
40,Community Services,4060,Libraries,Library Community Grants,40_4060_Library Community Grants
40,Community Services,4060,Libraries,Library Donations,40_4060_Library Donations
40,Community Services,4060,Libraries,Library Jr. Women's Club Donations,40_4060_Library Jr. Women's Club Donations
40,Community Services,4060,Libraries,Library System Services,40_4060_Library System Services
40,Community Services,4060,Libraries,Middle Creek Library,40_4060_Middle Creek Library
40,Community Services,4060,Libraries,Morrisville Library,40_4060_Morrisville Library
40,Community Services,4060,Libraries,NC Arts Council Grant,40_4060_NC Arts Council Grant
40,Community Services,4060,Libraries,North Regional Library,40_4060_North Regional Library
40,Community Services,4060,Libraries,NorthEast Regional Library,40_4060_NorthEast Regional Library
40,Community Services,4060,Libraries,Olivia Raney Library,40_4060_Olivia Raney Library
40,Community Services,4060,Libraries,PNC Grant (Libraries),40_4060_PNC Grant (Libraries)
40,Community Services,4060,Libraries,Richard B Harrison Library,40_4060_Richard B Harrison Library
40,Community Services,4060,Libraries,Southeast Regional Library,40_4060_Southeast Regional Library
40,Community Services,4060,Libraries,Southgate Library,40_4060_Southgate Library
40,Community Services,4060,Libraries,Storytelling Festival,40_4060_Storytelling Festival
40,Community Services,4060,Libraries,Target,40_4060_Target
40,Community Services,4060,Libraries,Wake Forest Library,40_4060_Wake Forest Library
40,Community Services,4060,Libraries,Wendell Library,40_4060_Wendell Library
40,Community Services,4060,Libraries,West Regional Library,40_4060_West Regional Library
40,Community Services,4060,Libraries,Zebulon Library,40_4060_Zebulon Library
42,Environmental Services,4210,ES Administration,ES Administration,42_4210_ES Administration
42,Environmental Services,4210,ES Administration,Watershed Mgt Prog Assistance Agreement,42_4210_Watershed Mgt Prog Assistance Agreement
42,Environmental Services,4220,Environmental Health & Safety,2015 AFDO Grant,42_4220_2015 AFDO Grant
42,Environmental Services,4220,Environmental Health & Safety,2016 AFDO Grant G-SP-1510-02951,42_4220_2016 AFDO Grant G-SP-1510-02951
42,Environmental Services,4220,Environmental Health & Safety,2016 AFDO Grant G-SP-1510-03278,42_4220_2016 AFDO Grant G-SP-1510-03278
42,Environmental Services,4220,Environmental Health & Safety,2017 AFDO Grant G-MP-1611-04215 (CAT 2),42_4220_2017 AFDO Grant G-MP-1611-04215 (CAT 2)
42,Environmental Services,4220,Environmental Health & Safety,2017 AFDO Grant G-SP-1611-03998 (CAT 1),42_4220_2017 AFDO Grant G-SP-1611-03998 (CAT 1)
42,Environmental Services,4220,Environmental Health & Safety,2017 AFDO Grant G-T-1611-03990 (CAT 3),42_4220_2017 AFDO Grant G-T-1611-03990 (CAT 3)
42,Environmental Services,4220,Environmental Health & Safety,2018 AFDO Grant G-T-1709-05641 (CAT 3),42_4220_2018 AFDO Grant G-T-1709-05641 (CAT 3)
42,Environmental Services,4220,Environmental Health & Safety,2019 AFDO Grant G-T-1810-06760 (CAT 3),42_4220_2019 AFDO Grant G-T-1810-06760 (CAT 3)
42,Environmental Services,4220,Environmental Health & Safety,2019 AFDO Risk Factor Study -G-SP-1810-06764,42_4220_2019 AFDO Risk Factor Study -G-SP-1810-06764
42,Environmental Services,4220,Environmental Health & Safety,AFDO Grant,42_4220_AFDO Grant
42,Environmental Services,4220,Environmental Health & Safety,"Animal Care, Control and Adoption - General","42_4220_Animal Care, Control and Adoption - General"
42,Environmental Services,4220,Environmental Health & Safety,Environmental Health & Safety Admin,42_4220_Environmental Health & Safety Admin
42,Environmental Services,4220,Environmental Health & Safety,Environmental Quality-Lead,42_4220_Environmental Quality-Lead
42,Environmental Services,4220,Environmental Health & Safety,Food Sanitation,42_4220_Food Sanitation
42,Environmental Services,4220,Environmental Health & Safety,"Food, Lodging & Institutions","42_4220_Food, Lodging & Institutions"
42,Environmental Services,4220,Environmental Health & Safety,Plan Review & Recreational Sanitation,42_4220_Plan Review & Recreational Sanitation
42,Environmental Services,4230,Water Quality Division,Erosion & Sediment Control,42_4230_Erosion & Sediment Control
42,Environmental Services,4230,Water Quality Division,Falls Lake 319 Project - Fund 2100,42_4230_Falls Lake 319 Project - Fund 2100
42,Environmental Services,4230,Water Quality Division,Floodplain & Stormwater,42_4230_Floodplain & Stormwater
42,Environmental Services,4230,Water Quality Division,Ground Water Systems,42_4230_Ground Water Systems
42,Environmental Services,4230,Water Quality Division,Laboratory Services,42_4230_Laboratory Services
42,Environmental Services,4230,Water Quality Division,NC CWMTF - Onsite Wastewater,42_4230_NC CWMTF - Onsite Wastewater
42,Environmental Services,4230,Water Quality Division,Onsite and Technical Assistance,42_4230_Onsite and Technical Assistance
42,Environmental Services,4230,Water Quality Division,Onsite Wastewater,42_4230_Onsite Wastewater
42,Environmental Services,4230,Water Quality Division,WasteWater Management,42_4230_WasteWater Management
42,Environmental Services,4230,Water Quality Division,Water Quality Admin,42_4230_Water Quality Admin
42,Environmental Services,4230,Water Quality Division,Watershed Management,42_4230_Watershed Management
42,Environmental Services,4240,Solid Waste,Admin - Finance,42_4240_Admin - Finance
42,Environmental Services,4240,Solid Waste,Admin SW/MD,42_4240_Admin SW/MD
42,Environmental Services,4240,Solid Waste,Closure/Post Closure,42_4240_Closure/Post Closure
42,Environmental Services,4240,Solid Waste,Closure/Post Closure - East Wake Landfill,42_4240_Closure/Post Closure - East Wake Landfill
42,Environmental Services,4240,Solid Waste,Closure/Post Closure - Feltonsville,42_4240_Closure/Post Closure - Feltonsville
42,Environmental Services,4240,Solid Waste,Closure/Post Closure - N.Wake Landfill,42_4240_Closure/Post Closure - N.Wake Landfill
42,Environmental Services,4240,Solid Waste,Community Waste Reduction & Recycling Grant,42_4240_Community Waste Reduction & Recycling Grant
42,Environmental Services,4240,Solid Waste,East Wake Transfer Station Administration,42_4240_East Wake Transfer Station Administration
42,Environmental Services,4240,Solid Waste,East Wake Transfer Station Operations,42_4240_East Wake Transfer Station Operations
42,Environmental Services,4240,Solid Waste,East Wake Transfer Station Scalehouse,42_4240_East Wake Transfer Station Scalehouse
42,Environmental Services,4240,Solid Waste,Household Hazardous Waste,42_4240_Household Hazardous Waste
42,Environmental Services,4240,Solid Waste,Landfill Gas to Energy,42_4240_Landfill Gas to Energy
42,Environmental Services,4240,Solid Waste,Multi Material Facility,42_4240_Multi Material Facility
42,Environmental Services,4240,Solid Waste,NC Electronic Recycling,42_4240_NC Electronic Recycling
42,Environmental Services,4240,Solid Waste,North Wake Landfill Gas to Energy,42_4240_North Wake Landfill Gas to Energy
42,Environmental Services,4240,Solid Waste,School Recycling,42_4240_School Recycling
42,Environmental Services,4240,Solid Waste,Solid Waste Construction Management,42_4240_Solid Waste Construction Management
42,Environmental Services,4240,Solid Waste,Solid Waste Convenience,42_4240_Solid Waste Convenience
42,Environmental Services,4240,Solid Waste,Solid Waste Landfill,42_4240_Solid Waste Landfill
42,Environmental Services,4240,Solid Waste,South Wake Landfill Admin,42_4240_South Wake Landfill Admin
42,Environmental Services,4240,Solid Waste,South Wake Landfill Operating,42_4240_South Wake Landfill Operating
42,Environmental Services,4240,Solid Waste,South Wake Landfill Scalehouse,42_4240_South Wake Landfill Scalehouse
42,Environmental Services,4240,Solid Waste,Storm Debris Management,42_4240_Storm Debris Management
42,Environmental Services,4240,Solid Waste,SW Garner Partnership,42_4240_SW Garner Partnership
42,Environmental Services,4240,Solid Waste,SW/Apex Partnership,42_4240_SW/Apex Partnership
42,Environmental Services,4240,Solid Waste,SW/Cary Partnership,42_4240_SW/Cary Partnership
42,Environmental Services,4240,Solid Waste,SW/Fuquay Varina Partnership,42_4240_SW/Fuquay Varina Partnership
42,Environmental Services,4240,Solid Waste,SW/Knightdale Partnership,42_4240_SW/Knightdale Partnership
42,Environmental Services,4240,Solid Waste,SW/Morrisville Partnership,42_4240_SW/Morrisville Partnership
42,Environmental Services,4240,Solid Waste,SW/Pooled Partnership Rebates,42_4240_SW/Pooled Partnership Rebates
42,Environmental Services,4240,Solid Waste,SW/Raleigh Partnership,42_4240_SW/Raleigh Partnership
42,Environmental Services,4240,Solid Waste,SW/Rolesville Partnership,42_4240_SW/Rolesville Partnership
42,Environmental Services,4240,Solid Waste,SW/Wake Forst Partnership,42_4240_SW/Wake Forst Partnership
42,Environmental Services,4240,Solid Waste,SW/Wendell Partnership,42_4240_SW/Wendell Partnership
42,Environmental Services,4240,Solid Waste,SW/Zebulon Partnerhsip,42_4240_SW/Zebulon Partnerhsip
42,Environmental Services,4240,Solid Waste,Transfer Station,42_4240_Transfer Station
42,Environmental Services,4240,Solid Waste,Waste Reduction,42_4240_Waste Reduction
42,Environmental Services,4240,Solid Waste,White Goods,42_4240_White Goods
42,Environmental Services,4260,"Animal Care, Control and Adoption Center","Animal Care, Control and Adoption - Field (Div 4260)","42_4260_Animal Care, Control and Adoption - Field (Div 4260)"
42,Environmental Services,4260,"Animal Care, Control and Adoption Center","Animal Care, Control and Adoption - Shelter (Div 4260)","42_4260_Animal Care, Control and Adoption - Shelter (Div 4260)"
42,Environmental Services,4260,"Animal Care, Control and Adoption Center",Animal Shelter Donations (Div 4260),42_4260_Animal Shelter Donations (Div 4260)
42,Environmental Services,4260,"Animal Care, Control and Adoption Center",Animal Shelter Sponsorships (Div 4260),42_4260_Animal Shelter Sponsorships (Div 4260)
42,Environmental Services,4260,"Animal Care, Control and Adoption Center",Veterinary Services Program,42_4260_Veterinary Services Program
42,Environmental Services,4260,"Animal Care, Control and Adoption Center",Wake County Spay/Neuter Program,42_4260_Wake County Spay/Neuter Program
44,General Services Administration,4401,Administration / Support,Central Services-Admn,44_4401_Central Services-Admn
44,General Services Administration,4401,Administration / Support,GSA Administration,44_4401_GSA Administration
44,General Services Administration,4401,Administration / Support,GSA Energy Camp Donations,44_4401_GSA Energy Camp Donations
44,General Services Administration,4401,Administration / Support,GSA Energy Camp Grant,44_4401_GSA Energy Camp Grant
44,General Services Administration,4401,Administration / Support,Mail Center,44_4401_Mail Center
44,General Services Administration,4401,Administration / Support,Move Management,44_4401_Move Management
44,General Services Administration,4402,Physical Plant,2nd Shift,44_4402_2nd Shift
44,General Services Administration,4402,Physical Plant,Electrical Maintenance,44_4402_Electrical Maintenance
44,General Services Administration,4402,Physical Plant,Environmental,44_4402_Environmental
44,General Services Administration,4402,Physical Plant,General Trades,44_4402_General Trades
44,General Services Administration,4402,Physical Plant,HVAC Maintenance,44_4402_HVAC Maintenance
44,General Services Administration,4402,Physical Plant,Life Safety Systems,44_4402_Life Safety Systems
44,General Services Administration,4402,Physical Plant,Physical Plant-Admn,44_4402_Physical Plant-Admn
44,General Services Administration,4402,Physical Plant,Physical Plant-Charge Outs,44_4402_Physical Plant-Charge Outs
44,General Services Administration,4402,Physical Plant,Piping/Plumbing Maintenance,44_4402_Piping/Plumbing Maintenance
44,General Services Administration,4402,Physical Plant,Ponderosa,44_4402_Ponderosa
44,General Services Administration,4403,Central Services,Central Services-Admn,44_4403_Central Services-Admn
44,General Services Administration,4403,Central Services,Mail Center,44_4403_Mail Center
44,General Services Administration,4403,Central Services,Move Management,44_4403_Move Management
44,General Services Administration,4403,Central Services,Reprographics,44_4403_Reprographics
44,General Services Administration,4404,Fleet Operations,Fleet Asset Management,44_4404_Fleet Asset Management
44,General Services Administration,4404,Fleet Operations,Fleet Fuel Management,44_4404_Fleet Fuel Management
44,General Services Administration,4404,Fleet Operations,Fleet Service Management,44_4404_Fleet Service Management
44,General Services Administration,4405,Safety & Security,Corporate Security,44_4405_Corporate Security
44,General Services Administration,4405,Safety & Security,Security-LEO,44_4405_Security-LEO
44,General Services Administration,4406,Criminal Justice/General Government,Court Facility Operations,44_4406_Court Facility Operations
44,General Services Administration,4406,Criminal Justice/General Government,Detention Electronic Security,44_4406_Detention Electronic Security
44,General Services Administration,4406,Criminal Justice/General Government,Parking Management,44_4406_Parking Management
44,General Services Administration,4407,Facility & Field Services,Construction Services,44_4407_Construction Services
44,General Services Administration,4407,Facility & Field Services,Corporate Sign Graphics,44_4407_Corporate Sign Graphics
44,General Services Administration,4407,Facility & Field Services,FS Administration,44_4407_FS Administration
44,General Services Administration,4407,Facility & Field Services,Horticulture,44_4407_Horticulture
44,General Services Administration,4407,Facility & Field Services,Housekeeping,44_4407_Housekeeping
44,General Services Administration,4407,Facility & Field Services,Landscape Maintenance,44_4407_Landscape Maintenance
44,General Services Administration,4408,Utilities/Life Safety/Environmental,Utilities,44_4408_Utilities
44,General Services Administration,4409,County Building Agreements,Lake Crabtree County Park - Bridge to Sports Donations,44_4409_Lake Crabtree County Park - Bridge to Sports Donations
44,General Services Administration,4409,County Building Agreements,Leased County Buildings,44_4409_Leased County Buildings
46,Human Services Department,4601,HS Administration,Administration,46_4601_Administration
46,Human Services Department,4601,HS Administration,Office of Community Affairs,46_4601_Office of Community Affairs
46,Human Services Department,4601,HS Administration,Organizational Development,46_4601_Organizational Development
46,Human Services Department,4602,Adult Services,Drop In Center,46_4602_Drop In Center
46,Human Services Department,4602,Adult Services,ERC Adult Med/Food Stamps/DSS,46_4602_ERC Adult Med/Food Stamps/DSS
46,Human Services Department,4603,Child Welfare/Mental Health,CW Core Services,46_4603_CW Core Services
46,Human Services Department,4603,Child Welfare/Mental Health,Wake House,46_4603_Wake House
46,Human Services Department,4604,Clinic Services,Child Health Clinic,46_4604_Child Health Clinic
46,Human Services Department,4604,Clinic Services,Clinical Services-Dental,46_4604_Clinical Services-Dental
46,Human Services Department,4606,Economic Self Sufficiency,Family Medicaid & Food Stamps,46_4606_Family Medicaid & Food Stamps
46,Human Services Department,4606,Economic Self Sufficiency,Program Integrity,46_4606_Program Integrity
46,Human Services Department,4606,Economic Self Sufficiency,Service Intake,46_4606_Service Intake
46,Human Services Department,4606,Economic Self Sufficiency,Workfirst,46_4606_Workfirst
46,Human Services Department,4607,Family Support,4 H Youth Development,46_4607_4 H Youth Development
46,Human Services Department,4607,Family Support,Child Health Promotion,46_4607_Child Health Promotion
46,Human Services Department,4607,Family Support,Child Serv Coor/General,46_4607_Child Serv Coor/General
46,Human Services Department,4607,Family Support,Maternal Care Coord-Gen,46_4607_Maternal Care Coord-Gen
46,Human Services Department,4607,Family Support,Maternal Women's Prevention Health,46_4607_Maternal Women's Prevention Health
46,Human Services Department,4607,Family Support,WIC Client Services-State,46_4607_WIC Client Services-State
46,Human Services Department,4608,Local Managing Entity,LME/Business Management & Claims Management,46_4608_LME/Business Management & Claims Management
46,Human Services Department,4608,Local Managing Entity,LME/Care Coordination,46_4608_LME/Care Coordination
46,Human Services Department,4609,Operations,Client Accounting,46_4609_Client Accounting
46,Human Services Department,4609,Operations,Consumer Records,46_4609_Consumer Records
46,Human Services Department,4609,Operations,Staff Recruitment/Retention,46_4609_Staff Recruitment/Retention
46,Human Services Department,4611,Behavioral Health - Old,Bridging,46_4611_Bridging
