Age code,Establishment Age
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
1,Total
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
10,0 years
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
20,1 year
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
30,2 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
40,3 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
50,4 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
60,5 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
70,6-10 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
80,11-15 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
90,16-20 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
100,21-25 years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
