Id,Age code,Year,NAICS code,Number of firms,Number of establishments,Number of employees,Number of establishments born,Number of establishments exited,NAICS code description,Industry group code,Industry group,Subsector code,Subsector,Sector code,Sector
306,1,1981,311520,270724,319525,18217604,40425,25442,Ice Cream and Frozen Dessert Manufacturing,3115,Dairy Product Manufacturing,311,Food Manufacturing,31,Manufacturing
933,1,1981,321920,270724,319525,18217604,40425,25442,Wood Container and Pallet Manufacturing,3219,Other Wood Product Manufacturing,321,Wood Product Manufacturing,32,Manufacturing
1210,1,1981,326291,270724,319525,18217604,40425,25442,Rubber Product Manufacturing for Mechanical Use,3262,Rubber Product Manufacturin,326,Plastics and Rubber Products Manufacturin,32,Manufacturing
1399,1,1981,327320,270724,319525,18217604,40425,25442,Ready-Mix Concrete Manufacturing,3273,Cement and Concrete Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
654,1,1982,316998,271895,320897,17478675,30855,30404,All Other Leather Good and Allied Product Manufacturing,3169,Other Leather and Allied Product Manufacturing,316,Leather and Allied Product Manufacturing,31,Manufacturing
1585,1,1982,327320,271895,320897,17478675,30855,30404,Ready-Mix Concrete Manufacturing,3273,Cement and Concrete Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
1257,1,1983,326291,272876,320871,16278683,30365,30275,Rubber Product Manufacturing for Mechanical Use,3262,Rubber Product Manufacturin,326,Plastics and Rubber Products Manufacturin,32,Manufacturing
1493,1,1983,327320,272876,320871,16278683,30365,30275,Ready-Mix Concrete Manufacturing,3273,Cement and Concrete Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
99,1,1984,311211,274067,321880,17380723,30331,28916,Flour Milling,3112,Grain and Oilseed Milling,311,Food Manufacturing,31,Manufacturing
168,1,1984,311520,274067,321880,17380723,30331,28916,Ice Cream and Frozen Dessert Manufacturing,3115,Dairy Product Manufacturing,311,Food Manufacturing,31,Manufacturing
1402,1,1984,327320,274067,321880,17380723,30331,28916,Ready-Mix Concrete Manufacturing,3273,Cement and Concrete Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
423,1,1985,315220,282402,329831,17440468,39765,31389,Men's and Boys' Cut and Sew Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,315,Apparel Manufacturing,31,Manufacturing
771,1,1985,316998,282402,329831,17440468,39765,31389,All Other Leather Good and Allied Product Manufacturing,3169,Other Leather and Allied Product Manufacturing,316,Leather and Allied Product Manufacturing,31,Manufacturing
1050,1,1985,324121,282402,329831,17440468,39765,31389,Asphalt Paving Mixture and Block Manufacturing,3241,Petroleum and Coal Products Manufacturing,324,Petroleum and Coal Products Manufacturing,32,Manufacturing
1653,1,1985,331420,282402,329831,17440468,39765,31389,"Copper Rolling, Drawing, Extruding, and Alloying",3314,Nonferrous Metal (except Aluminum) Production and Processing,331,Primary Metal Manufacturing,33,Manufacturing
958,1,1986,321920,281621,328891,16991715,34124,33439,Wood Container and Pallet Manufacturing,3219,Other Wood Product Manufacturing,321,Wood Product Manufacturing,32,Manufacturing
1235,1,1986,326291,281621,328891,16991715,34124,33439,Rubber Product Manufacturing for Mechanical Use,3262,Rubber Product Manufacturin,326,Plastics and Rubber Products Manufacturin,32,Manufacturing
1449,1,1986,327320,281621,328891,16991715,34124,33439,Ready-Mix Concrete Manufacturing,3273,Cement and Concrete Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
77,1,1987,311211,282101,328603,16628758,34938,34439,Flour Milling,3112,Grain and Oilseed Milling,311,Food Manufacturing,31,Manufacturing
632,1,1987,315240,282101,328603,16628758,34938,34439,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",3152,Cut and Sew Apparel Manufacturing,315,Apparel Manufacturing,31,Manufacturing
1358,1,1987,327320,282101,328603,16628758,34938,34439,Ready-Mix Concrete Manufacturing,3273,Cement and Concrete Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
401,1,1988,315220,288204,335732,17128298,36593,31286,Men's and Boys' Cut and Sew Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,315,Apparel Manufacturing,31,Manufacturing
749,1,1988,316998,288204,335732,17128298,36593,31286,All Other Leather Good and Allied Product Manufacturing,3169,Other Leather and Allied Product Manufacturing,316,Leather and Allied Product Manufacturing,31,Manufacturing
1028,1,1988,324121,288204,335732,17128298,36593,31286,Asphalt Paving Mixture and Block Manufacturing,3241,Petroleum and Coal Products Manufacturing,324,Petroleum and Coal Products Manufacturing,32,Manufacturing
1631,1,1988,331420,288204,335732,17128298,36593,31286,"Copper Rolling, Drawing, Extruding, and Alloying",3314,Nonferrous Metal (except Aluminum) Production and Processing,331,Primary Metal Manufacturing,33,Manufacturing
101,1,1989,311211,291626,339124,17352837,35276,31821,Flour Milling,3112,Grain and Oilseed Milling,311,Food Manufacturing,31,Manufacturing
170,1,1989,311520,291626,339124,17352837,35276,31821,Ice Cream and Frozen Dessert Manufacturing,3115,Dairy Product Manufacturing,311,Food Manufacturing,31,Manufacturing
1406,1,1989,327320,291626,339124,17352837,35276,31821,Ready-Mix Concrete Manufacturing,3273,Cement and Concrete Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
1283,1,1990,326291,293873,341704,17081635,33808,30900,Rubber Product Manufacturing for Mechanical Use,3262,Rubber Product Manufacturin,326,Plastics and Rubber Products Manufacturin,32,Manufacturing
1545,1,1990,327320,293873,341704,17081635,33808,30900,Ready-Mix Concrete Manufacturing,3273,Cement and Concrete Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
541,1,1991,315240,294523,341921,16099387,29948,33860,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",3152,Cut and Sew Apparel Manufacturing,315,Apparel Manufacturing,31,Manufacturing
1122,1,1991,324121,294523,341921,16099387,29948,33860,Asphalt Paving Mixture and Block Manufacturing,3241,Petroleum and Coal Products Manufacturing,324,Petroleum and Coal Products Manufacturing,32,Manufacturing
1725,1,1991,331420,294523,341921,16099387,29948,33860,"Copper Rolling, Drawing, Extruding, and Alloying",3314,Nonferrous Metal (except Aluminum) Production and Processing,331,Primary Metal Manufacturing,33,Manufacturing
264,1,1992,311520,286929,333232,15893415,27866,32790,Ice Cream and Frozen Dessert Manufacturing,3115,Dairy Product Manufacturing,311,Food Manufacturing,31,Manufacturing
891,1,1992,321920,286929,333232,15893415,27866,32790,Wood Container and Pallet Manufacturing,3219,Other Wood Product Manufacturing,321,Wood Product Manufacturing,32,Manufacturing
1168,1,1992,326291,286929,333232,15893415,27866,32790,Rubber Product Manufacturing for Mechanical Use,3262,Rubber Product Manufacturin,326,Plastics and Rubber Products Manufacturin,32,Manufacturing
1315,1,1992,327320,286929,333232,15893415,27866,32790,Ready-Mix Concrete Manufacturing,3273,Cement and Concrete Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
380,1,1993,315220,289102,334916,15903383,30036,28765,Men's and Boys' Cut and Sew Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,315,Apparel Manufacturing,31,Manufacturing
728,1,1993,316998,289102,334916,15903383,30036,28765,All Other Leather Good and Allied Product Manufacturing,3169,Other Leather and Allied Product Manufacturing,316,Leather and Allied Product Manufacturing,31,Manufacturing
1007,1,1993,324121,289102,334916,15903383,30036,28765,Asphalt Paving Mixture and Block Manufacturing,3241,Petroleum and Coal Products Manufacturing,324,Petroleum and Coal Products Manufacturing,32,Manufacturing
450,1,1994,315220,291221,337397,16076631,30364,28620,Men's and Boys' Cut and Sew Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,315,Apparel Manufacturing,31,Manufacturing
496,1,1994,315240,291221,337397,16076631,30364,28620,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",3152,Cut and Sew Apparel Manufacturing,315,Apparel Manufacturing,31,Manufacturing
798,1,1994,316998,291221,337397,16076631,30364,28620,All Other Leather Good and Allied Product Manufacturing,3169,Other Leather and Allied Product Manufacturing,316,Leather and Allied Product Manufacturing,31,Manufacturing
1077,1,1994,324121,291221,337397,16076631,30364,28620,Asphalt Paving Mixture and Block Manufacturing,3241,Petroleum and Coal Products Manufacturing,324,Petroleum and Coal Products Manufacturing,32,Manufacturing
1680,1,1994,331420,291221,337397,16076631,30364,28620,"Copper Rolling, Drawing, Extruding, and Alloying",3314,Nonferrous Metal (except Aluminum) Production and Processing,331,Primary Metal Manufacturing,33,Manufacturing
11,1,1995,311211,293001,339281,16497873,30375,27315,Flour Milling,3112,Grain and Oilseed Milling,311,Food Manufacturing,31,Manufacturing
566,1,1995,315240,293001,339281,16497873,30375,27315,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",3152,Cut and Sew Apparel Manufacturing,315,Apparel Manufacturing,31,Manufacturing
1750,1,1995,331420,293001,339281,16497873,30375,27315,"Copper Rolling, Drawing, Extruding, and Alloying",3314,Nonferrous Metal (except Aluminum) Production and Processing,331,Primary Metal Manufacturing,33,Manufacturing
81,1,1996,311211,292240,338408,16134500,28635,28370,Flour Milling,3112,Grain and Oilseed Milling,311,Food Manufacturing,31,Manufacturing
636,1,1996,315240,292240,338408,16134500,28635,28370,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",3152,Cut and Sew Apparel Manufacturing,315,Apparel Manufacturing,31,Manufacturing
1366,1,1996,327320,292240,338408,16134500,28635,28370,Ready-Mix Concrete Manufacturing,3273,Cement and Concrete Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
151,1,1997,311211,292545,337948,16361886,28275,29288,Flour Milling,3112,Grain and Oilseed Milling,311,Food Manufacturing,31,Manufacturing
220,1,1997,311520,292545,337948,16361886,28275,29288,Ice Cream and Frozen Dessert Manufacturing,3115,Dairy Product Manufacturing,311,Food Manufacturing,31,Manufacturing
847,1,1997,321920,292545,337948,16361886,28275,29288,Wood Container and Pallet Manufacturing,3219,Other Wood Product Manufacturing,321,Wood Product Manufacturing,32,Manufacturing
1506,1,1997,327320,292545,337948,16361886,28275,29288,Ready-Mix Concrete Manufacturing,3273,Cement and Concrete Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
290,1,1998,311520,294325,340671,16711134,27760,26525,Ice Cream and Frozen Dessert Manufacturing,3115,Dairy Product Manufacturing,311,Food Manufacturing,31,Manufacturing
917,1,1998,321920,294325,340671,16711134,27760,26525,Wood Container and Pallet Manufacturing,3219,Other Wood Product Manufacturing,321,Wood Product Manufacturing,32,Manufacturing
1194,1,1998,326291,294325,340671,16711134,27760,26525,Rubber Product Manufacturing for Mechanical Use,3262,Rubber Product Manufacturin,326,Plastics and Rubber Products Manufacturin,32,Manufacturing
1367,1,1998,327320,294325,340671,16711134,27760,26525,Ready-Mix Concrete Manufacturing,3273,Cement and Concrete Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
152,1,1999,311211,290178,337124,16460120,24731,28067,Flour Milling,3112,Grain and Oilseed Milling,311,Food Manufacturing,31,Manufacturing
221,1,1999,311520,290178,337124,16460120,24731,28067,Ice Cream and Frozen Dessert Manufacturing,3115,Dairy Product Manufacturing,311,Food Manufacturing,31,Manufacturing
848,1,1999,321920,290178,337124,16460120,24731,28067,Wood Container and Pallet Manufacturing,3219,Other Wood Product Manufacturing,321,Wood Product Manufacturing,32,Manufacturing
1508,1,1999,327320,290178,337124,16460120,24731,28067,Ready-Mix Concrete Manufacturing,3273,Cement and Concrete Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
83,1,2000,311211,285603,332845,16373179,24169,27782,Flour Milling,3112,Grain and Oilseed Milling,311,Food Manufacturing,31,Manufacturing
638,1,2000,315240,285603,332845,16373179,24169,27782,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",3152,Cut and Sew Apparel Manufacturing,315,Apparel Manufacturing,31,Manufacturing
1370,1,2000,327320,285603,332845,16373179,24169,27782,Ready-Mix Concrete Manufacturing,3273,Cement and Concrete Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
14,1,2001,311211,284859,332190,15901839,24042,27784,Flour Milling,3112,Grain and Oilseed Milling,311,Food Manufacturing,31,Manufacturing
569,1,2001,315240,284859,332190,15901839,24042,27784,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",3152,Cut and Sew Apparel Manufacturing,315,Apparel Manufacturing,31,Manufacturing
1753,1,2001,331420,284859,332190,15901839,24042,27784,"Copper Rolling, Drawing, Extruding, and Alloying",3314,Nonferrous Metal (except Aluminum) Production and Processing,331,Primary Metal Manufacturing,33,Manufacturing
454,1,2002,315220,282948,329782,14523927,24236,33051,Men's and Boys' Cut and Sew Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,315,Apparel Manufacturing,31,Manufacturing
500,1,2002,315240,282948,329782,14523927,24236,33051,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",3152,Cut and Sew Apparel Manufacturing,315,Apparel Manufacturing,31,Manufacturing
802,1,2002,316998,282948,329782,14523927,24236,33051,All Other Leather Good and Allied Product Manufacturing,3169,Other Leather and Allied Product Manufacturing,316,Leather and Allied Product Manufacturing,31,Manufacturing
1081,1,2002,324121,282948,329782,14523927,24236,33051,Asphalt Paving Mixture and Block Manufacturing,3241,Petroleum and Coal Products Manufacturing,324,Petroleum and Coal Products Manufacturing,32,Manufacturing
1684,1,2002,331420,282948,329782,14523927,24236,33051,"Copper Rolling, Drawing, Extruding, and Alloying",3314,Nonferrous Metal (except Aluminum) Production and Processing,331,Primary Metal Manufacturing,33,Manufacturing
385,1,2003,315220,276616,322342,14048766,22060,28976,Men's and Boys' Cut and Sew Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,315,Apparel Manufacturing,31,Manufacturing
733,1,2003,316998,276616,322342,14048766,22060,28976,All Other Leather Good and Allied Product Manufacturing,3169,Other Leather and Allied Product Manufacturing,316,Leather and Allied Product Manufacturing,31,Manufacturing
1012,1,2003,324121,276616,322342,14048766,22060,28976,Asphalt Paving Mixture and Block Manufacturing,3241,Petroleum and Coal Products Manufacturing,324,Petroleum and Coal Products Manufacturing,32,Manufacturing
270,1,2004,311520,273530,318476,13722079,22185,26717,Ice Cream and Frozen Dessert Manufacturing,3115,Dairy Product Manufacturing,311,Food Manufacturing,31,Manufacturing
897,1,2004,321920,273530,318476,13722079,22185,26717,Wood Container and Pallet Manufacturing,3219,Other Wood Product Manufacturing,321,Wood Product Manufacturing,32,Manufacturing
1174,1,2004,326291,273530,318476,13722079,22185,26717,Rubber Product Manufacturing for Mechanical Use,3262,Rubber Product Manufacturin,326,Plastics and Rubber Products Manufacturin,32,Manufacturing
1327,1,2004,327320,273530,318476,13722079,22185,26717,Ready-Mix Concrete Manufacturing,3273,Cement and Concrete Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
548,1,2005,315240,269305,313809,13650122,22137,25782,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",3152,Cut and Sew Apparel Manufacturing,315,Apparel Manufacturing,31,Manufacturing
1129,1,2005,324121,269305,313809,13650122,22137,25782,Asphalt Paving Mixture and Block Manufacturing,3241,Petroleum and Coal Products Manufacturing,324,Petroleum and Coal Products Manufacturing,32,Manufacturing
1732,1,2005,331420,269305,313809,13650122,22137,25782,"Copper Rolling, Drawing, Extruding, and Alloying",3314,Nonferrous Metal (except Aluminum) Production and Processing,331,Primary Metal Manufacturing,33,Manufacturing
1291,1,2006,326291,268640,313572,13611611,25088,26083,Rubber Product Manufacturing for Mechanical Use,3262,Rubber Product Manufacturin,326,Plastics and Rubber Products Manufacturin,32,Manufacturing
1561,1,2006,327320,268640,313572,13611611,25088,26083,Ready-Mix Concrete Manufacturing,3273,Cement and Concrete Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
110,1,2007,311211,269146,313934,13337202,21767,24650,Flour Milling,3112,Grain and Oilseed Milling,311,Food Manufacturing,31,Manufacturing
179,1,2007,311520,269146,313934,13337202,21767,24650,Ice Cream and Frozen Dessert Manufacturing,3115,Dairy Product Manufacturing,311,Food Manufacturing,31,Manufacturing
1424,1,2007,327320,269146,313934,13337202,21767,24650,Ready-Mix Concrete Manufacturing,3273,Cement and Concrete Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
411,1,2008,315220,260613,304221,12920822,19123,24799,Men's and Boys' Cut and Sew Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,315,Apparel Manufacturing,31,Manufacturing
759,1,2008,316998,260613,304221,12920822,19123,24799,All Other Leather Good and Allied Product Manufacturing,3169,Other Leather and Allied Product Manufacturing,316,Leather and Allied Product Manufacturing,31,Manufacturing
1038,1,2008,324121,260613,304221,12920822,19123,24799,Asphalt Paving Mixture and Block Manufacturing,3241,Petroleum and Coal Products Manufacturing,324,Petroleum and Coal Products Manufacturing,32,Manufacturing
1641,1,2008,331420,260613,304221,12920822,19123,24799,"Copper Rolling, Drawing, Extruding, and Alloying",3314,Nonferrous Metal (except Aluminum) Production and Processing,331,Primary Metal Manufacturing,33,Manufacturing
296,1,2009,311520,250392,292784,11559307,16499,28185,Ice Cream and Frozen Dessert Manufacturing,3115,Dairy Product Manufacturing,311,Food Manufacturing,31,Manufacturing
923,1,2009,321920,250392,292784,11559307,16499,28185,Wood Container and Pallet Manufacturing,3219,Other Wood Product Manufacturing,321,Wood Product Manufacturing,32,Manufacturing
1200,1,2009,326291,250392,292784,11559307,16499,28185,Rubber Product Manufacturing for Mechanical Use,3262,Rubber Product Manufacturin,326,Plastics and Rubber Products Manufacturin,32,Manufacturing
1379,1,2009,327320,250392,292784,11559307,16499,28185,Ready-Mix Concrete Manufacturing,3273,Cement and Concrete Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
19,1,2010,311211,241529,282700,10829797,16326,26369,Flour Milling,3112,Grain and Oilseed Milling,311,Food Manufacturing,31,Manufacturing
574,1,2010,315240,241529,282700,10829797,16326,26369,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",3152,Cut and Sew Apparel Manufacturing,315,Apparel Manufacturing,31,Manufacturing
1758,1,2010,331420,241529,282700,10829797,16326,26369,"Copper Rolling, Drawing, Extruding, and Alloying",3314,Nonferrous Metal (except Aluminum) Production and Processing,331,Primary Metal Manufacturing,33,Manufacturing
668,1,2011,316998,238562,279265,10926328,17950,21706,All Other Leather Good and Allied Product Manufacturing,3169,Other Leather and Allied Product Manufacturing,316,Leather and Allied Product Manufacturing,31,Manufacturing
1613,1,2011,327320,238562,279265,10926328,17950,21706,Ready-Mix Concrete Manufacturing,3273,Cement and Concrete Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
136,1,2012,311211,239601,280127,11159235,18168,19303,Flour Milling,3112,Grain and Oilseed Milling,311,Food Manufacturing,31,Manufacturing
205,1,2012,311520,239601,280127,11159235,18168,19303,Ice Cream and Frozen Dessert Manufacturing,3115,Dairy Product Manufacturing,311,Food Manufacturing,31,Manufacturing
832,1,2012,321920,239601,280127,11159235,18168,19303,Wood Container and Pallet Manufacturing,3219,Other Wood Product Manufacturing,321,Wood Product Manufacturing,32,Manufacturing
1476,1,2012,327320,239601,280127,11159235,18168,19303,Ready-Mix Concrete Manufacturing,3273,Cement and Concrete Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
437,1,2013,315220,235157,275190,11214938,16866,19150,Men's and Boys' Cut and Sew Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,315,Apparel Manufacturing,31,Manufacturing
785,1,2013,316998,235157,275190,11214938,16866,19150,All Other Leather Good and Allied Product Manufacturing,3169,Other Leather and Allied Product Manufacturing,316,Leather and Allied Product Manufacturing,31,Manufacturing
1064,1,2013,324121,235157,275190,11214938,16866,19150,Asphalt Paving Mixture and Block Manufacturing,3241,Petroleum and Coal Products Manufacturing,324,Petroleum and Coal Products Manufacturing,32,Manufacturing
1667,1,2013,331420,235157,275190,11214938,16866,19150,"Copper Rolling, Drawing, Extruding, and Alloying",3314,Nonferrous Metal (except Aluminum) Production and Processing,331,Primary Metal Manufacturing,33,Manufacturing
322,1,2014,311520,235435,275989,11347152,17551,18060,Ice Cream and Frozen Dessert Manufacturing,3115,Dairy Product Manufacturing,311,Food Manufacturing,31,Manufacturing
949,1,2014,321920,235435,275989,11347152,17551,18060,Wood Container and Pallet Manufacturing,3219,Other Wood Product Manufacturing,321,Wood Product Manufacturing,32,Manufacturing
1226,1,2014,326291,235435,275989,11347152,17551,18060,Rubber Product Manufacturing for Mechanical Use,3262,Rubber Product Manufacturin,326,Plastics and Rubber Products Manufacturin,32,Manufacturing
1431,1,2014,327320,235435,275989,11347152,17551,18060,Ready-Mix Concrete Manufacturing,3273,Cement and Concrete Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
45,1,2015,311211,234928,276196,11539467,18086,17973,Flour Milling,3112,Grain and Oilseed Milling,311,Food Manufacturing,31,Manufacturing
600,1,2015,315240,234928,276196,11539467,18086,17973,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",3152,Cut and Sew Apparel Manufacturing,315,Apparel Manufacturing,31,Manufacturing
1784,1,2015,331420,234928,276196,11539467,18086,17973,"Copper Rolling, Drawing, Extruding, and Alloying",3314,Nonferrous Metal (except Aluminum) Production and Processing,331,Primary Metal Manufacturing,33,Manufacturing
346,1,2016,315220,234204,276174,11536552,18019,18063,Men's and Boys' Cut and Sew Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,315,Apparel Manufacturing,31,Manufacturing
694,1,2016,316998,234204,276174,11536552,18019,18063,All Other Leather Good and Allied Product Manufacturing,3169,Other Leather and Allied Product Manufacturing,316,Leather and Allied Product Manufacturing,31,Manufacturing
162,1,2017,311211,232123,274795,11668574,17643,19320,Flour Milling,3112,Grain and Oilseed Milling,311,Food Manufacturing,31,Manufacturing
231,1,2017,311520,232123,274795,11668574,17643,19320,Ice Cream and Frozen Dessert Manufacturing,3115,Dairy Product Manufacturing,311,Food Manufacturing,31,Manufacturing
858,1,2017,321920,232123,274795,11668574,17643,19320,Wood Container and Pallet Manufacturing,3219,Other Wood Product Manufacturing,321,Wood Product Manufacturing,32,Manufacturing
1528,1,2017,327320,232123,274795,11668574,17643,19320,Ready-Mix Concrete Manufacturing,3273,Cement and Concrete Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
463,1,2018,315220,230134,273966,11859412,17762,18321,Men's and Boys' Cut and Sew Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,315,Apparel Manufacturing,31,Manufacturing
509,1,2018,315240,230134,273966,11859412,17762,18321,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",3152,Cut and Sew Apparel Manufacturing,315,Apparel Manufacturing,31,Manufacturing
811,1,2018,316998,230134,273966,11859412,17762,18321,All Other Leather Good and Allied Product Manufacturing,3169,Other Leather and Allied Product Manufacturing,316,Leather and Allied Product Manufacturing,31,Manufacturing
1090,1,2018,324121,230134,273966,11859412,17762,18321,Asphalt Paving Mixture and Block Manufacturing,3241,Petroleum and Coal Products Manufacturing,324,Petroleum and Coal Products Manufacturing,32,Manufacturing
1693,1,2018,331420,230134,273966,11859412,17762,18321,"Copper Rolling, Drawing, Extruding, and Alloying",3314,Nonferrous Metal (except Aluminum) Production and Processing,331,Primary Metal Manufacturing,33,Manufacturing
51,10,1978,311211,29792,31122,529706,31122,0,Flour Milling,3112,Grain and Oilseed Milling,311,Food Manufacturing,31,Manufacturing
606,10,1978,315240,29792,31122,529706,31122,0,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",3152,Cut and Sew Apparel Manufacturing,315,Apparel Manufacturing,31,Manufacturing
1306,10,1978,327320,29792,31122,529706,31122,0,Ready-Mix Concrete Manufacturing,3273,Cement and Concrete Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
28,10,1979,311211,25378,26762,514434,26762,0,Flour Milling,3112,Grain and Oilseed Milling,311,Food Manufacturing,31,Manufacturing
583,10,1979,315240,25378,26762,514434,26762,0,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",3152,Cut and Sew Apparel Manufacturing,315,Apparel Manufacturing,31,Manufacturing
1767,10,1979,331420,25378,26762,514434,26762,0,"Copper Rolling, Drawing, Extruding, and Alloying",3314,Nonferrous Metal (except Aluminum) Production and Processing,331,Primary Metal Manufacturing,33,Manufacturing
375,10,1980,315220,25937,27369,568271,27369,0,Men's and Boys' Cut and Sew Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,315,Apparel Manufacturing,31,Manufacturing
723,10,1980,316998,25937,27369,568271,27369,0,All Other Leather Good and Allied Product Manufacturing,3169,Other Leather and Allied Product Manufacturing,316,Leather and Allied Product Manufacturing,31,Manufacturing
1002,10,1980,324121,25937,27369,568271,27369,0,Asphalt Paving Mixture and Block Manufacturing,3241,Petroleum and Coal Products Manufacturing,324,Petroleum and Coal Products Manufacturing,32,Manufacturing
98,10,1981,311211,29603,31078,626500,31078,0,Flour Milling,3112,Grain and Oilseed Milling,311,Food Manufacturing,31,Manufacturing
167,10,1981,311520,29603,31078,626500,31078,0,Ice Cream and Frozen Dessert Manufacturing,3115,Dairy Product Manufacturing,311,Food Manufacturing,31,Manufacturing
1400,10,1981,327320,29603,31078,626500,31078,0,Ready-Mix Concrete Manufacturing,3273,Cement and Concrete Product Manufacturing,327,Nonmetallic Mineral Product Manufacturing,32,Manufacturing
