,transaction,items,day_time,day_type,date,sales
61,35,Muffin,Morning,Weekend,2016-10-30,2.3
63,36,Tea,Morning,Weekend,2016-10-30,1.2
64,36,Bread,Morning,Weekend,2016-10-30,1.4
65,37,Coffee,Morning,Weekend,2016-10-30,2.2
66,37,Bread,Morning,Weekend,2016-10-30,1.4
67,38,Bread,Morning,Weekend,2016-10-30,1.4
68,38,Tea,Morning,Weekend,2016-10-30,1.2
70,40,Juice,Morning,Weekend,2016-10-30,2.4
71,40,Coffee,Morning,Weekend,2016-10-30,2.2
72,40,Muffin,Morning,Weekend,2016-10-30,2.3
74,42,Bread,Morning,Weekend,2016-10-30,1.4
75,42,Tea,Morning,Weekend,2016-10-30,1.2
77,44,Coffee,Afternoon,Weekend,2016-10-30,2.2
78,44,Croissant,Afternoon,Weekend,2016-10-30,1.6
79,45,Coffee,Afternoon,Weekend,2016-10-30,2.2
80,45,Hot chocolate,Afternoon,Weekend,2016-10-30,1.9
81,45,Croissant,Afternoon,Weekend,2016-10-30,1.6
82,46,Coffee,Afternoon,Weekend,2016-10-30,2.2
83,47,Juice,Afternoon,Weekend,2016-10-30,2.4
84,47,Bread,Afternoon,Weekend,2016-10-30,1.4
85,47,Muffin,Afternoon,Weekend,2016-10-30,2.3
86,48,Coffee,Afternoon,Weekend,2016-10-30,2.2
87,49,Coffee,Afternoon,Weekend,2016-10-30,2.2
88,49,Coffee,Afternoon,Weekend,2016-10-30,2.2
89,49,Croissant,Afternoon,Weekend,2016-10-30,1.6
90,50,Bread,Afternoon,Weekend,2016-10-30,1.4
91,51,Bread,Afternoon,Weekend,2016-10-30,1.4
93,54,Bread,Afternoon,Weekend,2016-10-30,1.4
94,55,Coffee,Afternoon,Weekend,2016-10-30,2.2
95,55,Tea,Afternoon,Weekend,2016-10-30,1.2
96,56,Coffee,Afternoon,Weekend,2016-10-30,2.2
98,58,Hot chocolate,Afternoon,Weekend,2016-10-30,1.9
99,58,Tea,Afternoon,Weekend,2016-10-30,1.2
100,58,Soup,Afternoon,Weekend,2016-10-30,2.75
101,59,Tea,Afternoon,Weekend,2016-10-30,1.2
102,60,Cookies,Afternoon,Weekend,2016-10-30,1.25
103,60,Coffee,Afternoon,Weekend,2016-10-30,2.2
104,60,Juice,Afternoon,Weekend,2016-10-30,2.4
105,60,Coffee,Afternoon,Weekend,2016-10-30,2.2
106,61,Coffee,Afternoon,Weekend,2016-10-30,2.2
107,62,Coffee,Afternoon,Weekend,2016-10-30,2.2
108,62,Coffee,Afternoon,Weekend,2016-10-30,2.2
109,63,Coffee,Afternoon,Weekend,2016-10-30,2.2
110,64,Cake,Afternoon,Weekend,2016-10-30,2.5
111,65,Tea,Afternoon,Weekend,2016-10-30,1.2
112,65,Coffee,Afternoon,Weekend,2016-10-30,2.2
113,67,Muffin,Afternoon,Weekend,2016-10-30,2.3
114,68,Coffee,Afternoon,Weekend,2016-10-30,2.2
115,68,Tea,Afternoon,Weekend,2016-10-30,1.2
117,69,Bread,Afternoon,Weekend,2016-10-30,1.4
118,69,Tea,Afternoon,Weekend,2016-10-30,1.2
119,71,Muffin,Afternoon,Weekend,2016-10-30,2.3
120,72,Coffee,Afternoon,Weekend,2016-10-30,2.2
121,72,Bread,Afternoon,Weekend,2016-10-30,1.4
122,73,Bread,Afternoon,Weekend,2016-10-30,1.4
123,74,Coffee,Afternoon,Weekend,2016-10-30,2.2
124,74,Bread,Afternoon,Weekend,2016-10-30,1.4
125,76,Coffee,Afternoon,Weekend,2016-10-30,2.2
127,79,Tea,Afternoon,Weekend,2016-10-30,1.2
128,79,Coffee,Afternoon,Weekend,2016-10-30,2.2
129,79,Muffin,Afternoon,Weekend,2016-10-30,2.3
130,80,Bread,Afternoon,Weekend,2016-10-30,1.4
131,80,Coffee,Afternoon,Weekend,2016-10-30,2.2
132,81,Coffee,Morning,Weekday,2016-10-31,2.2
133,81,Cake,Morning,Weekday,2016-10-31,2.5
134,82,Bread,Morning,Weekday,2016-10-31,1.4
135,83,Coffee,Morning,Weekday,2016-10-31,2.2
136,83,Bread,Morning,Weekday,2016-10-31,1.4
137,84,Bread,Morning,Weekday,2016-10-31,1.4
138,85,Coffee,Morning,Weekday,2016-10-31,2.2
139,85,Coffee,Morning,Weekday,2016-10-31,2.2
140,85,Pastry,Morning,Weekday,2016-10-31,2.2
141,85,Croissant,Morning,Weekday,2016-10-31,1.6
142,86,Juice,Morning,Weekday,2016-10-31,2.4
143,87,Bread,Morning,Weekday,2016-10-31,1.4
144,88,Coffee,Morning,Weekday,2016-10-31,2.2
145,88,Coffee,Morning,Weekday,2016-10-31,2.2
146,89,Bread,Morning,Weekday,2016-10-31,1.4
147,90,Bread,Morning,Weekday,2016-10-31,1.4
148,90,Coffee,Morning,Weekday,2016-10-31,2.2
149,91,Tea,Morning,Weekday,2016-10-31,1.2
150,92,Coffee,Morning,Weekday,2016-10-31,2.2
151,93,Bread,Morning,Weekday,2016-10-31,1.4
152,93,Coke,Morning,Weekday,2016-10-31,1.1
153,94,Coffee,Morning,Weekday,2016-10-31,2.2
154,94,Coffee,Morning,Weekday,2016-10-31,2.2
155,95,Tea,Morning,Weekday,2016-10-31,1.2
156,95,Pastry,Morning,Weekday,2016-10-31,2.2
157,95,Farm House,Morning,Weekday,2016-10-31,2.9
158,96,Pastry,Morning,Weekday,2016-10-31,2.2
159,96,Pastry,Morning,Weekday,2016-10-31,2.2
160,96,Coffee,Morning,Weekday,2016-10-31,2.2
161,96,Juice,Morning,Weekday,2016-10-31,2.4
162,97,Coffee,Morning,Weekday,2016-10-31,2.2
163,97,Pastry,Morning,Weekday,2016-10-31,2.2
164,97,Juice,Morning,Weekday,2016-10-31,2.4
165,98,Farm House,Morning,Weekday,2016-10-31,2.9
166,99,Pastry,Morning,Weekday,2016-10-31,2.2
167,99,Pastry,Morning,Weekday,2016-10-31,2.2
168,99,Coffee,Morning,Weekday,2016-10-31,2.2
169,99,Bread,Morning,Weekday,2016-10-31,1.4
170,100,Bread,Morning,Weekday,2016-10-31,1.4
171,101,Coffee,Morning,Weekday,2016-10-31,2.2
172,101,Pastry,Morning,Weekday,2016-10-31,2.2
173,102,Farm House,Morning,Weekday,2016-10-31,2.9
174,103,Bread,Morning,Weekday,2016-10-31,1.4
175,104,Coffee,Morning,Weekday,2016-10-31,2.2
176,104,Coffee,Morning,Weekday,2016-10-31,2.2
177,104,Croissant,Morning,Weekday,2016-10-31,1.6
178,104,Muffin,Morning,Weekday,2016-10-31,2.3
179,104,Coffee,Morning,Weekday,2016-10-31,2.2
180,105,Coffee,Morning,Weekday,2016-10-31,2.2
181,105,Tea,Morning,Weekday,2016-10-31,1.2
182,105,Cake,Morning,Weekday,2016-10-31,2.5
183,106,Coffee,Morning,Weekday,2016-10-31,2.2
184,106,Coffee,Morning,Weekday,2016-10-31,2.2
185,106,Pastry,Morning,Weekday,2016-10-31,2.2
186,106,Pastry,Morning,Weekday,2016-10-31,2.2
187,107,Coffee,Morning,Weekday,2016-10-31,2.2
188,107,Tea,Morning,Weekday,2016-10-31,1.2
189,108,Farm House,Morning,Weekday,2016-10-31,2.9
190,108,Muffin,Morning,Weekday,2016-10-31,2.3
191,109,Bread,Morning,Weekday,2016-10-31,1.4
192,109,Muffin,Morning,Weekday,2016-10-31,2.3
193,109,Pastry,Morning,Weekday,2016-10-31,2.2
194,110,Pastry,Morning,Weekday,2016-10-31,2.2
195,111,Coffee,Morning,Weekday,2016-10-31,2.2
196,112,Coffee,Morning,Weekday,2016-10-31,2.2
197,113,Coffee,Morning,Weekday,2016-10-31,2.2
198,113,Cake,Morning,Weekday,2016-10-31,2.5
199,114,Farm House,Morning,Weekday,2016-10-31,2.9
200,115,Bread,Morning,Weekday,2016-10-31,1.4
201,116,Coffee,Morning,Weekday,2016-10-31,2.2
202,117,Cookies,Morning,Weekday,2016-10-31,1.25
203,117,Cake,Morning,Weekday,2016-10-31,2.5
204,117,Coffee,Morning,Weekday,2016-10-31,2.2
205,118,Cookies,Morning,Weekday,2016-10-31,1.25
206,118,Cookies,Morning,Weekday,2016-10-31,1.25
207,118,Tea,Morning,Weekday,2016-10-31,1.2
208,118,Pastry,Morning,Weekday,2016-10-31,2.2
209,119,Coffee,Morning,Weekday,2016-10-31,2.2
210,119,Coffee,Morning,Weekday,2016-10-31,2.2
211,119,Muffin,Morning,Weekday,2016-10-31,2.3
212,120,Farm House,Morning,Weekday,2016-10-31,2.9
213,121,Coffee,Morning,Weekday,2016-10-31,2.2
214,121,Bread,Morning,Weekday,2016-10-31,1.4
215,122,Cookies,Morning,Weekday,2016-10-31,1.25
216,123,Coffee,Morning,Weekday,2016-10-31,2.2
217,123,Coffee,Morning,Weekday,2016-10-31,2.2
218,123,Juice,Morning,Weekday,2016-10-31,2.4
219,124,Coffee,Morning,Weekday,2016-10-31,2.2
220,124,Soup,Morning,Weekday,2016-10-31,2.75
221,125,Tea,Morning,Weekday,2016-10-31,1.2
222,126,Coffee,Morning,Weekday,2016-10-31,2.2
223,127,Farm House,Morning,Weekday,2016-10-31,2.9
224,128,Coffee,Morning,Weekday,2016-10-31,2.2
225,128,Tea,Morning,Weekday,2016-10-31,1.2
226,129,Coffee,Morning,Weekday,2016-10-31,2.2
227,129,Coffee,Morning,Weekday,2016-10-31,2.2
228,129,Cake,Morning,Weekday,2016-10-31,2.5
229,130,Coffee,Afternoon,Weekday,2016-10-31,2.2
230,130,Coffee,Afternoon,Weekday,2016-10-31,2.2
231,130,Muffin,Afternoon,Weekday,2016-10-31,2.3
232,131,Bread,Afternoon,Weekday,2016-10-31,1.4
233,131,Coffee,Afternoon,Weekday,2016-10-31,2.2
234,132,Tea,Afternoon,Weekday,2016-10-31,1.2
235,132,Juice,Afternoon,Weekday,2016-10-31,2.4
236,132,Cookies,Afternoon,Weekday,2016-10-31,1.25
237,133,Soup,Afternoon,Weekday,2016-10-31,2.75
238,134,Tea,Afternoon,Weekday,2016-10-31,1.2
239,134,Farm House,Afternoon,Weekday,2016-10-31,2.9
240,135,Bread,Afternoon,Weekday,2016-10-31,1.4
241,136,Tea,Afternoon,Weekday,2016-10-31,1.2
242,136,Soup,Afternoon,Weekday,2016-10-31,2.75
243,137,Farm House,Afternoon,Weekday,2016-10-31,2.9
244,138,Soup,Afternoon,Weekday,2016-10-31,2.75
245,138,Coffee,Afternoon,Weekday,2016-10-31,2.2
246,139,Bread,Afternoon,Weekday,2016-10-31,1.4
247,139,Muffin,Afternoon,Weekday,2016-10-31,2.3
248,140,Coffee,Afternoon,Weekday,2016-10-31,2.2
249,140,Coffee,Afternoon,Weekday,2016-10-31,2.2
250,140,Cookies,Afternoon,Weekday,2016-10-31,1.25
251,141,Bread,Afternoon,Weekday,2016-10-31,1.4
252,142,Tea,Afternoon,Weekday,2016-10-31,1.2
253,142,Muffin,Afternoon,Weekday,2016-10-31,2.3
254,143,Tea,Afternoon,Weekday,2016-10-31,1.2
255,144,Soup,Afternoon,Weekday,2016-10-31,2.75
256,145,Coffee,Afternoon,Weekday,2016-10-31,2.2
257,145,Tea,Afternoon,Weekday,2016-10-31,1.2
258,146,Sandwich,Afternoon,Weekday,2016-10-31,3.8
259,147,Coffee,Afternoon,Weekday,2016-10-31,2.2
260,148,Coffee,Afternoon,Weekday,2016-10-31,2.2
261,148,Coffee,Afternoon,Weekday,2016-10-31,2.2
262,149,Coffee,Afternoon,Weekday,2016-10-31,2.2
263,150,Bread,Afternoon,Weekday,2016-10-31,1.4
264,151,Coke,Afternoon,Weekday,2016-10-31,1.1
265,151,Soup,Afternoon,Weekday,2016-10-31,2.75
266,152,Muffin,Afternoon,Weekday,2016-10-31,2.3
267,153,Tea,Afternoon,Weekday,2016-10-31,1.2
268,153,Coffee,Afternoon,Weekday,2016-10-31,2.2
269,153,Cookies,Afternoon,Weekday,2016-10-31,1.25
270,153,Muffin,Afternoon,Weekday,2016-10-31,2.3
271,154,Coffee,Afternoon,Weekday,2016-10-31,2.2
272,154,Coke,Afternoon,Weekday,2016-10-31,1.1
273,155,Tea,Afternoon,Weekday,2016-10-31,1.2
274,155,Muffin,Afternoon,Weekday,2016-10-31,2.3
275,155,Sandwich,Afternoon,Weekday,2016-10-31,3.8
276,156,Coffee,Afternoon,Weekday,2016-10-31,2.2
277,156,Muffin,Afternoon,Weekday,2016-10-31,2.3
278,157,Coffee,Afternoon,Weekday,2016-10-31,2.2
279,157,Bread,Afternoon,Weekday,2016-10-31,1.4
280,158,Coffee,Afternoon,Weekday,2016-10-31,2.2
281,158,Muffin,Afternoon,Weekday,2016-10-31,2.3
282,159,Bread,Afternoon,Weekday,2016-10-31,1.4
283,159,Hot chocolate,Afternoon,Weekday,2016-10-31,1.9
284,159,Cookies,Afternoon,Weekday,2016-10-31,1.25
285,160,Muffin,Afternoon,Weekday,2016-10-31,2.3
286,161,Tea,Afternoon,Weekday,2016-10-31,1.2
287,162,Muffin,Afternoon,Weekday,2016-10-31,2.3
288,163,Coffee,Afternoon,Weekday,2016-10-31,2.2
289,163,Juice,Afternoon,Weekday,2016-10-31,2.4
290,164,Coffee,Afternoon,Weekday,2016-10-31,2.2
291,164,Muffin,Afternoon,Weekday,2016-10-31,2.3
292,165,Tea,Afternoon,Weekday,2016-10-31,1.2
293,166,Coffee,Afternoon,Weekday,2016-10-31,2.2
294,166,Muffin,Afternoon,Weekday,2016-10-31,2.3
295,167,Sandwich,Afternoon,Weekday,2016-10-31,3.8
296,167,Bread,Afternoon,Weekday,2016-10-31,1.4
297,168,Tea,Afternoon,Weekday,2016-10-31,1.2
298,168,Coffee,Afternoon,Weekday,2016-10-31,2.2
299,170,Coffee,Afternoon,Weekday,2016-10-31,2.2
300,171,Soup,Afternoon,Weekday,2016-10-31,2.75
301,171,Tea,Afternoon,Weekday,2016-10-31,1.2
302,172,Bread,Evening,Weekday,2016-10-31,1.4
303,172,Coffee,Evening,Weekday,2016-10-31,2.2
304,173,Bread,Evening,Weekday,2016-10-31,1.4
305,173,Muffin,Evening,Weekday,2016-10-31,2.3
306,174,Coffee,Evening,Weekday,2016-10-31,2.2
307,175,Bread,Evening,Weekday,2016-10-31,1.4
308,176,Cookies,Evening,Weekday,2016-10-31,1.25
309,176,Coffee,Evening,Weekday,2016-10-31,2.2
310,178,Coffee,Morning,Weekday,2016-01-11,2.2
311,178,Pastry,Morning,Weekday,2016-01-11,2.2
312,179,Coffee,Morning,Weekday,2016-01-11,2.2
313,179,Pastry,Morning,Weekday,2016-01-11,2.2
314,180,Tea,Morning,Weekday,2016-01-11,1.2
315,181,Tea,Morning,Weekday,2016-01-11,1.2
316,181,Tea,Morning,Weekday,2016-01-11,1.2
317,182,Pastry,Morning,Weekday,2016-01-11,2.2
318,182,Pastry,Morning,Weekday,2016-01-11,2.2
319,183,Pastry,Morning,Weekday,2016-01-11,2.2
320,184,Farm House,Morning,Weekday,2016-01-11,2.9
321,184,Tea,Morning,Weekday,2016-01-11,1.2
322,185,Tea,Morning,Weekday,2016-01-11,1.2
323,186,Tea,Morning,Weekday,2016-01-11,1.2
324,186,Pastry,Morning,Weekday,2016-01-11,2.2
325,187,Bread,Morning,Weekday,2016-01-11,1.4
326,188,Coffee,Morning,Weekday,2016-01-11,2.2
327,189,Bread,Morning,Weekday,2016-01-11,1.4
328,189,Coffee,Morning,Weekday,2016-01-11,2.2
329,190,Coffee,Morning,Weekday,2016-01-11,2.2
330,190,Pastry,Morning,Weekday,2016-01-11,2.2
331,190,Pastry,Morning,Weekday,2016-01-11,2.2
332,191,Soup,Morning,Weekday,2016-01-11,2.75
333,191,Tea,Morning,Weekday,2016-01-11,1.2
334,192,Bread,Morning,Weekday,2016-01-11,1.4
335,193,Coffee,Morning,Weekday,2016-01-11,2.2
336,194,Bread,Morning,Weekday,2016-01-11,1.4
337,194,Bread,Morning,Weekday,2016-01-11,1.4
338,195,Bread,Morning,Weekday,2016-01-11,1.4
340,196,Bread,Morning,Weekday,2016-01-11,1.4
341,196,Cake,Morning,Weekday,2016-01-11,2.5
342,196,Cookies,Morning,Weekday,2016-01-11,1.25
343,197,Coffee,Morning,Weekday,2016-01-11,2.2
344,197,Coffee,Morning,Weekday,2016-01-11,2.2
345,197,Tea,Morning,Weekday,2016-01-11,1.2
346,198,Coffee,Morning,Weekday,2016-01-11,2.2
347,198,Cookies,Morning,Weekday,2016-01-11,1.25
348,199,Coffee,Morning,Weekday,2016-01-11,2.2
349,200,Bread,Morning,Weekday,2016-01-11,1.4
350,201,Coffee,Morning,Weekday,2016-01-11,2.2
351,201,Pastry,Morning,Weekday,2016-01-11,2.2
352,202,Coffee,Morning,Weekday,2016-01-11,2.2
353,202,Coffee,Morning,Weekday,2016-01-11,2.2
354,203,Coffee,Morning,Weekday,2016-01-11,2.2
356,204,Bread,Morning,Weekday,2016-01-11,1.4
357,205,Coffee,Morning,Weekday,2016-01-11,2.2
358,205,Coffee,Morning,Weekday,2016-01-11,2.2
359,205,Pastry,Morning,Weekday,2016-01-11,2.2
361,206,Coffee,Morning,Weekday,2016-01-11,2.2
362,206,Pastry,Morning,Weekday,2016-01-11,2.2
363,207,Coffee,Afternoon,Weekday,2016-01-11,2.2
364,207,Muffin,Afternoon,Weekday,2016-01-11,2.3
365,208,Bread,Afternoon,Weekday,2016-01-11,1.4
366,209,Coffee,Afternoon,Weekday,2016-01-11,2.2
368,211,Soup,Afternoon,Weekday,2016-01-11,2.75
369,211,Coffee,Afternoon,Weekday,2016-01-11,2.2
370,212,Coffee,Afternoon,Weekday,2016-01-11,2.2
371,212,Cookies,Afternoon,Weekday,2016-01-11,1.25
372,213,Bread,Afternoon,Weekday,2016-01-11,1.4
373,214,Bread,Afternoon,Weekday,2016-01-11,1.4
374,214,Tea,Afternoon,Weekday,2016-01-11,1.2
375,214,Tea,Afternoon,Weekday,2016-01-11,1.2
376,215,Pastry,Afternoon,Weekday,2016-01-11,2.2
377,215,Coffee,Afternoon,Weekday,2016-01-11,2.2
378,216,Coffee,Afternoon,Weekday,2016-01-11,2.2
379,217,Bread,Afternoon,Weekday,2016-01-11,1.4
380,217,Cookies,Afternoon,Weekday,2016-01-11,1.25
381,218,Sandwich,Afternoon,Weekday,2016-01-11,3.8
382,220,Bread,Afternoon,Weekday,2016-01-11,1.4
383,220,Pastry,Afternoon,Weekday,2016-01-11,2.2
384,221,Bread,Afternoon,Weekday,2016-01-11,1.4
388,223,Coffee,Afternoon,Weekday,2016-01-11,2.2
389,224,Coffee,Afternoon,Weekday,2016-01-11,2.2
390,225,Coffee,Afternoon,Weekday,2016-01-11,2.2
391,225,Coke,Afternoon,Weekday,2016-01-11,1.1
392,225,Soup,Afternoon,Weekday,2016-01-11,2.75
393,226,Cake,Afternoon,Weekday,2016-01-11,2.5
394,227,Tea,Afternoon,Weekday,2016-01-11,1.2
395,227,Sandwich,Afternoon,Weekday,2016-01-11,3.8
396,227,Soup,Afternoon,Weekday,2016-01-11,2.75
397,228,Coffee,Afternoon,Weekday,2016-01-11,2.2
398,229,Bread,Afternoon,Weekday,2016-01-11,1.4
400,231,Cake,Afternoon,Weekday,2016-01-11,2.5
401,232,Tea,Afternoon,Weekday,2016-01-11,1.2
402,232,Tea,Afternoon,Weekday,2016-01-11,1.2
403,232,Bread,Afternoon,Weekday,2016-01-11,1.4
404,233,Coffee,Afternoon,Weekday,2016-01-11,2.2
405,233,Tea,Afternoon,Weekday,2016-01-11,1.2
406,233,Bread,Afternoon,Weekday,2016-01-11,1.4
407,233,Soup,Afternoon,Weekday,2016-01-11,2.75
408,234,Coffee,Afternoon,Weekday,2016-01-11,2.2
409,234,Coffee,Afternoon,Weekday,2016-01-11,2.2
411,237,Coffee,Afternoon,Weekday,2016-01-11,2.2
412,237,Sandwich,Afternoon,Weekday,2016-01-11,3.8
413,238,Tea,Afternoon,Weekday,2016-01-11,1.2
414,238,Bread,Afternoon,Weekday,2016-01-11,1.4
415,238,Cookies,Afternoon,Weekday,2016-01-11,1.25
416,238,Pastry,Afternoon,Weekday,2016-01-11,2.2
417,239,Muffin,Afternoon,Weekday,2016-01-11,2.3
419,241,Tea,Afternoon,Weekday,2016-01-11,1.2
420,242,Juice,Afternoon,Weekday,2016-01-11,2.4
421,242,Tea,Afternoon,Weekday,2016-01-11,1.2
423,243,Cake,Afternoon,Weekday,2016-01-11,2.5
424,243,Muffin,Afternoon,Weekday,2016-01-11,2.3
425,243,Coffee,Afternoon,Weekday,2016-01-11,2.2
426,243,Soup,Afternoon,Weekday,2016-01-11,2.75
427,244,Hot chocolate,Afternoon,Weekday,2016-01-11,1.9
428,244,Cake,Afternoon,Weekday,2016-01-11,2.5
429,244,Coffee,Afternoon,Weekday,2016-01-11,2.2
430,245,Cake,Afternoon,Weekday,2016-01-11,2.5
431,245,Cookies,Afternoon,Weekday,2016-01-11,1.25
432,246,Tea,Afternoon,Weekday,2016-01-11,1.2
433,246,Bread,Afternoon,Weekday,2016-01-11,1.4
435,247,Coffee,Afternoon,Weekday,2016-01-11,2.2
436,247,Coffee,Afternoon,Weekday,2016-01-11,2.2
437,247,Coffee,Afternoon,Weekday,2016-01-11,2.2
438,247,Juice,Afternoon,Weekday,2016-01-11,2.4
439,248,Coffee,Afternoon,Weekday,2016-01-11,2.2
440,248,Tea,Afternoon,Weekday,2016-01-11,1.2
441,248,Soup,Afternoon,Weekday,2016-01-11,2.75
442,249,Hot chocolate,Afternoon,Weekday,2016-01-11,1.9
443,250,Cookies,Afternoon,Weekday,2016-01-11,1.25
444,251,Coffee,Afternoon,Weekday,2016-01-11,2.2
445,251,Croissant,Afternoon,Weekday,2016-01-11,1.6
446,252,Bread,Afternoon,Weekday,2016-01-11,1.4
448,254,Croissant,Evening,Weekday,2016-01-11,1.6
449,255,Coffee,Morning,Weekday,2016-02-11,2.2
450,255,Coffee,Morning,Weekday,2016-02-11,2.2
451,255,Pastry,Morning,Weekday,2016-02-11,2.2
452,256,Coffee,Morning,Weekday,2016-02-11,2.2
453,256,Bread,Morning,Weekday,2016-02-11,1.4
454,257,Bread,Morning,Weekday,2016-02-11,1.4
455,257,Coffee,Morning,Weekday,2016-02-11,2.2
456,257,Pastry,Morning,Weekday,2016-02-11,2.2
457,258,Coffee,Morning,Weekday,2016-02-11,2.2
458,258,Pastry,Morning,Weekday,2016-02-11,2.2
459,259,Pastry,Morning,Weekday,2016-02-11,2.2
460,260,Coffee,Morning,Weekday,2016-02-11,2.2
461,261,Coffee,Morning,Weekday,2016-02-11,2.2
462,262,Coffee,Morning,Weekday,2016-02-11,2.2
463,262,Hot chocolate,Morning,Weekday,2016-02-11,1.9
464,262,Pastry,Morning,Weekday,2016-02-11,2.2
465,263,Coke,Morning,Weekday,2016-02-11,1.1
466,264,Coffee,Morning,Weekday,2016-02-11,2.2
467,265,Tea,Morning,Weekday,2016-02-11,1.2
468,266,Bread,Morning,Weekday,2016-02-11,1.4
469,266,Pastry,Morning,Weekday,2016-02-11,2.2
470,267,Coffee,Morning,Weekday,2016-02-11,2.2
472,267,Farm House,Morning,Weekday,2016-02-11,2.9
473,268,Tea,Morning,Weekday,2016-02-11,1.2
474,268,Pastry,Morning,Weekday,2016-02-11,2.2
475,269,Bread,Morning,Weekday,2016-02-11,1.4
476,270,Coffee,Morning,Weekday,2016-02-11,2.2
477,271,Coffee,Morning,Weekday,2016-02-11,2.2
478,271,Tea,Morning,Weekday,2016-02-11,1.2
479,271,Coffee,Morning,Weekday,2016-02-11,2.2
480,271,Pastry,Morning,Weekday,2016-02-11,2.2
481,272,Farm House,Morning,Weekday,2016-02-11,2.9
482,274,Coffee,Morning,Weekday,2016-02-11,2.2
483,274,Bread,Morning,Weekday,2016-02-11,1.4
484,274,Pastry,Morning,Weekday,2016-02-11,2.2
485,275,Farm House,Morning,Weekday,2016-02-11,2.9
486,276,Coffee,Morning,Weekday,2016-02-11,2.2
487,276,Coffee,Morning,Weekday,2016-02-11,2.2
488,276,Pastry,Morning,Weekday,2016-02-11,2.2
489,277,Farm House,Morning,Weekday,2016-02-11,2.9
490,278,Coffee,Morning,Weekday,2016-02-11,2.2
491,278,Pastry,Morning,Weekday,2016-02-11,2.2
492,279,Coffee,Morning,Weekday,2016-02-11,2.2
493,280,Coffee,Morning,Weekday,2016-02-11,2.2
494,280,Pastry,Morning,Weekday,2016-02-11,2.2
495,281,Bread,Morning,Weekday,2016-02-11,1.4
496,281,Bread,Morning,Weekday,2016-02-11,1.4
497,282,Bread,Morning,Weekday,2016-02-11,1.4
498,282,Coffee,Morning,Weekday,2016-02-11,2.2
499,282,Pastry,Morning,Weekday,2016-02-11,2.2
500,283,Pastry,Morning,Weekday,2016-02-11,2.2
501,283,Coffee,Morning,Weekday,2016-02-11,2.2
