,rooms,type,price,date,distance,bedrooms,bathrooms,car,land_area,building_area,year_built,council_area,region
77,4,h,900000.0,27/11/2016,13.5,4.0,2.0,3.0,628.0,146.0,1975.0,Moonee Valley,Western
78,2,h,1275000.0,3/09/2016,3.3,2.0,1.0,0.0,120.0,82.0,1900.0,Port Phillip,Southern
79,2,h,1455000.0,3/09/2016,3.3,2.0,1.0,0.0,159.0,,,Port Phillip,Southern
80,3,h,2850000.0,4/03/2017,3.3,3.0,2.0,0.0,211.0,198.0,1890.0,Port Phillip,Southern
81,3,h,1850000.0,4/03/2017,3.3,3.0,2.0,0.0,128.0,133.0,1890.0,Port Phillip,Southern
82,2,h,1436000.0,4/03/2017,3.3,2.0,1.0,0.0,130.0,81.0,1900.0,Port Phillip,Southern
83,2,h,1110000.0,6/08/2016,3.3,1.0,1.0,0.0,147.0,,1900.0,Port Phillip,Southern
84,2,h,1550000.0,7/05/2016,3.3,2.0,1.0,1.0,167.0,,,Port Phillip,Southern
85,4,h,2300000.0,7/05/2016,3.3,4.0,2.0,1.0,153.0,180.0,1880.0,Port Phillip,Southern
86,3,t,1550000.0,7/11/2016,3.3,3.0,2.0,2.0,718.0,,,Port Phillip,Southern
87,3,h,1800000.0,7/11/2016,3.3,3.0,2.0,1.0,132.0,159.0,1996.0,Port Phillip,Southern
88,2,h,2120000.0,10/09/2016,3.3,2.0,1.0,1.0,199.0,107.0,1900.0,Port Phillip,Southern
89,3,h,1800000.0,10/09/2016,3.3,3.0,1.0,1.0,253.0,,,Port Phillip,Southern
90,3,h,1800000.0,10/09/2016,3.3,3.0,2.0,1.0,90.0,122.0,1900.0,Port Phillip,Southern
91,2,h,1810000.0,10/12/2016,3.3,2.0,1.0,0.0,240.0,,,Port Phillip,Southern
92,3,h,2615000.0,10/12/2016,3.3,3.0,2.0,1.0,177.0,181.0,1880.0,Port Phillip,Southern
93,5,h,2100000.0,10/12/2016,3.3,5.0,2.0,1.0,237.0,,,Port Phillip,Southern
94,3,h,1300000.0,10/12/2016,3.3,3.0,1.0,0.0,129.0,,,Port Phillip,Southern
95,3,h,1370000.0,12/06/2016,3.3,3.0,2.0,2.0,0.0,85.0,2000.0,Port Phillip,Southern
96,2,h,1000000.0,12/11/2016,3.3,2.0,1.0,0.0,288.0,,,Port Phillip,Southern
97,3,h,2575000.0,15/10/2016,3.3,3.0,2.0,1.0,228.0,,,Port Phillip,Southern
98,2,h,1322500.0,15/10/2016,3.3,2.0,1.0,0.0,149.0,98.0,1890.0,Port Phillip,Southern
99,2,h,1562500.0,15/10/2016,3.3,2.0,1.0,0.0,141.0,83.0,1890.0,Port Phillip,Southern
100,3,h,2000000.0,16/04/2016,3.3,3.0,2.0,1.0,211.0,147.0,1900.0,Port Phillip,Southern
101,3,h,1900000.0,18/03/2017,3.3,3.0,1.0,0.0,209.0,,1900.0,Port Phillip,Southern
102,3,h,3010000.0,18/03/2017,3.3,3.0,2.0,0.0,147.0,146.0,1890.0,Port Phillip,Southern
103,4,h,2800000.0,18/06/2016,3.3,4.0,3.0,1.0,327.0,254.0,1910.0,Port Phillip,Southern
104,2,u,647000.0,22/05/2016,3.3,2.0,1.0,1.0,0.0,,,Port Phillip,Southern
105,3,h,2100000.0,23/04/2016,3.3,2.0,1.0,1.0,120.0,123.0,1900.0,Port Phillip,Southern
106,3,h,2000000.0,24/09/2016,3.3,3.0,1.0,1.0,238.0,131.0,1890.0,Port Phillip,Southern
107,1,u,442500.0,25/02/2017,3.3,1.0,1.0,0.0,0.0,34.0,1970.0,Port Phillip,Southern
108,4,h,4735000.0,25/02/2017,3.3,4.0,2.0,1.0,330.0,207.0,1910.0,Port Phillip,Southern
109,2,h,1340000.0,25/02/2017,3.3,2.0,1.0,0.0,136.0,,,Port Phillip,Southern
110,3,h,1801000.0,25/02/2017,3.3,3.0,1.0,1.0,202.0,,,Port Phillip,Southern
111,3,h,1532000.0,26/07/2016,3.3,3.0,3.0,1.0,0.0,,,Port Phillip,Southern
112,3,h,3755000.0,26/07/2016,3.3,3.0,2.0,2.0,325.0,,,Port Phillip,Southern
113,4,h,2140000.0,27/06/2016,3.3,3.0,2.0,1.0,183.0,145.0,1880.0,Port Phillip,Southern
114,2,h,1750000.0,27/11/2016,3.3,2.0,1.0,1.0,162.0,,,Port Phillip,Southern
115,2,h,980000.0,28/05/2016,3.3,2.0,1.0,0.0,79.0,68.0,1890.0,Port Phillip,Southern
116,3,h,2030000.0,28/08/2016,3.3,3.0,2.0,0.0,152.0,,,Port Phillip,Southern
117,3,h,1740000.0,28/08/2016,3.3,3.0,2.0,2.0,147.0,134.0,1890.0,Port Phillip,Southern
118,3,h,2800000.0,30/07/2016,3.3,3.0,3.0,1.0,0.0,,,Port Phillip,Southern
119,1,h,985000.0,30/07/2016,3.3,1.0,1.0,0.0,81.0,54.0,1900.0,Port Phillip,Southern
120,4,h,2000000.0,3/09/2016,6.4,3.0,2.0,4.0,853.0,263.0,1930.0,Darebin,Northern
121,3,h,1110000.0,3/09/2016,6.4,3.0,2.0,2.0,208.0,,2013.0,Yarra,Northern
122,3,h,1492000.0,4/03/2017,6.4,3.0,2.0,2.0,411.0,,,Darebin,Northern
123,4,h,1717500.0,8/10/2016,6.4,4.0,2.0,1.0,599.0,203.0,1925.0,Darebin,Northern
124,5,h,2840000.0,12/06/2016,6.4,5.0,4.0,4.0,809.0,165.0,1910.0,Darebin,Northern
125,2,u,525500.0,12/11/2016,6.4,2.0,1.0,1.0,88.0,60.0,1960.0,Darebin,Northern
126,2,t,805000.0,12/11/2016,6.4,2.0,2.0,3.0,155.0,140.0,2004.0,Darebin,Northern
127,2,u,465000.0,12/11/2016,6.4,2.0,1.0,1.0,0.0,,,Darebin,Northern
128,3,h,2000000.0,15/10/2016,6.4,3.0,3.0,2.0,686.0,,,Darebin,Northern
129,3,h,1540000.0,16/04/2016,6.4,3.0,1.0,2.0,592.0,,,Darebin,Northern
130,2,u,820000.0,18/03/2017,6.4,2.0,1.0,1.0,183.0,,,Darebin,Northern
131,4,h,1830000.0,19/11/2016,6.4,4.0,2.0,2.0,606.0,112.0,1970.0,Darebin,Northern
132,4,h,2100000.0,19/11/2016,6.4,4.0,2.0,2.0,575.0,271.0,2008.0,Darebin,Northern
133,3,h,865000.0,22/05/2016,6.4,3.0,1.0,1.0,180.0,131.0,2010.0,Darebin,Northern
134,2,u,390000.0,22/05/2016,6.4,2.0,1.0,1.0,0.0,60.0,1960.0,Darebin,Northern
135,2,t,650000.0,24/09/2016,6.4,0.0,1.0,0.0,0.0,,,Yarra,Northern
136,2,u,512000.0,25/02/2017,6.4,2.0,1.0,1.0,0.0,61.0,1965.0,Darebin,Northern
137,3,h,1165000.0,27/06/2016,6.4,3.0,1.0,2.0,979.0,,,Yarra,Northern
138,4,h,1900000.0,27/11/2016,6.4,4.0,2.0,2.0,556.0,272.0,1930.0,Yarra,Northern
139,3,h,1485000.0,28/08/2016,6.4,3.0,0.0,0.0,597.0,,,Darebin,Northern
140,4,h,1950000.0,30/07/2016,6.4,4.0,2.0,3.0,589.0,210.0,1920.0,Darebin,Northern
141,3,h,520000.0,3/09/2016,13.8,3.0,2.0,1.0,352.0,242.0,2015.0,Hobsons Bay,Western
142,5,h,1525000.0,3/12/2016,13.8,5.0,3.0,3.0,729.0,268.0,2005.0,Hobsons Bay,Western
143,2,t,720000.0,4/02/2016,13.8,2.0,1.0,2.0,292.0,125.0,2013.0,Hobsons Bay,Western
144,3,h,1120000.0,4/03/2017,13.8,3.0,1.0,2.0,506.0,120.0,1930.0,Hobsons Bay,Western
145,4,h,780000.0,4/06/2016,13.8,4.0,1.0,4.0,655.0,,,Hobsons Bay,Western
146,4,h,1780000.0,4/06/2016,13.8,4.0,3.0,6.0,1057.0,220.0,1962.0,Hobsons Bay,Western
147,3,u,630000.0,6/08/2016,13.8,2.0,1.0,2.0,311.0,94.0,1955.0,Hobsons Bay,Western
148,2,u,406000.0,6/08/2016,13.8,2.0,1.0,1.0,65.0,,,Hobsons Bay,Western
149,3,h,660000.0,7/05/2016,13.8,3.0,1.0,1.0,602.0,123.0,1955.0,Hobsons Bay,Western
150,3,h,683500.0,7/11/2016,13.8,3.0,1.0,1.0,530.0,,,Hobsons Bay,Western
151,2,u,580000.0,8/10/2016,13.8,2.0,1.0,1.0,225.0,93.0,1988.0,Hobsons Bay,Western
152,3,h,1335000.0,8/10/2016,13.8,3.0,1.0,4.0,777.0,22.0,1953.0,Hobsons Bay,Western
153,3,t,800000.0,8/10/2016,13.8,3.0,2.0,2.0,280.0,,1997.0,Hobsons Bay,Western
154,2,u,510000.0,10/09/2016,13.8,2.0,1.0,1.0,127.0,76.0,1990.0,Hobsons Bay,Western
155,4,h,1070000.0,10/09/2016,13.8,4.0,2.0,2.0,695.0,,,Hobsons Bay,Western
156,2,u,425000.0,10/09/2016,13.8,2.0,1.0,2.0,115.0,57.0,1980.0,Hobsons Bay,Western
157,3,u,605000.0,10/12/2016,13.8,3.0,2.0,2.0,230.0,,,Hobsons Bay,Western
158,3,t,705000.0,11/02/2017,13.8,3.0,2.0,2.0,197.0,152.0,,Hobsons Bay,Western
159,2,u,391000.0,11/02/2017,13.8,2.0,1.0,1.0,0.0,65.0,1965.0,Hobsons Bay,Western
160,2,u,440000.0,11/02/2017,13.8,2.0,1.0,1.0,0.0,,,Hobsons Bay,Western
161,4,h,845000.0,11/02/2017,13.8,4.0,1.0,2.0,745.0,130.0,1950.0,Hobsons Bay,Western
162,3,t,743000.0,12/11/2016,13.8,3.0,2.0,2.0,211.0,176.0,,Hobsons Bay,Western
163,3,u,730000.0,13/08/2016,13.8,3.0,2.0,1.0,69.0,141.0,2014.0,Hobsons Bay,Western
164,3,h,635000.0,14/05/2016,13.8,3.0,1.0,4.0,625.0,,1960.0,Hobsons Bay,Western
165,2,u,620000.0,14/05/2016,13.8,2.0,1.0,1.0,168.0,,,Hobsons Bay,Western
166,2,u,447000.0,15/10/2016,13.8,2.0,1.0,1.0,137.0,77.0,1990.0,Hobsons Bay,Western
167,3,u,730000.0,16/04/2016,13.8,3.0,2.0,1.0,70.0,,,Hobsons Bay,Western
168,3,h,678000.0,16/04/2016,13.8,3.0,1.0,2.0,606.0,87.0,1950.0,Hobsons Bay,Western
169,2,u,580000.0,16/07/2016,13.8,2.0,2.0,1.0,175.0,76.0,2013.0,Hobsons Bay,Western
170,3,h,712000.0,17/09/2016,13.8,3.0,1.0,2.0,363.0,,,Hobsons Bay,Western
171,3,h,840000.0,18/03/2017,13.8,3.0,2.0,2.0,534.0,136.0,1965.0,Hobsons Bay,Western
172,3,h,980000.0,19/11/2016,13.8,3.0,1.0,2.0,724.0,,,Hobsons Bay,Western
173,3,t,605100.0,22/05/2016,13.8,3.0,2.0,0.0,265.0,,,Hobsons Bay,Western
174,3,h,880000.0,22/08/2016,13.8,3.0,3.0,1.0,577.0,,,Hobsons Bay,Western
175,3,u,577000.0,23/04/2016,13.8,3.0,2.0,1.0,205.0,113.0,2007.0,Hobsons Bay,Western
176,4,h,1030000.0,25/02/2017,13.8,4.0,1.0,0.0,797.0,,,Hobsons Bay,Western
177,3,u,605000.0,25/02/2017,13.8,3.0,1.0,2.0,181.0,,,Hobsons Bay,Western
178,3,h,753000.0,27/06/2016,13.8,3.0,2.0,2.0,529.0,,,Hobsons Bay,Western
179,2,h,857000.0,27/11/2016,13.8,2.0,2.0,1.0,675.0,100.0,1950.0,Hobsons Bay,Western
180,3,h,1500000.0,28/05/2016,13.8,3.0,1.0,1.0,929.0,,,Hobsons Bay,Western
181,3,u,730000.0,28/05/2016,13.8,3.0,2.0,1.0,70.0,3.0,2014.0,Hobsons Bay,Western
182,3,h,900000.0,28/05/2016,13.8,3.0,1.0,4.0,697.0,,,Hobsons Bay,Western
183,3,h,740000.0,28/08/2016,13.8,3.0,1.0,2.0,604.0,,,Hobsons Bay,Western
184,4,h,931000.0,28/08/2016,13.8,4.0,2.0,3.0,532.0,,1970.0,Hobsons Bay,Western
185,2,h,535600.0,30/07/2016,13.8,2.0,1.0,1.0,154.0,91.0,1996.0,Hobsons Bay,Western
186,5,h,1085000.0,3/09/2016,11.1,5.0,3.0,6.0,592.0,251.0,1965.0,Hobsons Bay,Western
187,3,h,781000.0,3/09/2016,11.1,3.0,1.0,2.0,533.0,117.0,1970.0,Hobsons Bay,Western
188,3,h,750000.0,4/03/2017,11.1,3.0,1.0,3.0,554.0,,,Hobsons Bay,Western
189,2,t,421000.0,4/03/2017,11.1,2.0,1.0,1.0,77.0,77.0,2009.0,Hobsons Bay,Western
190,3,h,1405000.0,4/03/2017,11.1,3.0,1.0,3.0,655.0,,,Hobsons Bay,Western
191,3,h,683000.0,4/06/2016,11.1,3.0,1.0,2.0,534.0,167.0,1967.0,Hobsons Bay,Western
192,3,h,623000.0,4/06/2016,11.1,3.0,1.0,3.0,540.0,,,Hobsons Bay,Western
193,3,h,720000.0,6/08/2016,11.1,3.0,2.0,1.0,0.0,130.0,2012.0,Hobsons Bay,Western
194,3,h,588000.0,7/05/2016,11.1,3.0,1.0,1.0,328.0,118.0,1970.0,Hobsons Bay,Western
195,3,h,710000.0,7/11/2016,11.1,3.0,1.0,3.0,540.0,116.0,1960.0,Hobsons Bay,Western
196,4,h,875000.0,8/10/2016,11.1,3.0,1.0,4.0,559.0,169.0,1965.0,Hobsons Bay,Western
197,3,h,700000.0,10/12/2016,11.1,3.0,1.0,3.0,554.0,,,Hobsons Bay,Western
198,2,t,640000.0,11/03/2017,11.1,2.0,1.0,1.0,252.0,,1965.0,Hobsons Bay,Western
199,4,h,650000.0,12/06/2016,11.1,4.0,1.0,4.0,558.0,,,Hobsons Bay,Western
200,3,h,675000.0,14/05/2016,11.1,3.0,2.0,2.0,171.0,109.0,2012.0,Hobsons Bay,Western
201,3,h,708000.0,15/10/2016,11.1,3.0,1.0,2.0,585.0,97.0,1960.0,Hobsons Bay,Western
202,4,h,965000.0,15/10/2016,11.1,4.0,1.0,4.0,851.0,,,Hobsons Bay,Western
203,3,h,680000.0,19/11/2016,11.1,3.0,1.0,3.0,551.0,,,Hobsons Bay,Western
204,3,h,770000.0,19/11/2016,11.1,3.0,1.0,3.0,602.0,603.0,,Hobsons Bay,Western
205,3,h,923000.0,22/05/2016,11.1,3.0,1.0,2.0,740.0,,,Hobsons Bay,Western
206,4,h,693000.0,22/05/2016,11.1,4.0,2.0,4.0,315.0,170.0,2008.0,Hobsons Bay,Western
207,3,h,620000.0,22/08/2016,11.1,5.0,2.0,2.0,276.0,100.0,2010.0,Hobsons Bay,Western
208,3,h,728500.0,22/08/2016,11.1,3.0,1.0,1.0,531.0,157.0,1960.0,Hobsons Bay,Western
209,3,h,931000.0,22/08/2016,11.1,3.0,2.0,1.0,590.0,160.0,1950.0,Hobsons Bay,Western
210,3,h,988000.0,22/08/2016,11.1,3.0,1.0,4.0,715.0,,2008.0,Hobsons Bay,Western
211,3,h,590000.0,23/04/2016,11.1,3.0,1.0,2.0,561.0,,,Hobsons Bay,Western
212,2,h,610000.0,24/09/2016,11.1,2.0,1.0,2.0,691.0,,,Hobsons Bay,Western
213,3,h,815000.0,25/02/2017,11.1,3.0,2.0,3.0,555.0,130.0,1960.0,Hobsons Bay,Western
214,4,h,970000.0,25/02/2017,11.1,4.0,1.0,2.0,708.0,,,Hobsons Bay,Western
215,4,h,760000.0,27/06/2016,11.1,4.0,1.0,3.0,668.0,,,Hobsons Bay,Western
216,4,t,847500.0,27/06/2016,11.1,4.0,3.0,1.0,252.0,,,Hobsons Bay,Western
217,4,h,1200000.0,27/11/2016,11.1,4.0,1.0,4.0,633.0,158.0,1960.0,Hobsons Bay,Western
218,3,h,700000.0,27/11/2016,11.1,3.0,1.0,1.0,557.0,,,Hobsons Bay,Western
219,3,h,625000.0,28/05/2016,11.1,3.0,1.0,1.0,536.0,,,Hobsons Bay,Western
220,2,u,292000.0,28/08/2016,11.1,2.0,1.0,1.0,153.0,70.0,1970.0,Hobsons Bay,Western
221,2,u,599000.0,3/09/2016,6.3,2.0,1.0,1.0,0.0,76.0,1964.0,Stonnington,Southern
222,2,u,550000.0,3/12/2016,6.3,2.0,1.0,0.0,861.0,,,Stonnington,Southern
223,3,u,995000.0,3/12/2016,6.3,3.0,2.0,2.0,0.0,100.0,1998.0,Stonnington,Southern
224,3,t,1205000.0,3/12/2016,6.3,3.0,2.0,2.0,101.0,105.0,2000.0,Stonnington,Southern
225,3,h,1939000.0,3/12/2016,6.3,3.0,2.0,2.0,296.0,150.0,1889.0,Stonnington,Southern
226,1,u,421500.0,3/12/2016,6.3,1.0,1.0,0.0,0.0,,,Stonnington,Southern
227,3,h,1870000.0,4/03/2017,6.3,3.0,1.0,1.0,217.0,116.0,1888.0,Stonnington,Southern
228,2,u,678000.0,4/03/2017,6.3,2.0,1.0,2.0,0.0,,,Stonnington,Southern
229,3,t,1918000.0,4/03/2017,6.3,3.0,2.0,2.0,0.0,165.0,1995.0,Stonnington,Southern
230,2,u,660000.0,4/03/2017,6.3,2.0,1.0,1.0,0.0,,,Stonnington,Southern
231,3,h,2050000.0,4/03/2017,6.3,3.0,2.0,1.0,205.0,116.0,1910.0,Stonnington,Southern
232,2,u,700000.0,4/06/2016,6.3,2.0,1.0,2.0,0.0,,,Stonnington,Southern
233,2,u,3625000.0,4/06/2016,6.3,3.0,2.0,2.0,0.0,,2006.0,Stonnington,Southern
234,4,h,3000000.0,4/06/2016,6.3,4.0,2.0,2.0,1581.0,,1934.0,Stonnington,Southern
235,5,h,1525000.0,7/05/2016,6.3,8.0,2.0,2.0,693.0,,,Stonnington,Southern
236,3,u,735000.0,7/05/2016,6.3,3.0,2.0,1.0,2113.0,14.0,1970.0,Stonnington,Southern
237,2,u,825000.0,7/05/2016,6.3,2.0,1.0,1.0,0.0,,,Stonnington,Southern
238,3,t,1586000.0,7/05/2016,6.3,2.0,2.0,2.0,246.0,,,Stonnington,Southern
239,2,u,645000.0,8/10/2016,6.3,3.0,1.0,1.0,0.0,,1960.0,Stonnington,Southern
240,1,h,1435000.0,8/10/2016,6.3,2.0,2.0,1.0,144.0,107.0,1900.0,Stonnington,Southern
241,1,u,280000.0,10/09/2016,6.3,1.0,1.0,1.0,0.0,38.0,1975.0,Stonnington,Southern
242,1,u,400000.0,10/12/2016,6.3,1.0,1.0,1.0,0.0,,,Stonnington,Southern
243,2,h,1780000.0,10/12/2016,6.3,2.0,2.0,2.0,0.0,,,Stonnington,Southern
244,2,u,592500.0,10/12/2016,6.3,2.0,1.0,1.0,0.0,73.0,1970.0,Stonnington,Southern
245,2,h,1210000.0,12/11/2016,6.3,2.0,1.0,0.0,249.0,96.0,1910.0,Stonnington,Southern
246,4,h,2801000.0,12/11/2016,6.3,4.0,2.0,2.0,624.0,222.0,1900.0,Stonnington,Southern
247,1,u,390000.0,14/05/2016,6.3,1.0,1.0,0.0,881.0,,,Stonnington,Southern
248,3,h,1800000.0,15/10/2016,6.3,3.0,2.0,2.0,405.0,121.0,1910.0,Stonnington,Southern
249,4,h,2200000.0,15/10/2016,6.3,4.0,1.0,2.0,495.0,163.0,1900.0,Stonnington,Southern
250,1,u,324000.0,16/04/2016,6.3,1.0,1.0,1.0,0.0,,,Stonnington,Southern
