player,position,minutes,field_goal_perc,three_point_perc,free_throw_perc,rebounds,assists,steals,blocks,points,team,conference,scorer_category
Dennis Schroder,PG,31.5,0.451,0.34,0.855,3.1,6.3,0.9,0.2,17.9,ATL,East,Average Scorer
Lou Williams,SG,24.6,0.429,0.365,0.88,2.5,3.0,1.0,0.2,17.5,HOU/LAL,West,Average Scorer
LaMarcus Aldridge,PF,32.4,0.477,0.411,0.812,7.3,1.9,0.6,1.2,17.3,SA,West,Average Scorer
Evan Fournier,SG,32.9,0.439,0.356,0.805,3.1,3.0,1.0,0.1,17.2,ORL,East,Average Scorer
Hassan Whiteside,C,32.6,0.557,,0.628,14.1,0.7,0.7,2.1,17.0,MIA,East,Average Scorer
George Hill,PG,31.5,0.477,0.403,0.8009999999999999,3.4,4.2,1.0,0.2,16.9,UTAH,West,Average Scorer
Nikola Jokic,C,27.9,0.578,0.324,0.825,9.8,4.9,0.8,0.8,16.7,DEN,West,Average Scorer
Avery Bradley,SG,33.4,0.463,0.39,0.731,6.1,2.2,1.2,0.2,16.3,BOS,East,Average Scorer
Eric Gordon,SG,31.0,0.406,0.3720000000000001,0.84,2.7,2.5,0.6,0.5,16.2,HOU,West,Average Scorer
Tobias Harris,PF,31.3,0.481,0.347,0.841,5.1,1.7,0.7,0.5,16.1,DET,East,Average Scorer
Victor Oladipo,SG,33.2,0.442,0.361,0.753,4.3,2.6,1.2,0.3,15.9,OKC,West,Average Scorer
Dion Waiters,SG,30.1,0.424,0.395,0.6459999999999999,3.3,4.3,0.9,0.4,15.8,MIA,East,Average Scorer
Wilson Chandler,SF,30.9,0.461,0.337,0.727,6.5,2.0,0.7,0.4,15.7,DEN,West,Average Scorer
D'Angelo Russell,PG,28.7,0.405,0.352,0.782,3.5,4.8,1.4,0.3,15.6,LAL,West,Average Scorer
Jrue Holiday,PG,32.7,0.454,0.356,0.708,3.9,7.3,1.5,0.7,15.4,NO,West,Average Scorer
Jeff Teague,PG,32.4,0.442,0.357,0.867,4.0,7.8,1.2,0.4,15.3,IND,East,Average Scorer
Nicolas Batum,SG,34.0,0.403,0.333,0.856,6.2,5.9,1.1,0.4,15.1,CHA,East,Average Scorer
Gary Harris,SG,31.3,0.502,0.42,0.7759999999999999,3.1,2.9,1.2,0.1,14.9,DEN,West,Average Scorer
Serge Ibaka,PF,30.7,0.48,0.391,0.856,6.8,0.9,0.5,1.6,14.8,ORL/TOR,East,Average Scorer
Jordan Clarkson,SG,29.2,0.445,0.329,0.7979999999999999,3.0,2.6,1.1,0.1,14.7,LAL,West,Average Scorer
Khris Middleton,SF,30.7,0.45,0.433,0.88,4.2,3.4,1.4,0.2,14.7,MIL,East,Average Scorer
Nikola Vucevic,C,28.8,0.468,0.307,0.669,10.4,2.8,1.0,1.0,14.6,ORL,East,Average Scorer
Reggie Jackson,PG,27.4,0.419,0.359,0.868,2.2,5.2,0.7,0.1,14.5,DET,East,Average Scorer
Jeremy Lin,PG,24.5,0.438,0.3720000000000001,0.816,3.8,5.1,1.2,0.4,14.5,BKN,East,Average Scorer
Myles Turner,C,31.4,0.511,0.348,0.809,7.3,1.3,0.9,2.1,14.5,IND,East,Average Scorer
Enes Kanter,C,21.3,0.545,0.132,0.7859999999999999,6.7,0.9,0.4,0.5,14.3,OKC,West,Average Scorer
Dirk Nowitzki,PF,26.4,0.4370000000000001,0.378,0.875,6.5,1.5,0.6,0.7,14.2,DAL,West,Average Scorer
Jordan Crawford,SG,23.3,0.482,0.389,0.769,1.8,3.0,0.6,0.1,14.1,NO,West,Average Scorer
Zach Randolph,PF,24.5,0.449,0.223,0.731,8.2,1.7,0.5,0.1,14.1,MEM,West,Average Scorer
Rudy Gobert,C,33.9,0.6609999999999999,0.0,0.653,12.8,1.2,0.6,2.6,14.0,UTAH,West,Average Scorer
Al Horford,C,32.3,0.473,0.355,0.8,6.8,5.0,0.8,1.3,14.0,BOS,East,Average Scorer
Marcus Morris,SF,32.5,0.418,0.331,0.784,4.6,2.0,0.7,0.3,14.0,DET,East,Average Scorer
Markieff Morris,PF,31.2,0.457,0.362,0.8370000000000001,6.5,1.7,1.1,0.6,14.0,WSH,East,Average Scorer
Jae Crowder,SF,32.4,0.463,0.398,0.8109999999999999,5.8,2.2,1.0,0.3,13.9,BOS,East,Average Scorer
Kentavious Caldwell-Pope,SG,33.3,0.399,0.35,0.8320000000000001,3.3,2.5,1.2,0.2,13.8,DET,East,Average Scorer
Will Barton,SG,28.4,0.443,0.37,0.753,4.3,3.4,0.8,0.5,13.7,DEN,West,Average Scorer
Bojan Bogdanovic,SF,25.7,0.445,0.3670000000000001,0.893,3.4,1.4,0.4,0.1,13.7,BKN/WSH,East,Average Scorer
Tyler Johnson,PG,29.8,0.433,0.3720000000000001,0.768,4.0,3.2,1.2,0.6,13.7,MIA,East,Average Scorer
Ryan Anderson,PF,29.4,0.418,0.403,0.86,4.6,0.9,0.4,0.2,13.6,HOU,West,Average Scorer
Andre Drummond,C,29.7,0.53,0.286,0.386,13.8,1.1,1.5,1.1,13.6,DET,East,Average Scorer
Dwight Howard,C,29.7,0.633,0.0,0.5329999999999999,12.7,1.4,0.9,1.2,13.5,ATL,East,Average Scorer
Wesley Matthews,SG,34.2,0.393,0.363,0.816,3.5,2.9,1.1,0.2,13.5,DAL,West,Average Scorer
Darren Collison,PG,30.3,0.476,0.417,0.86,2.2,4.6,1.0,0.1,13.2,SAC,West,Average Scorer
Julius Randle,PF,28.8,0.488,0.27,0.723,8.6,3.6,0.7,0.5,13.2,LAL,West,Average Scorer
Nick Young,SG,25.9,0.43,0.404,0.856,2.3,1.0,0.6,0.2,13.2,LAL,West,Average Scorer
Sean Kilpatrick,SG,25.1,0.415,0.341,0.843,4.0,2.2,0.6,0.1,13.1,BKN,East,Average Scorer
Robert Covington,SF,31.6,0.399,0.333,0.8220000000000001,6.5,1.5,1.9,1.0,12.9,PHI,East,Average Scorer
Seth Curry,PG,29.0,0.481,0.425,0.85,2.6,2.7,1.1,0.1,12.8,DAL,West,Average Scorer
James Johnson,PF,27.4,0.479,0.34,0.7070000000000001,4.9,3.6,1.0,1.1,12.8,MIA,East,Average Scorer
Elfrid Payton,PG,29.4,0.471,0.274,0.6920000000000001,4.7,6.5,1.1,0.5,12.8,ORL,East,Average Scorer
Dario Saric,PF,26.3,0.411,0.311,0.782,6.3,2.2,0.7,0.4,12.8,PHI,East,Average Scorer
Aaron Gordon,SF,28.7,0.454,0.288,0.7190000000000001,5.1,1.9,0.8,0.5,12.7,ORL,East,Average Scorer
Rodney Hood,SG,27.0,0.408,0.371,0.7829999999999999,3.4,1.6,0.6,0.2,12.7,UTAH,West,Average Scorer
DeAndre Jordan,C,31.7,0.7140000000000001,0.0,0.482,13.8,1.2,0.6,1.7,12.7,LAC,West,Average Scorer
Clint Capela,C,23.9,0.643,,0.531,8.1,1.0,0.5,1.2,12.6,HOU,West,Average Scorer
Pau Gasol,C,25.4,0.502,0.5379999999999999,0.7070000000000001,7.8,2.3,0.4,1.1,12.4,SA,West,Average Scorer
Jamal Crawford,SG,26.3,0.413,0.36,0.857,1.6,2.6,0.7,0.2,12.3,LAC,West,Average Scorer
Austin Rivers,SG,27.8,0.442,0.371,0.691,2.2,2.8,0.6,0.1,12.0,LAC,West,Average Scorer
Jonas Valanciunas,C,25.8,0.557,0.5,0.8109999999999999,9.5,0.7,0.5,0.8,12.0,TOR,East,Average Scorer
Jahlil Okafor,C,22.7,0.514,,0.6709999999999999,4.8,1.2,0.4,1.0,11.8,PHI,East,Average Scorer
Trevor Ariza,SF,34.7,0.409,0.344,0.738,5.7,2.2,1.8,0.3,11.7,HOU,West,Average Scorer
Frank Kaminsky,C,26.1,0.399,0.328,0.7559999999999999,4.5,2.2,0.6,0.5,11.7,CHA,East,Average Scorer
Greg Monroe,C,22.5,0.5329999999999999,0.0,0.741,6.6,2.3,1.1,0.5,11.7,MIL,East,Average Scorer
Steven Adams,C,29.9,0.5710000000000001,0.0,0.611,7.7,1.1,1.1,1.0,11.3,OKC,West,Average Scorer
Marvin Williams,PF,30.2,0.422,0.35,0.873,6.6,1.4,0.8,0.7,11.2,CHA,East,Average Scorer
Ricky Rubio,PG,32.9,0.402,0.306,0.8909999999999999,4.1,9.1,1.7,0.1,11.1,MIN,West,Average Scorer
Jerryd Bayless,PG,23.7,0.344,0.4,0.9,4.0,4.3,0.0,0.0,11.0,PHI,East,Average Scorer
Kent Bazemore,SF,26.9,0.409,0.346,0.708,3.2,2.4,1.2,0.7,11.0,ATL,East,Average Scorer
Brandon Knight,SG,21.1,0.398,0.324,0.857,2.2,2.4,0.5,0.1,11.0,PHX,West,Average Scorer
Emmanuel Mudiay,PG,25.6,0.377,0.315,0.784,3.2,3.9,0.7,0.2,11.0,DEN,West,Average Scorer
Terrence Ross,SF,25.1,0.4370000000000001,0.363,0.831,2.6,1.1,1.1,0.4,11.0,ORL/TOR,East,Average Scorer
Thaddeus Young,PF,30.2,0.527,0.381,0.523,6.1,1.6,1.5,0.4,11.0,IND,East,Average Scorer
J.J. Barea,PG,22.0,0.414,0.358,0.863,2.4,5.5,0.4,0.0,10.9,DAL,West,Average Scorer
Justise Winslow,SF,34.7,0.356,0.2,0.617,5.2,3.7,1.4,0.3,10.9,MIA,East,Average Scorer
Marcin Gortat,C,31.2,0.579,0.0,0.648,10.4,1.5,0.5,0.7,10.8,WSH,East,Average Scorer
Courtney Lee,SG,31.9,0.456,0.401,0.867,3.4,2.3,1.1,0.3,10.8,NY,East,Average Scorer
Allen Crabbe,SG,28.5,0.468,0.444,0.847,2.9,1.2,0.7,0.3,10.7,POR,West,Average Scorer
Alex Poythress,PF,26.2,0.463,0.316,0.8,4.8,0.8,0.5,0.3,10.7,PHI,East,Average Scorer
Buddy Hield,SG,23.0,0.426,0.391,0.8420000000000001,3.3,1.5,0.5,0.1,10.6,NO/SAC,West,Average Scorer
Nikola Mirotic,PF,24.0,0.413,0.342,0.773,5.5,1.1,0.8,0.8,10.6,CHI,East,Average Scorer
Marcus Smart,SG,30.4,0.359,0.283,0.812,3.9,4.6,1.6,0.4,10.6,BOS,East,Average Scorer
Marco Belinelli,SG,24.0,0.429,0.36,0.893,2.4,2.0,0.6,0.1,10.5,CHA,East,Average Scorer
Wayne Ellington,SG,24.2,0.416,0.378,0.86,2.1,1.1,0.6,0.1,10.5,MIA,East,Average Scorer
Robin Lopez,C,28.0,0.493,0.0,0.721,6.4,1.0,0.2,1.4,10.4,CHI,East,Average Scorer
Mason Plumlee,C,26.5,0.536,0.0,0.58,7.5,3.5,0.9,1.1,10.4,DEN/POR,West,Average Scorer
Tyreke Evans,SF,19.7,0.405,0.356,0.75,3.4,3.1,0.9,0.2,10.3,NO/SAC,West,Average Scorer
Cody Zeller,PF,27.8,0.5710000000000001,0.0,0.679,6.5,1.6,1.0,0.9,10.3,CHA,East,Average Scorer
Malcolm Brogdon,SG,26.4,0.457,0.404,0.865,2.8,4.2,1.1,0.2,10.2,MIL,East,Average Scorer
Draymond Green,PF,32.5,0.418,0.308,0.7090000000000001,7.9,7.0,2.0,1.4,10.2,GS,West,Average Scorer
Jon Leuer,PF,25.9,0.48,0.293,0.867,5.4,1.5,0.4,0.3,10.2,DET,East,Average Scorer
Jusuf Nurkic,C,21.4,0.507,0.0,0.5710000000000001,7.2,1.9,0.8,1.1,10.2,DEN/POR,West,Average Scorer
Josh Richardson,SG,30.5,0.394,0.33,0.779,3.2,2.6,1.1,0.7,10.2,MIA,East,Average Scorer
Kyle Korver,SG,26.2,0.464,0.451,0.905,2.8,1.6,0.5,0.3,10.1,ATL/CLE,East,Average Scorer
Tony Parker,PG,25.2,0.466,0.333,0.726,1.8,4.5,0.5,0.0,10.1,SA,West,Average Scorer
Trevor Booker,PF,24.7,0.516,0.321,0.6729999999999999,8.0,1.9,1.1,0.4,10.0,BKN,East,Low Scorer
Gorgui Dieng,PF,32.4,0.502,0.3720000000000001,0.8140000000000001,7.9,1.9,1.1,1.2,10.0,MIN,West,Low Scorer
Maurice Harkless,SF,28.9,0.503,0.351,0.621,4.4,1.1,1.1,0.9,10.0,POR,West,Low Scorer
Ty Lawson,PG,25.1,0.454,0.288,0.797,2.6,4.8,1.1,0.1,9.9,SAC,West,Low Scorer
Shabazz Muhammad,SF,19.4,0.482,0.338,0.774,2.8,0.4,0.3,0.1,9.9,MIN,West,Low Scorer
Jamal Murray,SG,21.5,0.404,0.334,0.883,2.6,2.1,0.6,0.3,9.9,DEN,West,Low Scorer
Richaun Holmes,C,20.9,0.5579999999999999,0.351,0.6990000000000001,5.5,1.0,0.7,1.0,9.8,PHI,East,Low Scorer
Jeremy Lamb,SG,18.4,0.46,0.281,0.853,4.3,1.2,0.4,0.4,9.7,CHA,East,Low Scorer
Kenneth Faried,PF,21.2,0.5479999999999999,0.0,0.693,7.6,0.9,0.7,0.7,9.6,DEN,West,Low Scorer
E'Twaun Moore,SG,24.9,0.457,0.37,0.77,2.1,2.2,0.7,0.4,9.6,NO,West,Low Scorer
Patrick Beverley,SG,30.7,0.42,0.382,0.768,5.9,4.2,1.5,0.4,9.5,HOU,West,Low Scorer
Derrick Favors,PF,23.7,0.487,0.3,0.615,6.1,1.1,0.9,0.8,9.5,UTAH,West,Low Scorer
Patty Mills,PG,21.9,0.44,0.414,0.825,1.8,3.5,0.8,0.0,9.5,SA,West,Low Scorer
Nik Stauskas,SG,27.4,0.396,0.368,0.813,2.8,2.4,0.6,0.4,9.5,PHI,East,Low Scorer
Michael Beasley,PF,16.7,0.532,0.419,0.743,3.4,0.9,0.5,0.5,9.4,MIL,East,Low Scorer
Brandon Ingram,SF,28.8,0.402,0.294,0.621,4.0,2.1,0.6,0.5,9.4,LAL,West,Low Scorer
Ish Smith,PG,24.1,0.439,0.267,0.706,2.9,5.2,0.8,0.4,9.4,DET,East,Low Scorer
Cory Joseph,PG,25.0,0.452,0.356,0.77,2.9,3.3,0.8,0.2,9.3,TOR,East,Low Scorer
Marquese Chriss,PF,21.3,0.449,0.321,0.624,4.2,0.7,0.8,0.9,9.2,PHX,West,Low Scorer
Jeff Green,PF,22.2,0.394,0.275,0.863,3.1,1.2,0.5,0.2,9.2,ORL,East,Low Scorer
Gerald Henderson,SG,23.2,0.423,0.353,0.8059999999999999,2.6,1.6,0.6,0.2,9.2,PHI,East,Low Scorer
Joe Johnson,SF,23.6,0.436,0.411,0.818,3.1,1.8,0.5,0.2,9.2,UTAH,West,Low Scorer
Michael Kidd-Gilchrist,SF,29.0,0.477,0.111,0.784,7.0,1.4,1.0,1.0,9.2,CHA,East,Low Scorer
Jameer Nelson,PG,27.3,0.444,0.388,0.7140000000000001,2.6,5.1,0.7,0.1,9.2,DEN,West,Low Scorer
Tony Allen,SG,27.0,0.461,0.278,0.615,5.5,1.4,1.6,0.4,9.1,MEM,West,Low Scorer
Channing Frye,C,18.9,0.458,0.409,0.851,3.9,0.6,0.4,0.5,9.1,CLE,East,Low Scorer
Montrezl Harrell,C,18.3,0.652,0.143,0.628,3.8,1.1,0.3,0.7,9.1,HOU,West,Low Scorer
Jodie Meeks,SG,20.5,0.402,0.409,0.878,2.1,1.3,0.9,0.1,9.1,ORL,East,Low Scorer
Dahntay Jones,SF,12.0,0.375,0.0,0.75,2.0,1.0,0.0,0.0,9.0,CLE,East,Low Scorer
Kelly Olynyk,C,20.5,0.512,0.354,0.732,4.8,2.0,0.6,0.4,9.0,BOS,East,Low Scorer
Evan Turner,SF,25.5,0.426,0.263,0.825,3.8,3.2,0.8,0.4,9.0,POR,West,Low Scorer
DeMarre Carroll,SF,26.1,0.4,0.341,0.7609999999999999,3.8,1.0,1.1,0.4,8.9,TOR,East,Low Scorer
JaMychal Green,PF,27.3,0.5,0.379,0.802,7.1,1.1,0.6,0.4,8.9,MEM,West,Low Scorer
Skal Labissiere,PF,18.5,0.537,0.375,0.703,4.9,0.8,0.5,0.4,8.8,SAC,West,Low Scorer
Al-Farouq Aminu,SF,29.1,0.393,0.33,0.706,7.4,1.6,1.0,0.7,8.7,POR,West,Low Scorer
Rondae Hollis-Jefferson,SF,22.6,0.434,0.224,0.7509999999999999,5.8,2.0,1.1,0.6,8.7,BKN,East,Low Scorer
Marreese Speights,C,15.7,0.445,0.3720000000000001,0.8759999999999999,4.5,0.8,0.3,0.5,8.7,LAC,West,Low Scorer
Monta Ellis,SG,27.0,0.443,0.319,0.727,2.8,3.2,1.1,0.4,8.5,IND,East,Low Scorer
Tony Snell,SG,29.2,0.455,0.406,0.81,3.1,1.2,0.7,0.2,8.5,MIL,East,Low Scorer
Arron Afflalo,SG,25.9,0.44,0.411,0.892,2.0,1.3,0.3,0.1,8.4,SAC,West,Low Scorer
Tyson Chandler,C,27.6,0.6709999999999999,,0.7340000000000001,11.5,0.6,0.7,0.5,8.4,PHX,West,Low Scorer
Norman Powell,SG,18.0,0.449,0.324,0.792,2.2,1.1,0.7,0.2,8.4,TOR,East,Low Scorer
Troy Daniels,SG,17.7,0.374,0.389,0.7959999999999999,1.5,0.7,0.3,0.1,8.2,MEM,West,Low Scorer
Joe Harris,SG,21.9,0.425,0.385,0.7140000000000001,2.8,1.0,0.6,0.2,8.2,BKN,East,Low Scorer
Willy Hernangomez,C,18.4,0.529,0.267,0.728,7.0,1.3,0.6,0.5,8.2,NY,East,Low Scorer
Caris LeVert,SF,21.7,0.45,0.321,0.72,3.3,1.9,0.9,0.1,8.2,BKN,East,Low Scorer
Shawn Long,C,13.0,0.56,0.368,0.5429999999999999,4.7,0.7,0.5,0.5,8.2,PHI,East,Low Scorer
Willie Cauley-Stein,C,18.9,0.53,0.0,0.669,4.5,1.1,0.7,0.6,8.1,SAC,West,Low Scorer
Al Jefferson,C,14.1,0.499,0.0,0.765,4.2,0.9,0.3,0.2,8.1,IND,East,Low Scorer
Ben McLemore,SG,19.3,0.43,0.382,0.753,2.1,0.8,0.5,0.1,8.1,SAC,West,Low Scorer
Tristan Thompson,C,29.9,0.6,0.0,0.498,9.2,1.0,0.5,1.1,8.1,CLE,East,Low Scorer
Vince Carter,SF,24.6,0.394,0.378,0.765,3.1,1.8,0.8,0.5,8.0,MEM,West,Low Scorer
Alex Len,C,20.3,0.4970000000000001,0.25,0.721,6.6,0.6,0.5,1.3,8.0,PHX,West,Low Scorer
D.J. Augustin,PG,19.7,0.377,0.347,0.8140000000000001,1.5,2.7,0.4,0.0,7.9,ORL,East,Low Scorer
Langston Galloway,PG,20.2,0.38,0.39,0.797,2.1,1.3,0.6,0.1,7.9,NO/SAC,West,Low Scorer
Shelvin Mack,PG,21.9,0.446,0.308,0.688,2.3,2.8,0.8,0.1,7.8,UTAH,West,Low Scorer
Sergio Rodriguez,PG,22.3,0.392,0.365,0.667,2.3,5.1,0.7,0.1,7.8,PHI,East,Low Scorer
Rajon Rondo,PG,26.7,0.408,0.376,0.6,5.1,6.7,1.4,0.2,7.8,CHI,East,Low Scorer
Garrett Temple,SG,26.6,0.424,0.373,0.784,2.8,2.6,1.3,0.4,7.8,SAC,West,Low Scorer
Justin Holiday,SG,20.0,0.433,0.355,0.825,2.7,1.2,0.8,0.4,7.7,NY,East,Low Scorer
Matthew Dellavedova,PG,26.1,0.39,0.3670000000000001,0.8540000000000001,1.9,4.7,0.7,0.0,7.6,MIL,East,Low Scorer
Luol Deng,SF,26.5,0.387,0.309,0.73,5.3,1.3,0.9,0.4,7.6,LAL,West,Low Scorer
Andre Iguodala,SF,26.3,0.528,0.362,0.706,4.0,3.4,1.0,0.5,7.6,GS,West,Low Scorer
Manu Ginobili,SG,18.7,0.39,0.392,0.804,2.3,2.7,1.2,0.2,7.5,SA,West,Low Scorer
Iman Shumpert,SG,25.5,0.411,0.36,0.789,2.9,1.4,0.8,0.4,7.5,CLE,East,Low Scorer
Ivica Zubac,C,16.0,0.529,0.0,0.653,4.2,0.8,0.4,0.9,7.5,LAL,West,Low Scorer
Timofey Mozgov,C,20.4,0.515,0.0,0.8079999999999999,4.9,0.8,0.3,0.6,7.4,LAL,West,Low Scorer
Isaiah Whitehead,PG,22.5,0.402,0.295,0.805,2.5,2.6,0.6,0.5,7.4,BKN,East,Low Scorer
Alan Williams,C,15.1,0.517,0.0,0.625,6.2,0.5,0.6,0.7,7.4,PHX,West,Low Scorer
Spencer Dinwiddie,PG,22.6,0.444,0.376,0.792,2.8,3.1,0.7,0.4,7.3,BKN,East,Low Scorer
Danny Green,SG,26.6,0.392,0.379,0.8440000000000001,3.3,1.8,1.0,0.8,7.3,SA,West,Low Scorer
David Lee,PF,18.7,0.59,,0.708,5.6,1.6,0.4,0.5,7.3,SA,West,Low Scorer
Tyler Ulis,PG,18.4,0.421,0.266,0.775,1.6,3.7,0.8,0.1,7.3,PHX,West,Low Scorer
Thabo Sefolosha,SF,25.7,0.441,0.342,0.733,4.4,1.7,1.5,0.5,7.2,ATL,East,Low Scorer
Rodney Stuckey,PG,17.8,0.373,0.317,0.748,2.2,2.2,0.4,0.0,7.2,IND,East,Low Scorer
Matt Barnes,SF,24.0,0.391,0.331,0.787,5.2,2.6,0.6,0.4,7.1,GS/SAC,West,Low Scorer
Tim Frazier,PG,23.5,0.403,0.313,0.76,2.7,5.2,0.9,0.1,7.1,NO,West,Low Scorer
Joe Ingles,SF,24.0,0.452,0.441,0.735,3.2,2.7,1.2,0.1,7.1,UTAH,West,Low Scorer
Brandon Jennings,PG,22.2,0.359,0.313,0.75,2.4,4.9,0.9,0.0,7.1,NY/WSH,East,Low Scorer
Larry Nance Jr.,PF,22.9,0.526,0.278,0.738,5.9,1.5,1.3,0.6,7.1,LAL,West,Low Scorer
Anthony Tolliver,PF,22.7,0.442,0.391,0.7440000000000001,3.6,1.2,0.5,0.3,7.1,SAC,West,Low Scorer
Solomon Hill,SF,29.7,0.383,0.348,0.805,3.8,1.8,0.9,0.4,7.0,NO,West,Low Scorer
Josh Huestis,PF,15.5,0.545,0.5,0.0,4.5,1.5,0.0,1.5,7.0,OKC,West,Low Scorer
Justin Hamilton,C,18.4,0.459,0.306,0.75,4.1,0.9,0.5,0.7,6.9,BKN,East,Low Scorer
T.J. McConnell,PG,26.3,0.461,0.2,0.8109999999999999,3.1,6.6,1.7,0.1,6.9,PHI,East,Low Scorer
Ian Clark,SG,14.8,0.487,0.374,0.759,1.6,1.2,0.5,0.1,6.8,GS,West,Low Scorer
